ID,ENTRYTYPE,doi,author,journal,title,year,volume,number,pages,url,abstract,language,dblp_key
000001,article,10.17705/1JAIS.00055,"Rossi, Matti and Ramesh, Balasubramaniam and Lyytinen, Kalle and Tolvanen, Juha-Pekka",Journal of the Association for Information Systems,Managing Evolutionary Method Engineering by Method Rationale,2004,5,9,356--391,https://aisel.aisnet.org/jais/vol5/iss9/12,,,
000002,article,10.17705/1JAIS.00242,"Chengalur-Smith, Indushobha and Nevo, Saggi and Demertzoglou, Pindaro",Journal of the Association for Information Systems,An Empirical Analysis of the Business Value of Open Source Infrastructure Technologies,2010,11,11,708--729,https://aisel.aisnet.org/jais/vol11/iss11/3,,,
000003,article,10.17705/1JAIS.00622,"Xie, Wen and Xu, Xin and Liu, Ruiqi and Jin, Yong and Bai, Wenchao and Li, Qiang",Journal of the Association for Information Systems,Living in a Simulation? An Empirical Investigation of a Smart Driving-Simulation Testing System,2020,21,,843--863,https://aisel.aisnet.org/jais/vol21/iss4/8,,,
000004,article,10.17705/1JAIS.00391,"Benlian, Alexander",Journal of the Association for Information Systems,IT Feature Use over Time and its Impact on Individual Task Performance,2015,16,3,144--173,https://aisel.aisnet.org/jais/vol16/iss3/2,,,
000005,article,10.17705/1JAIS.00268,"Parsons, Jeffrey",Journal of the Association for Information Systems,An Experimental Study of the Effects of Representing Property Precedence on the Comprehension of Conceptual Schemas,2011,12,6,441--462,https://aisel.aisnet.org/jais/vol12/iss6/1,,,
000006,article,10.17705/1JAIS.00140,"Porra, Jaana and Hirschheim, Rudy",Journal of the Association for Information Systems,Enid Mumford¡¯s Contribution to Information Systems Theory and Theoretical Thinking: Introduction to the Special Issue,2007,8,9,463--466,https://aisel.aisnet.org/jais/vol8/iss9/30,,,
000007,article,10.17705/1JAIS.00540,"Lin, Shuaifu and Armstrong, Deborah J.",Journal of the Association for Information Systems,Beyond Information: The Role of Territory in Privacy Management Behavior on Social Networking Sites,2019,,,434--475,https://aisel.aisnet.org/jais/vol20/iss4/2,,,
000008,article,10.17705/1JAIS.00291,"Grover, Varun",Journal of the Association for Information Systems,The Information Systems Field: Making a Case for Maturity and Contribution,2012,13,4,254--272,https://aisel.aisnet.org/jais/vol13/iss4/2,,,
000009,article,10.17705/1JAIS.00203,"Truex, Duane and Cuellar, Michael and Takeda, Hirotoshi",Journal of the Association for Information Systems,Assessing Scholarly Influence: Using the Hirsch Indices to Reframe the Discourse,2009,10,7,560--594,https://aisel.aisnet.org/jais/vol10/iss7/1,,,
000010,article,10.17705/1JAIS.00548,"Faik, Isam and Thompson, Mark and Walsham, Geoff",Journal of the Association for Information Systems,"Designing for ICT-Enabled Openness in Bureaucratic Organizations: Problematizing, Shifting, and Augmenting Boundary Work",2019,,,681--701,https://aisel.aisnet.org/jais/vol20/iss6/7,,,
