cluster_id,id,title,author,doi
0,C_000072,"""Blockchain for the IoT: Privacy-Preserving Protection of Sensor Data""","Chanson, Mathieu and Bogner, Andreas and Bilgeri, Dominik and Fleisch, Elgar and Wortmann, Felix",10.17705/1JAIS.00567
0,D_000568,Blockchain for the IoT - Privacy-Preserving Protection of Sensor Data,"Chanson, Mathieu and Bogner, Andreas and Bilgeri, Dominik and Fleisch, Elgar and Wortmann, Felix",
1,C_000714,Taking Time into Account: Understanding Microworkers’ Continued Participation in Microtasks,"Jiang, Ling and Wagner, Christian and Chen, Xingyu",10.17705/1JAIS.00684
1,D_000673,Taking Time into Account: Understanding Microworkers' Continued Participation in Microtasks,"Jiang, Ling and Wagner, Christian and Chen, Xingyu",
2,C_000063,"Leveraging Social Capital to Obtain Top Management Support in Complex, Cross-Functional IT Projects","Liu, Gloria and Wang, Eric and Chua, Cecil",10.17705/1JAIS.00404
2,D_000407,"Leveraging Social Capital to Obtain Top Management Support in Complex, Cross-Functional IT Projects","Liu, Gloria H. W. and Wang, Eric T. G. and Chua, Cecil Eng Huang",
3,C_000689,Impact of Social Media on the Firm’s Knowledge Exploration and Knowledge Exploitation: The Role of Business Analytics Talent,"Castillo, Ana and Benitez, Jose and Liorens, Javier and Braojos, Jessica",10.17705/1JAIS.00700
3,D_000663,Impact of Social Media on the Firm's Knowledge Exploration and Knowledge Exploitation: The Role of Business Analytics Talent,"López, Ana Castillo and Benitez, Jose and Lloréns, Javier and Braojos, Jessica",
4,C_000233,The Impact of Organizational Coordination and Climate on Marketing Executives' Satisfaction with Information Systems Services,"Li, Eldon and Jiang, James and Klein, Gary",10.17705/1JAIS.00031
4,D_000029,The Impact of Organizational Coordination and Climate on Marketing Executives' Satisfaction with Information Systems Services,"Li, Eldon Y. and Jiang, James J. and Klein, Gary",
5,C_000860,Champions for Social Good: How Can We Discover Social Sentiment and Attitude-Driven Patterns in Prosocial Communication?,"Mukkamala, Raghava and Kauffman, Robert J. and Henriksen, Helle Zinner",10.17705/1JAIS.00810
5,D_000817,Champions for Social Good: How Can We Discover Social Sentiment and Attitude-Driven Patterns in Prosocial Communication?,"Mukkamala, Raghava Rao and Kauffman, Robert J. and Henriksen, Helle Zinner",
6,C_000405,"Flipping the Context: ICT4D, the Next Grand Challenge for IS Research and Practice","Sahay, Sundeep and Sein, Maung and Urguhart, Cathy",10.17705/1JAIS.00479
6,D_000477,"Flipping the Context - ICT4D, the Next Grand Challenge for IS Research and Practice","Sahay, Sundeep and Sein, Maung K. and Urquhart, Cathy",
7,C_000854,Envisioning Digital Transformation: Advancing Theoretical Diversity,"Rowe, Frantz and Markus, M. Lynne",10.17705/1JAIS.00850
7,D_000820,Envisioning Digital Transformation: Advancing Theoretical Diversity,"Rowe, Frantz and Markus, M. Lynne",
8,C_000507,Evaluating Business Process Maturity Models,"Looy, Amy and Poels, Geert and Snoeck, Monique",10.17705/1JAIS.00460
8,D_000473,Evaluating Business Process Maturity Models,"Van Looy, Amy and Poels, Geert and Snoeck, Monique",
9,C_000240,"Generally Speaking, Context Matters: Making the Case for a Change from Universal to Particular ISP Research","Aurigemma, Sal and Mattson, Thomas",10.17705/1JAIS.00583
