ID,ENTRYTYPE,author,journal,title,year,volume,number,url,dblp_key,doi,pages,file,grobid-version,note,abstract,language
000001,article,"Li, Na and Zhang, Ping",Journal of the Association for Information Systems,The Intellectual Development of Human-Computer Interaction Research - A Critical Assessment of the MIS Literature (1990-2002),2005,6,11,http://aisel.aisnet.org/jais/vol6/iss11/9,https://dblp.org/rec/journals/jais/LiZ05,,,,,,,
000002,article,"Leonard, Lori N. K. and Cronan, Timothy Paul",Journal of the Association for Information Systems,"Illegal, Inappropriate, And Unethical Behavior In An Information Technology Context - A Study To Explain Influences",2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/12,https://dblp.org/rec/journals/jais/LeonardC00,,,,,,,
000003,article,"Bajaj, Akhilesh",Journal of the Association for Information Systems,A Study of Senior Information Systems Managers' Decision Models in Adopting New Computing Architectures,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/4,https://dblp.org/rec/journals/jais/Bajaj00,,,,,,,
000004,article,"Carter, Richard B. and Strader, Troy J. and Nilakanta, Sree",Journal of the Association for Information Systems,Online Investment Banking Phase I - Distribution via the Internet and Its Impact on IPO Performance,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/6,https://dblp.org/rec/journals/jais/CarterSN00,,,,,,,
000005,article,"Tan, Margaret and Teo, Thompson S. H.",Journal of the Association for Information Systems,Factors Influencing the Adoption of Internet Banking,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/5,https://dblp.org/rec/journals/jais/TanT00,,,,,,,
000006,article,"Bansler, Jorgen P. and Damsgaard, Jan and Scheepers, Rens and Havn, Erling C. and Thommesen, Jacob",Journal of the Association for Information Systems,Corporate Intranet Implementation - Managing Emergent Technologies and Organizational Practices,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/10,https://dblp.org/rec/journals/jais/BanslerDSHT00,,,,,,,
000007,article,"Forgionne, Guisseppi A. and Kohli, Rajiv",Journal of the Association for Information Systems,Management Support System Effectiveness - Further Empirical Evidence,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/3,https://dblp.org/rec/journals/jais/ForgionneK00,,,,,,,
000008,article,"Gefen, David and Straub, Detmar W.",Journal of the Association for Information Systems,The Relative Importance of Perceived Ease of Use in IS Adoption - A Study of E-Commerce Adoption,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/8,https://dblp.org/rec/journals/jais/GefenS00,,,,,,,
000009,article,"Lin, Winston T. and Shao, Benjamin B. M.",Journal of the Association for Information Systems,Relative Sizes of Information Technology Investments and Productive Efficiency - Their Linkage and Empirical Evidence,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/7,https://dblp.org/rec/journals/jais/LinS00,,,,,,,
000010,article,"Palmer, Jonathan W. and Speier, Cheri and Wren, Daniel and Hahn, Susan",Journal of the Association for Information Systems,"Electronic Journals in Business Schools - Legitimacy, Acceptance, and Use",2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/2,https://dblp.org/rec/journals/jais/PalmerSWH00,,,,,,,
