ID,orig_ID,orig_source,url,pages,number,volume,year,title,journal,author,doi,ENTRYTYPE,language,abstract,dblp_key,grobid-version,file,note
C_000001,000001,crossref,https://aisel.aisnet.org/jais/vol5/iss9/12,356--391,9,5,2004,Managing Evolutionary Method Engineering by Method Rationale,Journal of the Association for Information Systems,"Rossi, Matti and Ramesh, Balasubramaniam and Lyytinen, Kalle and Tolvanen, Juha-Pekka",10.17705/1JAIS.00055,article,,,,,,
C_000002,000002,crossref,https://aisel.aisnet.org/jais/vol11/iss11/3,708--729,11,11,2010,An Empirical Analysis of the Business Value of Open Source Infrastructure Technologies,Journal of the Association for Information Systems,"Chengalur-Smith, Indushobha and Nevo, Saggi and Demertzoglou, Pindaro",10.17705/1JAIS.00242,article,,,,,,
C_000003,000003,crossref,https://aisel.aisnet.org/jais/vol21/iss4/8,843--863,,21,2020,Living in a Simulation? An Empirical Investigation of a Smart Driving-Simulation Testing System,Journal of the Association for Information Systems,"Xie, Wen and Xu, Xin and Liu, Ruiqi and Jin, Yong and Bai, Wenchao and Li, Qiang",10.17705/1JAIS.00622,article,,,,,,
C_000004,000004,crossref,https://aisel.aisnet.org/jais/vol16/iss3/2,144--173,3,16,2015,IT Feature Use over Time and its Impact on Individual Task Performance,Journal of the Association for Information Systems,"Benlian, Alexander",10.17705/1JAIS.00391,article,,,,,,
C_000005,000005,crossref,https://aisel.aisnet.org/jais/vol12/iss6/1,441--462,6,12,2011,An Experimental Study of the Effects of Representing Property Precedence on the Comprehension of Conceptual Schemas,Journal of the Association for Information Systems,"Parsons, Jeffrey",10.17705/1JAIS.00268,article,,,,,,
C_000006,000006,crossref,https://aisel.aisnet.org/jais/vol8/iss9/30,463--466,9,8,2007,Enid Mumford¡¯s Contribution to Information Systems Theory and Theoretical Thinking: Introduction to the Special Issue,Journal of the Association for Information Systems,"Porra, Jaana and Hirschheim, Rudy",10.17705/1JAIS.00140,article,,,,,,
C_000007,000007,crossref,https://aisel.aisnet.org/jais/vol20/iss4/2,434--475,,,2019,Beyond Information: The Role of Territory in Privacy Management Behavior on Social Networking Sites,Journal of the Association for Information Systems,"Lin, Shuaifu and Armstrong, Deborah J.",10.17705/1JAIS.00540,article,,,,,,
C_000008,000008,crossref,https://aisel.aisnet.org/jais/vol13/iss4/2,254--272,4,13,2012,The Information Systems Field: Making a Case for Maturity and Contribution,Journal of the Association for Information Systems,"Grover, Varun",10.17705/1JAIS.00291,article,,,,,,
C_000009,000009,crossref,https://aisel.aisnet.org/jais/vol10/iss7/1,560--594,7,10,2009,Assessing Scholarly Influence: Using the Hirsch Indices to Reframe the Discourse,Journal of the Association for Information Systems,"Truex, Duane and Cuellar, Michael and Takeda, Hirotoshi",10.17705/1JAIS.00203,article,,,,,,
C_000010,000010,crossref,https://aisel.aisnet.org/jais/vol20/iss6/7,681--701,,,2019,"Designing for ICT-Enabled Openness in Bureaucratic Organizations: Problematizing, Shifting, and Augmenting Boundary Work",Journal of the Association for Information Systems,"Faik, Isam and Thompson, Mark and Walsham, Geoff",10.17705/1JAIS.00548,article,,,,,,
C_000011,000011,crossref,https://aisel.aisnet.org/jais/vol9/iss8/19,462--496,8,9,2008,Making IT Project De-Escalation Happen: An Exploration into Key Roles,Journal of the Association for Information Systems,"Mähring, Magnus and Keil, Mark and Mathiassen, Lars and Pries-Heje, Jan",10.17705/1JAIS.00165,article,,,,,,
C_000012,000012,crossref,https://aisel.aisnet.org/jais/vol7/iss10/28,703--713,10,7,2006,Reach and Grasp in the Debate over the IS Core: An Empty Hand?,Journal of the Association for Information Systems,"Weber, Ron",10.17705/1JAIS.00104,article,,,,,,
C_000013,000013,crossref,https://aisel.aisnet.org/jais/vol13/iss3/3,116--149,3,13,2012,An Empirical Examination of the Impact of ICT Investments on Future Levels of Institutionalized Democracy and Foreign Direct Investment in Emerging Societies,Journal of the Association for Information Systems,"Soper, Daniel and Demirkan, Haluk and Goul, Michael and Louis, Robert",10.17705/1JAIS.00289,article,,,,,,
C_000014,000014,crossref,https://aisel.aisnet.org/jais/vol17/iss9/2,590--613,9,17,2016,Graph-based Cluster Analysis to Identify Similar Questions: A Design Science Approach,Journal of the Association for Information Systems,"John, Blooma and Chua, Alton and Goh, Dion and Wickramasinghe, Nilmini",10.17705/1JAIS.00437,article,,,,,,
C_000015,000015,crossref,https://aisel.aisnet.org/jais/vol18/iss4/3,264--296,4,18,2017,Brownie: A Platform for Conducting NeuroIS Experiments,Journal of the Association for Information Systems,"Hariharan, Anuja and Adam, Marc and Dorner, Verena and Lux, Ewa and Mueller, Marius and Pfeiffer, Jella and Weinhardt, Christof",10.17705/1JAIS.00457,article,,,,,,
C_000016,000016,crossref,https://aisel.aisnet.org/jais/vol14/iss12/1,722--756,12,14,2013,Developing the Agile IS Development Practices in Large-Scale IT Projects: The Trust-Mediated Organizational Controls and IT Project Team Capabilities Perspectives,Journal of the Association for Information Systems,"Goh, Jenson and Pan, Shan and Zuo, Meiyun",10.17705/1JAIS.00348,article,,,,,,
C_000017,000017,crossref,https://aisel.aisnet.org/jais/vol9/iss9/4,497--518,9,9,2008,Theoretical Foundations of Empirical Research on Interorganizational Systems: Assessing Past Contributions and Guiding Future Directions,Journal of the Association for Information Systems,"Robey, Daniel and Im, Ghiyoung and Wareham, Jonathan",10.17705/1JAIS.00171,article,,,,,,
C_000018,000018,crossref,https://aisel.aisnet.org/jais/vol19/iss9/2,857--908,,19,2018,"Concentration, Competence, Confidence, and Capture: An Experimental Study of Age, Interruption-based Technostress, and Task Performance",Journal of the Association for Information Systems,"Tams, Stefan and Thatcher, Jason B. and Grover, Varun",10.17705/1JAIS.00511,article,,,,,,
