cluster_id,id,title,author,doi
0,C_000507,Evaluating Business Process Maturity Models,"Looy, Amy and Poels, Geert and Snoeck, Monique",10.17705/1JAIS.00460
0,D_000473,Evaluating Business Process Maturity Models,"Van Looy, Amy and Poels, Geert and Snoeck, Monique",
1,C_000289,An Agent-Mediated Knowledge-in-Motion Model,"Datta, Pratim",10.17705/1JAIS.00130
1,D_000126,An Agent-Mediated Knowledge-in-Motion Model,"Datta, Pratim",
1,P_0000000144,An Agent-Mediated Knowledge-in-Motion Model,"Datta, Pratim",
2,D_000935,How to Develop IT Ambidexterity: Insights from the Perspective of CIO-TMT Mutual Communication,"Wang, Nianxin and Hu, Hao and Liang, Huigang and Xue, Yajiong",
2,P_000944,How to Develop IT Ambidexterity: Insights from the Perspective of How to Develop IT Ambidexterity: Insights from the Perspective of CIO-TMT Mutual Communication CIO-TMT Mutual Communication,"Wang, Nianxin and Hu, Hao and Liang, Huigang and Xue, Yajiong",10.17705/1JAIS.00917
3,C_000753,"Bilateral, Collective, or Both? Formal Governance and Performance in Multisourcing","Krancher, Oliver and Oshri, Ilan and Kotlarsky, Julia and Dibbern, Jens",10.17705/1JAIS.00751
3,D_000737,"Bilateral, Collective, or Both? Formal Governance and Performance in Multisourcing","Krancher, Oliver and Oshri, Ilan and Kotlarsky, Julia and Dibbern, Jens",
4,C_000763,IT Use and Job Outcomes: A Longitudinal Field Study of Technology Contingencies,"Venkatesh, Viswanath and Speier-Pero, Cheri and Aljafari, Ruba and Bala, Hillol",10.17705/1JAIS.00760
4,D_000769,IT Use and Job Outcomes: A Longitudinal Field Study of Technology Contingencies,"Venkatesh, Viswanath and Speier-Pero, Cheri and Aljafari, Ruba and Bala, Hillol",
4,P_0000000771,IT Use and Job Outcomes: A Longitudinal Field Study of Technology Contingencies,"Venkatesh, Viswanath and Speier-Pero, Cheri and Aljafari, Ruba and Bala, Hillol",10.17705/1JAIS.00760
5,C_000390,Extending Digital Infrastructures: A Typology of Growth Tactics,"Koutsikouri, Dina and Lindgren, Rikard and Henfridsson, Ola and Rudmark, Daniel",10.17705/1JAIS.00517
5,D_000499,Extending Digital Infrastructures - A Typology of Growth Tactics,"Koutsikouri, Dina and Lindgren, Rikard and Henfridsson, Ola and Rudmark, Daniel",
5,P_0000000252,Extending Digital Infrastructures: A Typology of Growth Tactics,"Koutsikouri, Dina and Lindgren, Rikard and Henfridsson, Ola and Rudmark, Daniel",10.17705/1JAIS.00517
6,C_000783,How Do Paternalistic Leaders Motivate Employees’ Information Security Compliance? Building a Climate and Applying Sanctions,"Zhu, Jiawen and Feng, Gengzhong and Liang, Huigang and Tsui, Kwok-Leung",10.17705/1JAIS.00794
6,D_000786,How Do Paternalistic Leaders Motivate Employees' Information Security Compliance? Building a Climate and Applying Sanctions,"Zhu, Jiawen and Feng, Gengzhong and Liang, Huigang and Tsui, Kwok-Leung",
6,P_000830,Security Compliance? Building a Climate and Applying Sanctions Security Compliance? Building a Climate and Applying Sanctions,"Zhu, Jiawen and Feng, Gengzhong and Liang, Huigang and Tsui, Kwok-Leung and Chau, Patrick Y K",10.17705/1JAIS.00794
7,C_000690,A Thought-Gear Model of Theorizing from Literature,"Leidner, Dorothy E. and Tona, Olgerta",10.17705/1JAIS.00683
7,D_000695,A Thought-Gear Model of Theorizing from Literature,"Leidner, Dorothy E. and Tona, Olgerta",
7,P_0000000443,A Thought-Gear Model of Theorizing from Literature,"Leidner, Dorothy E and Tona, Olgerta",10.17705/1JAIS.00683
8,C_000699,Finding a Needle in the Haystack: Recommending Online Communities on Social Media Platforms Using Network and Design Science,"Velichety, Srikar and Ram, Sudha",10.17705/1JAIS.00694
8,D_000709,Finding a Needle in the Haystack: Recommending Online Communities on Social Media Platforms Using Network and Design Science,"Velichety, Srikar and Ram, Sudha",
8,P_0000000371,Finding a Needle in the Haystack: Recommending Online Communities on Social Media Platforms Using Network and Design Science,"Velichety, Srikar and Ram, Sudha",10.17705/1JAIS.00694
