cluster_id,id,title,author,doi,file
0,P_0000000141,Journal of the Association for Information,"Lowry, Paul Benjamin and Gaskin, James Eric and Moody, Gregory D",,data/pdfs/16_7/LowryGaskinMoody2015.pdf
0,P_0000000406,Journal of the Association for Information Research Article,"Grgecic, Daniel and Holten, Roland and Rosenkranz, Christoph",,data/pdfs/16_7/GrgecicHoltenRosenkranz2015.pdf
0,P_0000000647,Journal of the Association for Information Research Article,"Windeler, Jaime B and Maruping, Likoebe M and Robert, Lionel P and Davidson, Elizabeth and Riemenschneider, Cynthia K",,data/pdfs/16_7/WindelerMarupingRobertJrEtAl2015.pdf
1,P_0000000022,Journal of the Association for Information,"Vance, Anthony and Anderson, Bonnie Brinton and Kirwan, C. Brock and Eargle, David",,data/pdfs/15_10/VanceAndersonKirwanEtAl2014.pdf
1,P_0000000228,Journal of the Association for Information Special Issue,"Léger, Pierre-Majorique and Montréal, Hec and Sénecal, Sylvain and Ortiz De Guinea, Ana and Titah, Ryad and Fredette, Marc and Research, Systems",,data/pdfs/15_10/LegerSenecalCourtemancheEtAl2014.pdf
1,P_0000000249,Journal of the Association for Information,"Hill, Kevin and Ortiz De Guinea, Ana and Thatcher, Jason and Grover, Varun and Tams, Stefan",,data/pdfs/15_10/TamsHilldeGuineaEtAl2014.pdf
1,P_0000000585,Journal of the Association for Information,"Riedl, René and Davis, Fred D and Hevner, Alan R and Barki, Henri and Chatterjee, Samir and Dennis, Alan and Gefen, David and Léger, Pierre-Majorique and Randolph, Adriane and Walden, Eric and Walton, Sam M",,data/pdfs/15_10/RiedlDavisHevner2014.pdf
2,P_0000000151,Journal of the Association for Information,"Parsons, Jeffrey and Wand, Yair",,data/pdfs/14_5/ParsonsWand2013.pdf
2,P_0000000178,Journal of the Association for Information,"Grover, Varun and Nicholas, *.",,data/pdfs/14_5/Grover2013.pdf
2,P_0000000313,Journal of the Association for Information,"Yoo, Youngjin",,data/pdfs/14_5/Yoo2013.pdf
2,P_0000000695,Journal of the Association for Information,"Osterwalder, Alexander and Pigneur, Yves and Nicholas, *.",,data/pdfs/14_5/OsterwalderPigneur2013.pdf
3,P_0000000388,Journal of the Association for Information,"Rivard, Suzanne and Montreal, Hec and Lapointe, Liette and Kappos, Antonio and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",,data/pdfs/12_2/RivardLapointeKappos2011.pdf
3,P_0000000523,Journal of the Association for Information,"Singh, Rajendra and Mathiassen, Lars and Stachura, Max E and Astapova, Elena V and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",,data/pdfs/12_2/SinghMathiassenStachuraEtAl2011.pdf
3,P_0000000588,Journal of the Association for Information,"Feldman, Sue S and Horan, Thomas A and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",,data/pdfs/12_2/FeldmanHoran2011.pdf
3,P_0000000621,Journal of the Association for Information,"Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu and Considerations, Interdisciplinary",,data/pdfs/12_2/PaytonPareLeRougeEtAl2011.pdf
4,P_0000000316,Journal of the Association for Information,"Grytten, Petter and Østerlie, Thomas and Haavik, Torgeir Kolstø",,data/pdfs/15_5/AlmklovOsterlieHaavik2014.pdf
4,P_0000000376,Journal of the Association for Information,"Kaniadakis, Antonios and Constantinides, Panos",,data/pdfs/15_5/KaniadakisConstantinides2014.pdf
4,P_0000000552,Journal of the Association for Information,"Ribes, David and Polk, Jessica Beth and Monteiro, Eric",,data/pdfs/15_5/RibesPolk2014.pdf
5,P_0000000170,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Shafiq Khan, Sarah and Zhao, Kexin and Kumar, Ram L and Stylianou, Antonis and Khan, Sarah S and Kong, Hong and Zhao, Taiwan Kexin",,data/pdfs/18_5/KhanZhaoKumarEtAl2017.pdf
5,P_0000000266,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Arazy, Ofer and Kopak, Rick and Hadar, Irit",,data/pdfs/18_5/ArazyKopakHadar2017.pdf
6,P_0000000204,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Warkentin, Merrill and Goel, Sanjay and Menard, Philip",,data/pdfs/18_11/WarkentinGoelMenard2017.pdf
