ID,orig_ID,orig_source,number,volume,journal,author,grobid-version,file,ENTRYTYPE,title,year,doi,note
P_0000000003,0000000003,pdf,5,16,Journal of the Association for Information Systems,"Rodon, Joan and Silva, Leiser",lfoppiano/grobid:0.8.1,data/pdfs/16_5/RodonSilva2015.pdf,article,,,,
P_0000000004,0000000004,pdf,4,7,Journal of the Association for Information Systems,"Iyer, Govind and Ravindran, Sury and Reckers, Philip M J and Lin, Fu-Ren and Sougstad, Ryan and Ho, Shu-Chun",lfoppiano/grobid:0.8.1,data/pdfs/7_4/IyerRavindranReckers2006.pdf,article,Procurement of IT Consulting Services and Firm-Specific Characteristics 1,,,
P_0000000005,0000000005,pdf,7,12,Journal of the Association for Information Systems,"Cheng, Jiesi and Sun, Aaron and Hu, Daning and Zeng, Daniel",lfoppiano/grobid:0.8.1,data/pdfs/12_7/ChengSunHuEtAl2011.pdf,article,Journal of the Association for Information,,,
P_0000000006,0000000006,pdf,8,7,Journal of the Association for Information Systems,"Bowen, Paul L and Cpa and O'farrell, Robert A and Rohde, Fiona H",lfoppiano/grobid:0.8.1,data/pdfs/7_8/BowenOFarrellRohde2006.pdf,article,Analysis of Competing Data Structures: Does Ontological Clarity Produce Better End User Query Performance 1,,,
P_0000000007,0000000007,pdf,10,17,Journal of the Association for Information Systems,"Paper, Research and Gleasure, Rob and Feller, Joseph",lfoppiano/grobid:0.8.1,data/pdfs/17_10/GleasureFeller2016.pdf,article,J ournal of the A I S ssociation for nformation ystems,2016,,
P_0000000008,0000000008,pdf,10,13,Journal of the Association for Information Systems,"Goh, Samuel and Wasko, Molly",lfoppiano/grobid:0.8.1,data/pdfs/13_10/GohWasko2012.pdf,article,Journal of the Association for Information,,,
P_0000000009,0000000009,pdf,4,9,Journal of the Association for Information Systems,"Sutton, Steve G and Khazanchi, Deepak and March, Sal and Raghu, T. S and Vinze, Ajay and Hampton, Clark and Arnold, Vicky",lfoppiano/grobid:0.8.1,data/pdfs/9_4/SuttonHamptonKhazanchiEtAl2008.pdf,article,,,,
P_0000000010,0000000010,pdf,4,15,Journal of the Association for Information Systems,"Eric Monteiro, Neil Pollock and Williams, Robin",lfoppiano/grobid:0.8.1,data/pdfs/15_4/MonteiroPollockWilliams2014.pdf,article,Innovation in Information Infrastructures: Introduction to the Special Issue,,,
P_0000000011,0000000011,pdf,10,16,Journal of the Association for Information Systems,"Lankton, Nancy K and Mcknight, D. Harrison and Tripp, John and Davidson, Elizabeth",lfoppiano/grobid:0.8.1,data/pdfs/16_10/LanktonMcKnightTripp2015.pdf,article,Journal of the Association for Information Research Article,,,
P_0000000012,0000000012,pdf,4,7,Journal of the Association for Information Systems,"Tan, Chengxun and Siew, Kien and Sia",lfoppiano/grobid:0.8.1,data/pdfs/7_4/TanKien2006.pdf,article,Managing Flexibility in Outsourcing 1,,,
