cluster_id,id,title,author,doi,file
0,P_000850,The Role of AI-Based Artifacts' Voice Capabilities for Agency Attribution,"Schmitt, Anuschka and Zierau, Naim and Janson, Andreas and Leimeister, Jan Marco",10.17705/1JAIS.00827,
0,P_000869,The Role of AI-Based Artifacts' Voice Capabilities for Agency Attribution,"Schmitt, Anuschka and Zierau, Naim and Janson, Andreas and Leimeister, Jan Marco",10.17705/1JAIS.00827,
1,P_000887,Product Differentiation in IT Industries: The Interplay between M&As and In-House Innovation and Exploitative Innovation Orientation,"Qi, Kangkang and Han, Sumin and Jeong, Yeasung and Rhamati, Pouya and Susarla, Anjana and Sambamurthy, Vallabh",10.17705/1JAIS.00828,
1,P_000961,Product Differentiation in IT Industries: The Interplay between M&As and In-House Innovation and Exploitative Innovation Orientation,"Qi, Kangkang and Han, Sumin and Jeong, Yeasung and Rhamati, Pouya and Susarla, Anjana and Sambamurthy, Vallabh",10.17705/1JAIS.00828,
2,P_000849,A Warning Approach to Mitigating Bandwagon Bias in Online Ratings: Theoretical Analysis and Experimental Investigations,"Wu, Ding and Guo, Xunhua and Wang, Yuejun and Chen, Guoqing",10.17705/1JAIS.00817,
2,P_000868,A Warning Approach to Mitigating Bandwagon Bias in Online Ratings: Theoretical Analysis and Experimental Investigations,"Wu, Ding and Guo, Xunhua and Wang, Yuejun and Chen, Guoqing",10.17705/1JAIS.00817,
3,P_000888,A Process for Managing Digital Transformation: An Organizational A Process for Managing Digital Transformation: An Organizational Inertia Perspective Inertia Perspective,"Kaganer, Evgeny ; and Gregory, Robert Wayne and Sarker, Suprateek and Wayne,",10.17705/1JAIS.00819,
3,P_000962,A Process for Managing Digital Transformation: An Organizational A Process for Managing Digital Transformation: An Organizational Inertia Perspective Inertia Perspective,"Kaganer, Evgeny ; and Gregory, Robert Wayne and Sarker, Suprateek and Wayne,",10.17705/1JAIS.00819,
4,P_000889,Sensing the Future: A Design Framework for Context-Aware Sensing the Future: A Design Framework for Context-Aware Predictive Systems Predictive Systems,"Avital, Michel and Chatterjee, Samir and Furtak, Szymon",10.17705/1JAIS.00821,
4,P_000963,Sensing the Future: A Design Framework for Context-Aware Sensing the Future: A Design Framework for Context-Aware Predictive Systems Predictive Systems,"Avital, Michel and Chatterjee, Samir and Furtak, Szymon",10.17705/1JAIS.00821,
5,P_000843,Security is Local: The Influence of the Immediate Workgroup on Security is Local: The Influence of the Immediate Workgroup on Information Security Information Security,"Wang, David and Durcikova, Alexandra and Dennis, Alan R and Lowry, Paul Benjamin",10.17705/1JAIS.00812,
5,P_000862,Security is Local: The Influence of the Immediate Workgroup on Security is Local: The Influence of the Immediate Workgroup on Information Security Information Security,"Wang, David and Durcikova, Alexandra and Dennis, Alan R and Lowry, Paul Benjamin",10.17705/1JAIS.00812,
