ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,abstract,language,author,cited_by,fulltext,url,dblp_key,metadata_source
000001,article,10.1057/JIT.2013.29,Journal of Information Technology,Everything Counts in Large Amounts: A Critical Realist Case Study on Data-Based Production,2014,29,1,97--110,"Contemporary digital ecosystems produce vast amounts of data every day. The data are often no more than microscopic log entries generated by the elements of an information infrastructure or system. Although such records may represent a variety of things outside the system, their powers go beyond the capacity to carry semantic content. In this article, we harness critical realism to explain how such data come to matter in specific business operations. We analyse the production of an advertising audience from data tokens extracted from a telecommunications network. The research is based on an intensive case study of a mobile network operator that tries to turn its subscribers into an advertising audience. We identify three mechanisms that shape data-based production and three properties that characterize the underlying pool of data. The findings advance the understanding of many organizational settings that are centred on data processing.",eng,"Aaltonen, Aleksi and Tempini, Niccoló",,,,,
000002,article,10.1080/02683960210145959,Journal of Information Technology,Exploring the gender question in critical information systems,2002,17,2,59--67,"This paper addresses ways in which theorizing gender may be important in forming an understanding of the topic of emancipation, which is central to the new critical information systems (IS) based on the thinking of Habermas. After briefly discussing some problems with current research on gender and IS the paper argues that appropriate feminist theory may be useful in augmenting our understanding of foundational issues such as emancipation. The development of feminist philosophy and epistemology is briefly introduced. Habermas’ ‘ideal speech situation’ is problematized in relation to feminist writing on male and female communication juxtaposed with recent research in computer-mediated communications. The paper continues by exploring the concept of emancipation through feminist epistemology and it closes with a preliminary consideration of how these concerns may be applied to critical IS.",eng,"Adam, Alison",33,http://journals.sagepub.com/doi/pdf/10.1080/02683960210145959,,,
000003,article,10.1057/JIT.2012.12,Journal of Information Technology,IS and Its Agenda,2012,27,2,102--103,,eng,"Adam, Alison",4,,,,
000004,article,10.1080/02683960010008953,Journal of Information Technology,Lessons from enterprise resource planning implementations in Ireland – towards smaller and shorter ERP projects,2000,15,4,305--316,,,"Adam, Frédéric and O'Doherty, Peter",43,,,,
000005,article,10.1057/JIT.1988.19,Journal of Information Technology,Travelling Electronic Highways,1988,3,2,106--109,,eng,"Adams, Dennis and Hamm, Mary",0,,,,
000006,article,10.1057/JIT.1986.7,Journal of Information Technology,Knowledge for the New Generation Computers,1986,1,1,38--45,,eng,"Addis, T R",0,,,,
000007,article,10.1080/0268396032000150799,Journal of Information Technology,Effects of Media Formats on Emotions and Impulse Buying Intent,2003,18,4,247--266,"One way of generating revenue from broadband media content rests upon the assumption that multi-media content may trigger a greater intent to buy products and services impulsively. An experiment was performed in order to explore the effects of media formats on the emotions and impulse buying intentions for music compact discs (CDs). Three distinct media formats of World Wide Web pages were set up: (1) the text of the lyrics, (2) still images from the song's music video and (3) the music video itself. Each had a varying degree of visual/ verbal intensity while simultaneously playing the soundtrack in all three conditions. The results of this study indicate that displaying the text of the lyrics had a greater effect on the impulse buying intent than showing still images of the music video. In addition, different media formats caused emotional responses that can explain the participant's impulse buying intent to buy the CD. Unexpectedly, the still images and video did not necessarily generate more buying intention than combinations of the text and music. Therefore, it is recommended that electronic commerce and marketing managers explore innovative ways of integrating visual and verbal media formats for eliciting an effective consumer response.",eng,"Adelaar, Thomas and Chang, Susan and Lancendorfer, Karen M. and Lee, Byoungkwan and Morimoto, Mariko",141,http://journals.sagepub.com/doi/pdf/10.1080/0268396032000150799,,,
000008,article,10.1080/026839600344393,Journal of Information Technology,Participatory sociotechnical design of organizations and information systems – an adaptation of ETHICS methodology,2000,15,1,39--51,,,"Adman, Peter and Warren, Lorraine",3,,,,
000009,article,10.1057/JIT.1992.13,Journal of Information Technology,Issues in the design and administration of distributed model management systems,1992,7,2,87--94,,eng,"Agarwal, Ritu and Ghosh, Deb",0,,,,
000010,article,10.1057/PALGRAVE.JIT.2000055,Journal of Information Technology,Socio–instrumental Usability: IT is all about Social Action 1,2006,21,1,24--39,"Usability is an important concept that seems to receive less attention than it deserves outside of the core Human–Computer Interaction community. The reason for this apparent lack of interest may stem from an overly instrumental orientation towards usability that does not appeal to more socially oriented researchers. Three central criteria for usability, as reflected in the contemporary literature, are the effectiveness, efficiency and satisfaction with which users can achieve specified goals. These criteria are often expressed in terms of achieving goals, which, at least tacitly, seem to be restricted to goals related to an instrumental view on the use of IT. To broaden this view, the paper elaborates on how the concept of usability can be understood and used within a social action context. How social goals are related to the effectiveness, efficiency and satisfaction criteria is addressed specifically. It is argued that in order truly to understand usability, we must consider both instrumental and social goals since their combination constitute a fundamental part of the social action context in which systems are used. Both instrumental and social goals affect the way systems and use-situations are designed and conceived. Interpreting usability from this broad social action perspective may be a way to make the concept more accepted throughout the wide variety of areas dealing with the design of IT systems.",eng,"Ågerfalk, Pär J and Eriksson, Owen",11,,,,
