cluster_id,id,title,author,doi
0,C_000480,Impact of Knowledge Based Information Systems on Organisations,"Jamieson, Rodger and Szeto, Richard",10.1057/JIT.1989.19
0,C_001542,Impact of Knowledge Based Information Systems on Organisations,"Jamieson, Rodger and Szeto, Richard",10.1057/JIT.1989.19
0,C_001944,Impact of Knowledge Based Information Systems on Organisations,"Jamieson, Rodger and Szeto, Richard",10.1177/026839628900400304
0,D_000136,Impact of Knowledge Based Information Systems on Organisations,"Jamieson, Rodger and Szeto, Richard",10.1057/JIT.1989.19
0,P_0000000832,Impact of Knowledge Based Information Systems on Organisations,"Jamieson, Rodger and Szeto, Richard and Nexpert, Kee * and Advisor, Esp and La, M.",
1,C_000312,Matching an IT Project with an appropriate method of evaluation: a research note on ‘Evaluating Investments in IT’,"Farbey, Barbara and Targett, David and Land, Frank",10.1057/JIT.1994.23
1,C_001374,Matching an IT Project with an appropriate method of evaluation: a research note on ‘Evaluating Investments in IT’,"Farbey, Barbara and Targett, David and Land, Frank",10.1057/JIT.1994.23
1,C_002396,Matching An it Project with An Appropriate Method of Evaluation: A Research Note on ‘Evaluating Investments in IT’,"Farbey, Barbara and Targett, David and Land, Frank",10.1177/026839629400900307
1,D_000357,Matching an IT Project with an appropriate method of evaluation - a research note on 'Evaluating Investments in IT',"Farbey, Barbara and Targett, David and Land, Frank F.",10.1057/JIT.1994.23
2,C_000990,Innovation in Technology and Organization,"Willcocks, Leslie",10.1057/JIT.1990.22
2,C_002044,Book Review: Innovation in Technology and Organization,"Willcocks, Leslie",10.1177/026839629000500209
2,D_000203,Innovation in Technology and Organization,"Willcocks, Leslie P.",10.1057/JIT.1990.22
2,P_0000000309,Book Reviews Innovation in Technology and Organization,"Clark, Peter and Routledgc, Neil Staunton and London",
3,C_000751,The New Industrial Society and its Infrastructure,"Priban, Ian",10.1057/JIT.1988.8
3,C_001975,The New Industrial Society and its Infrastructure,"Priban, Ian",10.1177/026839628800300108
3,D_000105,The New Industrial Society and its Infrastructure,"Priban, Ian",10.1057/JIT.1988.8
3,P_0000000481,The New Industrial Society and its Infrastructure,"Priban, Ian",
4,C_000272,Information technology as disciplinary technology: being critical in interpretive research on information systems,"Doolin, Bill",10.1057/JIT.1998.8
4,C_001334,Information technology as disciplinary technology: being critical in interpretive research on information systems,"Doolin, Bill",10.1057/JIT.1998.8
4,C_002461,Information Technology as Disciplinary Technology: Being Critical in Interpretive Research on Information Systems,"Doolin, Bill",10.1177/026839629801300408
4,D_000468,Information technology as disciplinary technology - being critical in interpretive research on information systems,"Doolin, Bill",10.1057/JIT.1998.8
4,P_0000000063,Information technology as disciplinary technology: being critical in interpretive research on information systems,"Doolin, Bill",
5,C_000225,The Systems Implications of Fourth Generation Languages,"Crinnion, John",10.1057/JIT.1989.9
5,C_001287,The Systems Implications of Fourth Generation Languages,"Crinnion, John",10.1057/JIT.1989.9
5,C_002199,The Systems Implications of Fourth Generation Languages,"Crinnion, John",10.1177/026839628900400202
5,D_000138,The Systems Implications of Fourth Generation Languages,"Crinnion, John",10.1057/JIT.1989.9
5,P_0000001064,The Systems Implications of Fourth Generation Languages,"Crinnion, John",
6,C_000407,Many Rivers to Cross: From Ict to Knowledge Management Systems,"Hendriks, Paul H. J.",10.1080/02683960110054799
6,C_001469,Many Rivers to Cross: From Ict to Knowledge Management Systems,"Hendriks, Paul H. J.",10.1080/02683960110054799
6,D_000558,Many rivers to cross - from ICT to knowledge management systems,"Hendriks, Paul H. J.",10.1080/02683960110054799
6,P_0000001061,Many rivers to cross: from ICT to knowledge management systems,"He Ndriks, Paul H J",10.1080/02683960110054799
7,C_000132,Software product design: an organizing concept for software engineering education,"Bray, Ian and Jones, Orville and Webster, Stephen",10.1057/JIT.1990.7
7,C_001194,Software product design: an organizing concept for software engineering education,"Bray, Ian and Jones, Orville and Webster, Stephen",10.1057/JIT.1990.7
7,C_002173,Software Product Design: An Organizing Concept for Software Engineering Education,"Bray, Ian and Jones, Orville and Webster, Stephen",10.1177/026839629000500107
7,D_000183,Software product design - an organizing concept for software engineering education,"Bray, Ian and Jones, Orville and Webster, Stephen",10.1057/JIT.1990.7
7,P_0000000892,Software product design: an organizing concept for software engineering education,"Bray, Ian and Jones, Orville and Webster, Stephen",
8,C_000174,Participation in the development of inter-organizational systems involving users outside the organization,"Cavaye, Angèle L M",10.1057/JIT.1995.18
8,C_001236,Participation in the development of inter-organizational systems involving users outside the organization,"Cavaye, Angèle L M",10.1057/JIT.1995.18
8,C_002464,Participation in the Development of Inter-Organizational Systems Involving users outside the Organization,"Cavaye, Angèle L.M.",10.1177/026839629501000302
8,D_000394,Participation in the development of inter-organizational systems involving users outside the organization,"Cavaye, Angèle L. M.",10.1057/JIT.1995.18
8,P_0000000812,Participation in the development of interorganizational systems involving users outside the organization,"Cavaye, Angele L M",
9,C_000328,Challenging the hierarchical perspective on information systems: implications from external information analysis,"Finnegan, Pat and Murphy, Ciaran and O'Riordan, John",10.1080/026839699344728
9,C_001390,Challenging the hierarchical perspective on information systems: implications from external information analysis,"Finnegan, Pat and Murphy, Ciaran and O'Riordan, John",10.1080/026839699344728
9,C_002166,Challenging the Hierarchical Perspective on Information Systems: Implications from External Information Analysis,"Finnegan, Pat and Murphy, Ciaran and O'Riordan, John",10.1177/026839629901400103
9,D_000495,Challenging the hierarchical perspective on information systems - implications from external information analysis,"Finnegan, Pat and Murphy, Ciaran and O'Riordan, John",10.1080/026839699344728
9,P_0000000502,Challenging the hierarchical perspective on information systems: implications from external information analysis,"Finne Gan, Pat and Joh N O' Riordan",
10,C_000592,Editorial,"Leeming, Anne and Willcocks, Leslie",10.1057/JIT.1991.25
10,C_001654,Editorial,"Leeming, Anne and Willcocks, Leslie",10.1057/JIT.1991.25
10,C_001826,Editorial,"Leeming, Anne and Willcocks, Leslie",10.1177/0268396291006003-401
10,D_000259,Editorial,"Leeming, Anne and Willcocks, Leslie P.",10.1057/JIT.1991.25
11,C_000252,Retrospect and prospect: information systems in the last and next 25 years: response and extension,"M Davison, Robert",10.1057/JIT.2010.35
11,C_001314,Retrospect and prospect: information systems in the last and next 25 years: response and extension,"M Davison, Robert",10.1057/JIT.2010.35
11,C_002170,Retrospect and Prospect: Information Systems in the Last and Next 25 Years: Response and Extension,"Davison, Robert M",10.1057/JIT.2009.35
11,D_000807,Retrospect and prospect - information systems in the last and next 25 years - response and extension,"Davison, Robert M.",10.1057/JIT.2010.35
11,P_0000000492,Retrospect and prospect: information systems in the last and next 25 years: response and extension,"Davison, Robert M",10.1057/JIT.2010.35
12,C_000292,Bridging Broadband Internet Divides: Reconfiguring access to Enhance Communicative Power,"Dutton, William H and Gillett, Sharon Eisner and McKnight, Lee W and Peltu, Malcolm",10.1057/PALGRAVE.JIT.2000007
