ID,orig_ID,orig_source,language,abstract,pages,number,volume,year,title,journal,author,doi,ENTRYTYPE,fulltext,cited_by,url,dblp_key,grobid-version,file,note
C_000001,000001,crossref,eng,"Contemporary digital ecosystems produce vast amounts of data every day. The data are often no more than microscopic log entries generated by the elements of an information infrastructure or system. Although such records may represent a variety of things outside the system, their powers go beyond the capacity to carry semantic content. In this article, we harness critical realism to explain how such data come to matter in specific business operations. We analyse the production of an advertising audience from data tokens extracted from a telecommunications network. The research is based on an intensive case study of a mobile network operator that tries to turn its subscribers into an advertising audience. We identify three mechanisms that shape data-based production and three properties that characterize the underlying pool of data. The findings advance the understanding of many organizational settings that are centred on data processing.",97--110,1,29,2014,Everything Counts in Large Amounts: A Critical Realist Case Study on Data-Based Production,Journal of Information Technology,"Aaltonen, Aleksi and Tempini, Niccoló",10.1057/JIT.2013.29,article,,,,,,,
C_000002,000002,crossref,eng,"This paper addresses ways in which theorizing gender may be important in forming an understanding of the topic of emancipation, which is central to the new critical information systems (IS) based on the thinking of Habermas. After briefly discussing some problems with current research on gender and IS the paper argues that appropriate feminist theory may be useful in augmenting our understanding of foundational issues such as emancipation. The development of feminist philosophy and epistemology is briefly introduced. Habermas’ ‘ideal speech situation’ is problematized in relation to feminist writing on male and female communication juxtaposed with recent research in computer-mediated communications. The paper continues by exploring the concept of emancipation through feminist epistemology and it closes with a preliminary consideration of how these concerns may be applied to critical IS.",59--67,2,17,2002,Exploring the gender question in critical information systems,Journal of Information Technology,"Adam, Alison",10.1080/02683960210145959,article,http://journals.sagepub.com/doi/pdf/10.1080/02683960210145959,33,,,,,
C_000003,000003,crossref,eng,,102--103,2,27,2012,IS and Its Agenda,Journal of Information Technology,"Adam, Alison",10.1057/JIT.2012.12,article,,4,,,,,
C_000004,000004,crossref,,,305--316,4,15,2000,Lessons from enterprise resource planning implementations in Ireland – towards smaller and shorter ERP projects,Journal of Information Technology,"Adam, Frédéric and O'Doherty, Peter",10.1080/02683960010008953,article,,43,,,,,
C_000005,000005,crossref,eng,,106--109,2,3,1988,Travelling Electronic Highways,Journal of Information Technology,"Adams, Dennis and Hamm, Mary",10.1057/JIT.1988.19,article,,0,,,,,
C_000006,000006,crossref,eng,,38--45,1,1,1986,Knowledge for the New Generation Computers,Journal of Information Technology,"Addis, T R",10.1057/JIT.1986.7,article,,0,,,,,
C_000007,000007,crossref,eng,"One way of generating revenue from broadband media content rests upon the assumption that multi-media content may trigger a greater intent to buy products and services impulsively. An experiment was performed in order to explore the effects of media formats on the emotions and impulse buying intentions for music compact discs (CDs). Three distinct media formats of World Wide Web pages were set up: (1) the text of the lyrics, (2) still images from the song's music video and (3) the music video itself. Each had a varying degree of visual/ verbal intensity while simultaneously playing the soundtrack in all three conditions. The results of this study indicate that displaying the text of the lyrics had a greater effect on the impulse buying intent than showing still images of the music video. In addition, different media formats caused emotional responses that can explain the participant's impulse buying intent to buy the CD. Unexpectedly, the still images and video did not necessarily generate more buying intention than combinations of the text and music. Therefore, it is recommended that electronic commerce and marketing managers explore innovative ways of integrating visual and verbal media formats for eliciting an effective consumer response.",247--266,4,18,2003,Effects of Media Formats on Emotions and Impulse Buying Intent,Journal of Information Technology,"Adelaar, Thomas and Chang, Susan and Lancendorfer, Karen M. and Lee, Byoungkwan and Morimoto, Mariko",10.1080/0268396032000150799,article,http://journals.sagepub.com/doi/pdf/10.1080/0268396032000150799,141,,,,,
C_000008,000008,crossref,,,39--51,1,15,2000,Participatory sociotechnical design of organizations and information systems – an adaptation of ETHICS methodology,Journal of Information Technology,"Adman, Peter and Warren, Lorraine",10.1080/026839600344393,article,,3,,,,,
C_000009,000009,crossref,eng,,87--94,2,7,1992,Issues in the design and administration of distributed model management systems,Journal of Information Technology,"Agarwal, Ritu and Ghosh, Deb",10.1057/JIT.1992.13,article,,0,,,,,
C_000010,000010,crossref,eng,"Usability is an important concept that seems to receive less attention than it deserves outside of the core Human–Computer Interaction community. The reason for this apparent lack of interest may stem from an overly instrumental orientation towards usability that does not appeal to more socially oriented researchers. Three central criteria for usability, as reflected in the contemporary literature, are the effectiveness, efficiency and satisfaction with which users can achieve specified goals. These criteria are often expressed in terms of achieving goals, which, at least tacitly, seem to be restricted to goals related to an instrumental view on the use of IT. To broaden this view, the paper elaborates on how the concept of usability can be understood and used within a social action context. How social goals are related to the effectiveness, efficiency and satisfaction criteria is addressed specifically. It is argued that in order truly to understand usability, we must consider both instrumental and social goals since their combination constitute a fundamental part of the social action context in which systems are used. Both instrumental and social goals affect the way systems and use-situations are designed and conceived. Interpreting usability from this broad social action perspective may be a way to make the concept more accepted throughout the wide variety of areas dealing with the design of IT systems.",24--39,1,21,2006,Socio–instrumental Usability: IT is all about Social Action 1,Journal of Information Technology,"Ågerfalk, Pär J and Eriksson, Owen",10.1057/PALGRAVE.JIT.2000055,article,,11,,,,,
C_000011,000011,crossref,,,3--13,1,12,1997,Resolving conflict of interests in the process of an information system implementation for advanced telecommunication services,Journal of Information Technology,"Ahn, Jae-Hyeon and Skudlark, Ann E",10.1080/026839697345170,article,,12,,,,,
C_000012,000012,crossref,eng,"Managing risk in a new product and service development process is one of the major challenges for many business managers. A scenario planning approach was incorporated into a new telecommunications service development process in order to understand the uncertainties shaping the future economic, business and technological environments. Understanding the major drivers for uncertainties helped in gaining insight and thereby generated new strategies for reducing risks and taking advantage of opportunities from uncertainty. In order to demonstrate the process and value of the approach, it was applied to a new telecommunications service concept, the Phoneweb service, which allows Internet access through telephones rather than a computer interface.",103--118,3,17,2002,Managing Risk in a New Telecommunications Service Development Process through a Scenario Planning Approach,Journal of Information Technology,"Ahn, Jae-Hyeon and Skudlark, Ann",10.1080/02683960210161258,article,http://journals.sagepub.com/doi/pdf/10.1080/02683960210161258,21,,,,,
C_000013,000013,crossref,eng,"More than 10 years ago, Orlikowski and Iacono (2001) examined the conceptualization of Information Technology (IT) in Information Systems Research (ISR) articles published in the 1990s. Their main conclusion was that the majority of these articles did not properly conceptualize the IT artifact. They recommended that IS researchers start to theorize about the IT artifact and employ rich conceptualizations of IT. The Orlikowski and Iacono paper provides a strong anchor point from which to analyze the evolution of the IS discipline. In order to obtain an up-to-date image of contemporary IS research, and to assess how the IS field has evolved since the 1990s, we carried out a similar analysis on a more recent and broader set of articles, that is, the full set (N = 644) of papers published between 2006 and 2009 by six top North American (ISR, MISQ, JAIS) and European (JIT, ISJ, EJIS) journals. The statistics in our results reveal no drastic advance in terms of deeper engagement with the IT artifact; more than 39% of the articles in our set are virtually mute about the artifact, and less than 16% employ an ensemble view of IT. Moreover, we note differences among the North American and European journals. Implications of the findings for two perspectives central to the IS research legitimacy debate are discussed.",150--166,2,28,2013,"The Ongoing Quest for the it Artifact: Looking Back, Moving Forward",Journal of Information Technology,"Akhlaghpour, Saeed and Wu, Jing and Lapointe, Liette and Pinsonneault, Alain",10.1057/JIT.2013.10,article,,32,,,,,
C_000014,000014,crossref,eng,,5--5,1,1,1986,Editorial,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.1,article,,0,,,,,
C_000015,000015,crossref,eng,,7--13,1,1,1986,Information Technology and the Management of Change,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.3,article,,1,,,,,
C_000016,000016,crossref,eng,,46--54,2,1,1986,Advanced IT: Decision Aids for Robotics,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.23,article,,0,,,,,
C_000017,000017,crossref,eng,,46--48,1,1,1986,The Strassmann Payoff,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.8,article,,0,,,,,
C_000018,000018,crossref,eng,,5--5,2,1,1986,Editorial,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.14,article,,0,,,,,
C_000019,000019,crossref,eng,,61--62,4,1,1986,Managing for Innovation – Leading Technical People,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.39,article,,0,,,,,
C_000020,000020,crossref,eng,,57--59,2,1,1986,The Study of Information: Interdisciplinary Messages,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.25,article,,0,,,,,
C_000021,000021,crossref,eng,,5--5,3,1,1986,Editorial,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.26,article,,0,,,,,
C_000022,000022,crossref,eng,,61--61,4,1,1986,Analysis and Design of Information Systems,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.38,article,,0,,,,,
C_000023,000023,crossref,eng,,5--5,4,1,1986,Editorial,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.33,article,,0,,,,,
C_000024,000024,crossref,eng,,43--43,3,1,1986,The Video Education Magazine,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.32,article,,0,,,,,
C_000025,000025,crossref,eng,,33--38,4,1,1986,Re-inventing Information: The Struggle for an Artificial Intelligence,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1986.35,article,,0,,,,,
C_000026,000026,crossref,eng,,5--5,1,2,1987,Editorial,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1987.1,article,,0,,,,,
C_000027,000027,crossref,eng,,49--50,1,2,1987,The Electronic Office in the Smaller Business,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1987.10,article,,0,,,,,
C_000028,000028,crossref,eng,,84--87,2,2,1987,Beyond Information Technology: The Force of Human Reason,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1987.17,article,,0,,,,,
C_000029,000029,crossref,eng,,57--57,2,2,1987,Editorial,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1987.11,article,,0,,,,,
C_000030,000030,crossref,eng,,109--109,3,2,1987,Editorial,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1987.21,article,,0,,,,,
C_000031,000031,crossref,eng,,119--123,3,2,1987,IT Research Direction in the United Kingdom: the Danger of Future Collapse,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1987.24,article,,0,,,,,
C_000032,000032,crossref,eng,,160--160,4,2,1987,Editorial,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1987.30,article,,0,,,,,
C_000033,000033,crossref,eng,,226--227,4,2,1987,The Information Weapon,Journal of Information Technology,"Aleksander, Igor",10.1057/JIT.1987.40,article,,0,,,,,
C_000034,000034,crossref,eng,,108--111,2,4,1989,Why Neural Computing?,Journal of Information Technology,"Aleksander, I",10.1057/JIT.1989.13,article,,1,,,,,
C_000035,000035,crossref,eng,"Is artificial intelligence (AI) just something that is done in laboratories disconnected from the development of the pragmatic computing, which constitutes current information technology or does it contribute to progress in computing and information technology? It has even been suggested that advances in AI are merely a re-branding exercise for promises that are rarely kept. This paper is a personal view of the forces that have driven the development of AI in the past and what might be a serious paradigm shift in the future. The latter points to what appears to be the most abstruse corner of the subject: the modelling of the human brain and the possibility of designing systems with the brain's ability to create conscious thought. There have been accusations that AI is always ahead on promise and behind on delivery. This is an inaccurate view. In broad terms, the argument presented here suggests that as AI developed, progress was achieved by overcoming unforeseen difficulties in the pursuit of very ambitious targets, not just a re-branding of promises. This process not only advanced AI but also fed into the mainstream of computing that underpins the information technology of the present time. While the outcome of the paradigm shift towards conscious machines, which is examined at the end of this paper is still unclear, it is possible to speculate how information technology might be affected in the future.",21--27,1,19,2004,Advances in Intelligent Information Technology: Re-Branding or Progress towards Conscious Machines?,Journal of Information Technology,"Aleksander, Igor",10.1057/PALGRAVE.JIT.2000001,article,,3,,,,,
C_000036,000036,crossref,eng,"As robots are generally thought to perform human-like tasks, they depend on the successes of information technology in the area of artificial intelligence to succeed in such pursuits. But robots, through their anthropomorphic character and their weighty presence in science fiction, attract the attention of the press and the media in a way that, at times, blurs the distinction between the actual state of the art and exaggerated claims. This makes it hard to assess the true functional positioning of robots, how this is likely to move forward and whether the outcome of progress could be detrimental to human society. The aim of this paper is to review the actual level of competence that is being achieved in robotics research laboratories and a plausible impact that this is likely to have on human control over life and jobs. The key thesis here is that cognition in machines and even an artificial form of consciousness lead to operations in a set of tasks (the ‘algorithmic’ category) which is different from that available to truly cognitive and conscious human beings (the ‘life-need’ category): that is, in the paper it is argued that a major category error (Ryle in The concept of mind, University of Chicago Press, Chicago, 1949) looms in predictions of serious threats to humanity. As far as a threat to jobs goes, it is argued that early attention to education and re-skilling of humans in the workplace can lead to an effective symbiosis between people and robots.",1--9,1,32,2017,Partners of Humans: A Realistic Assessment of the Role of Robots in the Foreseeable Future,Journal of Information Technology,"Aleksander, Igor",10.1057/S41265-016-0032-4,article,,35,,,,,
C_000037,000037,crossref,eng,,5--5,1,3,1988,Editorial,Journal of Information Technology,"Aleksander, Igor and Holloway, Henry",10.1057/JIT.1988.1,article,,0,,,,,
