cluster_id,id,title,author,doi
0,C_000159,Role of Value Compatibility in it Adoption,"Bunker, Deborah and Kautz, Karl-Heinz and Nguyen, Anne Luu Thanh",10.1057/PALGRAVE.JIT.2000092
0,D_000721,Role of value compatibility in IT adoption,"Bunker, Deborah and Kautz, Karlheinz and Nguyen, Anne Luu Thanh",10.1057/PALGRAVE.JIT.2000092
0,P_0000000404,Role of value compatibility in IT adoption,"Bunker, Deborah and Kautz, Karl-Heinz and Luu, Anne and Nguyen, Thanh",10.1057/PALGRAVE.JIT.2000092
1,C_000238,Emergent States in Virtual Teams: A Complex Adaptive Systems Perspective,"Curşeu, Petru Lucian",10.1057/PALGRAVE.JIT.2000077
1,D_000693,Emergent states in virtual teams - a complex adaptive systems perspective,"Curseu, Petru Lucian",10.1057/PALGRAVE.JIT.2000077
1,P_0000000263,Emergent states in virtual teams: a complex adaptive systems perspective,"Curs¸eu, Petru Lucian",10.1057/PALGRAVE.JIT.2000077
2,C_001041,Global information systems: a joint venture between business and education,"Yasin, Mahmoud M and Green, Ronald F",10.1057/JIT.1991.13
2,D_000249,Global information systems - a joint venture between business and education,"Yasin, Mahmoud M. and Green, Ronald F.",10.1057/JIT.1991.13
2,P_0000000999,Global information systems: a joint venture between business and education,"Yasin, Mahmoud M and Green, Ronald F and Box",
3,C_000671,Japan's software factories: a challenge to US management,"Middleton, Peter",10.1057/JIT.1993.27
3,D_000329,Japan's software factories - a challenge to US management,"Middleton, Peter",10.1057/JIT.1993.27
3,P_0000000400,Japan's software factories: a challenge to US management,"Cusumano, Michael A",
4,C_000801,A survey of requirements verification techniques,"Sakthivel, Sachidanandam",10.1057/JIT.1991.12
4,D_000263,A survey of requirements verification techniques,"Sakthivel, Sachidanandam",10.1057/JIT.1991.12
4,P_0000000021,A survey of requirements verification techniques,"Sakthivel, Sachidanandam",
5,C_000383,High-Frequency Trading and its Role in Fragmented Markets,"Haferkorn, Martin",10.1057/S41265-016-0030-6
5,D_001036,High-frequency trading and its role in fragmented markets,"Haferkorn, Martin",10.1057/S41265-016-0030-6
5,P_0000000714,High-frequency trading and its role in fragmented markets,"Haferkorn, Martin",10.1057/S41265-016-0030-6
6,C_001031,Information Economics: a practical approach to valuing information systems,"Wiseman, Devra",10.1057/JIT.1992.23
6,D_000274,Information Economics - a practical approach to valuing information systems,"Wiseman, Devra",10.1057/JIT.1992.23
6,P_0000000312,Information Economics: a practical approach to valuing information systems,"Wiseman, Devra",
7,C_000766,E-Business Transformation at the Crossroads: Sears’ Dilemma,"Ranganathan, C and Shetty, Analini and Muthukumaran, Gayathri",10.1057/PALGRAVE.JIT.2000009
