ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,url,author,language,cited_by,dblp_key
000001,article,10.2753/MIS0742-1222280307,Journal of Management Information Systems,Seller Strategies for Differentiation in Highly Competitive Online Auction Markets,2011,28,3,235--268,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222280307,"Bockstedt, Jesse and Goh, Kim Huat",,,
000002,article,10.1080/07421222.1994.11518054,Journal of Management Information Systems,Expert Systems and Multimedia: Examining the Potential for Integration,1994,11,3,155--179,https://www.tandfonline.com/doi/abs/10.1080/07421222.1994.11518054,"Fuerst, William L. and Ragusa, James M. and Turban, Efraim",,,
000003,article,10.1080/07421222.1991.11517900,Journal of Management Information Systems,Editorial Introduction,1991,7,4,3--5,https://www.tandfonline.com/doi/abs/10.1080/07421222.1991.11517900,"Zwass, Vladimir",,,
000004,article,10.1080/07421222.1985.11517730,Journal of Management Information Systems,Scope/Complexity: A Framework for the Classification and Analysis of Information-Decision Systems,1985,2,2,55--72,https://www.tandfonline.com/doi/abs/10.1080/07421222.1985.11517730,"Belardo, Salvatore and Pazer, Harold L.",,,
000005,article,10.2753/MIS0742-1222220413,Journal of Management Information Systems,"Index to Journal of Management Information Systems Volume 22, 2005-6",2006,22,4,377--382,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222220413,,,,
000006,article,10.1080/07421222.2002.11045693,Journal of Management Information Systems,Dynamic Work Distribution in Workflow Management Systems: How to Balance Quality and Performance,2002,18,3,157--193,https://www.tandfonline.com/doi/abs/10.1080/07421222.2002.11045693,"Kumar, Akhil and Van Der Aalst, Wil M.P. and Verbeek, Eric M.W.",,,
000007,article,10.1080/07421222.1988.11517806,Journal of Management Information Systems,The Effect of Presentation Media on Recipient Performance in Text-based Information Systems,1988,4,4,25--43,https://www.tandfonline.com/doi/abs/10.1080/07421222.1988.11517806,"Kasper, George M. and Morris, Andrew H.",,,
000008,article,10.2753/MIS0742-1222240309,Journal of Management Information Systems,Managing Word Mismatch Problems in Information Retrieval: A Topic-Based Query Expansion Approach,2007,24,3,269--295,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222240309,"Wei, Chih-Ping and Hu, Paul Jen-Hwa and Tai, Chia-Hung and Huang, Chun-Neng and Yang, Chin-Sheng",,,
000009,article,10.1080/07421222.2002.11045720,Journal of Management Information Systems,Editorial Introduction,2002,19,2,5--6,https://www.tandfonline.com/doi/abs/10.1080/07421222.2002.11045720,,,,
000010,article,10.2753/MIS0742-1222310209,Journal of Management Information Systems,Collaborative Demand Forecasting: Toward the Design of an Exception-Based Forecasting Mechanism,2014,31,2,245--284,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222310209,"Dong, Yan and Huang, Xiaowen and Sinha, Kingshuk K. and Xu, Kefeng",,,
000011,article,10.2753/MIS0742-1222300201,Journal of Management Information Systems,Firm Strategy and the Internet in U.S. Commercial Banking,2013,30,2,9--40,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222300201,"Goh, Kim Huat and Kauffman, Robert J.",,,
000012,article,10.1080/07421222.1991.11517912,Journal of Management Information Systems,A Model for Evaluating Information Center Success,1991,8,1,91--106,https://www.tandfonline.com/doi/abs/10.1080/07421222.1991.11517912,"Magal, Simha R.",,,
000013,article,10.1080/07421222.1985.11517723,Journal of Management Information Systems,Classifying an Organization to Identify Its Information Requirements: A Comprehensive Framework,1985,2,1,39--60,https://www.tandfonline.com/doi/abs/10.1080/07421222.1985.11517723,"Yadav, Surya B.",,,
000014,article,10.1080/07421222.1993.11517986,Journal of Management Information Systems,Editorial Introduction,1993,10,1,3--6,https://www.tandfonline.com/doi/abs/10.1080/07421222.1993.11517986,"Zwass, Vladimir",,,
000015,article,10.1080/07421222.1996.11518109,Journal of Management Information Systems,Editorial Introduction,1996,13,1,3--8,https://www.tandfonline.com/doi/abs/10.1080/07421222.1996.11518109,"Zwass, Vladimir",,,
000016,article,10.1080/07421222.2000.11518273,Journal of Management Information Systems,"Index to Journal of Management Information Systems Volume 16, 1999–2000",2000,16,4,263--267,https://www.tandfonline.com/doi/abs/10.1080/07421222.2000.11518273,,,,
000017,article,10.1080/07421222.1998.11518194,Journal of Management Information Systems,Editorial Introduction,1998,15,1,3--8,https://www.tandfonline.com/doi/abs/10.1080/07421222.1998.11518194,"Zwass, Vladimir",,,
000018,article,10.1080/07421222.2017.1296741,Journal of Management Information Systems,Editorial Introduction,2017,34,1,1--10,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1296741,"Zwass, Vladimir",,,
000019,article,10.1080/07421222.2020.1759938,Journal of Management Information Systems,Too Busy to Be Manipulated: How Multitasking with Technology Improves Deception Detection in Collaborative Teamwork,2020,37,2,377--395,https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1759938,"Twyman, Nathan W. and Proudfoot, Jeffrey G. and Cameron, Ann-Frances and Case, Eric and Burgoon, Judee K. and Twitchell, Douglas P.",,,
000020,article,10.1080/07421222.1997.11518172,Journal of Management Information Systems,1001 Unanswered Research Questions in GSS,1997,14,3,3--21,https://www.tandfonline.com/doi/abs/10.1080/07421222.1997.11518172,"Briggs, Robert O. and Nunamaker, Jay F. and Sprague, Ralph H.",,,
000021,article,10.2753/MIS0742-1222220408,Journal of Management Information Systems,Interactions Between System Evaluation And Theory Testing: A Demonstration of the Power of a Mulitfaceted Approach to Systems Research,2006,22,4,207--235,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222220408,"CAO, JINWEI and CREWS, JANNA M. and LIN, MING and DEOKAR, AMIT and BURGOON, JUDEE K. and NUNAMAKER JR., JAY F.",,,
000022,article,10.1080/07421222.1988.11517804,Journal of Management Information Systems,Editorial Introduction,1988,4,4,3--4,https://www.tandfonline.com/doi/abs/10.1080/07421222.1988.11517804,"Zwass, Vladimir",,,
000023,article,10.1080/07421222.2002.11045730,Journal of Management Information Systems,Effects of Local Versus Global Schema Diagrams on Verification and Communication in Conceptual Data Modeling,2002,19,3,155--183,https://www.tandfonline.com/doi/abs/10.1080/07421222.2002.11045730,,,,
000024,article,10.1080/07421222.2017.1373012,Journal of Management Information Systems,Using IT Design to Prevent Cyberbullying,2017,34,3,863--901,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1373012,"Lowry, Paul Benjamin and Moody, Gregory D. and Chatterjee, Sutirtha",,,
000025,article,10.1080/07421222.1987.11517786,Journal of Management Information Systems,Design of a Self-evolving Decision Support System,1987,4,1,59--82,https://www.tandfonline.com/doi/abs/10.1080/07421222.1987.11517786,"Liang, Ting-Peng and Jones, Christopher V.",,,
