cluster_id,id,title,author,doi
0,C_001592,Do Computers Reduce the Value of Worker Persistence?,"Brynjolfsson, Erik and Liu, Meng and Westerman, George",10.1080/07421222.2021.2023406
0,D_001578,Do Computers Reduce the Value of Worker Persistence?,"Brynjolfsson, Erik and Liu, Meng and Westerman, George",
1,C_000071,About This Issue,"Zwass, Vladimir",10.1080/07421222.1985.11517719
1,C_001356,About This Issue,"Zwass, Vladimir",10.1080/07421222.1984.11517700
1,C_001361,About This Issue,"Zwass, Vladimir",10.1080/07421222.1985.11517711
1,D_000036,About This Issue,"Zwass, Vladimir",
2,C_001642,How Do Shared IT Applications Influence Agility? Theory and Evidence of a Convex Relationship,"Queiroz, Magno and Tallon, Paul P. and Coltman, Tim",10.1080/07421222.2022.2127452
2,D_001559,How Do Shared IT Applications Influence Agility? Theory and Evidence of a Convex Relationship,"Queiroz, Magno and Tallon, Paul P. and Coltman, Tim",
3,C_000040,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",10.1080/07421222.1996.11518120
3,C_000856,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",10.1080/07421222.1997.11518162
3,C_001103,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",10.1080/07421222.1999.11518242
3,D_000386,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",
3,D_000427,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",
3,D_000511,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",
4,C_000288,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",10.1080/07421222.1994.11518037
4,C_000606,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",10.1080/07421222.1993.11517997
4,C_000782,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",10.1080/07421222.1995.11518078
4,C_001158,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",10.1080/07421222.1992.11517955
4,D_000234,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
4,D_000272,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
4,D_000317,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
4,D_000351,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
5,C_001618,Leveraging Low Code Development of Smart Personal Assistants: An Integrated Design Approach with the SPADE Method,"Elshan, Edona and Ebel, Philipp and Söllner, Matthias and Leimeister, Jan Marco",10.1080/07421222.2023.2172776
5,D_001602,Leveraging Low Code Development of Smart Personal Assistants: An Integrated Design Approach with the SPADE Method,"Elshan, Edona and Ebel, Philipp and Söllner, Matthias and Leimeister, Jan Marco",
6,C_001606,"The Good, the Bad, and the Social Media: Financial Implications of Social Media Reactions to Firm-Related News","Peng, Jing and Zhang, Juheng and Gopal, Ram",10.1080/07421222.2022.2096547
6,D_001570,"The Good, the Bad, and the Social Media: Financial Implications of Social Media Reactions to Firm-Related News","Peng, Jing and Zhang, Juheng and Gopal, Ram",
7,C_001601,Greening the Cloud: A Load Balancing Mechanism to Optimize Cloud Computing Networks,"Kumar, Chetan and Marston, Sean and Sen, Ravi and Narisetty, Amar",10.1080/07421222.2022.2063551
7,D_001585,Greening the Cloud: A Load Balancing Mechanism to Optimize Cloud Computing Networks,"Kumar, Chetan and Marston, Sean R. and Sen, Ravi and Narisetty, Amar",
8,C_000993,Enterprise Resource Planning,,10.1080/07421222.2002.11045718
8,C_001262,Investment in Enterprise Resource Planning: Business Impact and Productivity Measures,"Hitt, Lorin M. and Wu, D.J. and Zhou, Xiaoge",10.1080/07421222.2002.11045716
8,D_000630,Investment in Enterprise Resource Planning - Business Impact and Productivity Measures,"Hitt, Lorin M. and Wu, D. J. and Zhou, Xiaoge",
8,D_000657,Special Section - Enterprise Resource Planning,"Ragowsky, Arik and Somers, Toni M.",
9,C_001596,Assessing and Enhancing Adversarial Robustness of Predictive Analytics: An Empirically Tested Design Framework,"Li, Weifeng and Chai, Yidong",10.1080/07421222.2022.2063549
9,D_001586,Assessing and Enhancing Adversarial Robustness of Predictive Analytics: An Empirically Tested Design Framework,"Li, Weifeng and Chai, Yidong",
10,C_001595,Effects of Online Crowds on Self-Disclosure Behaviors in Online Reviews: A Multidimensional Examination,"Choi, HanByeol Stella and Oh, Wonseok and Kwak, Chanhee and Lee, Junyeong and Lee, Heeseok",10.1080/07421222.2021.2023412
10,D_001562,Effects of Online Crowds on Self-Disclosure Behaviors in Online Reviews: A Multidimensional Examination,"Choi, HanByeol Stella and Oh, Wonseok and Kwak, Chanhee and Lee, Junyeong and Lee, Heeseok",
11,C_001588,The Impact of Trust and Recommendation Quality on Adopting Interactive and Non-Interactive Recommendation Agents: A Meta-Analysis,"Ebrahimi, Sepideh and Ghasemaghaei, Maryam and Benbasat, Izak",10.1080/07421222.2022.2096549
11,D_001583,The Impact of Trust and Recommendation Quality on Adopting Interactive and Non-Interactive Recommendation Agents: A Meta-Analysis,"Ebrahimi, Sepideh and Ghasemaghaei, Maryam and Benbasat, Izak",
12,C_000354,A Research Agenda for Trust in Online Environments,"Gefen, David and Benbasat, Izak and Pavlou, Paula",10.2753/MIS0742-1222240411
12,C_000793,Special Issue: Trust in Online Environments,"Benbasat, Izak and Gefen, David and Pavlou, Paul A.",10.2753/MIS0742-1222240400
12,D_000914,Special Issue - Trust in Online Environments,"Benbasat, Izak and Gefen, David and Pavlou, Paul A.",
12,D_000920,A Research Agenda for Trust in Online Environments,"Gefen, David and Benbasat, Izak and Pavlou, Paul A.",
13,C_000606,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",10.1080/07421222.1993.11517997
13,D_000317,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
13,D_000351,Special Section - Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",
14,C_000036,Special Section: Information Technology and IT Organizational Impact,"Nunamaker, Jay F. and Sprague, Ralph H.",10.1080/07421222.1994.11518047
14,C_000111,Special Issue: Information Technology and Its Organizational Impact,"Nunamaker, Jay F. and Sprague, Ralph H.",10.1080/07421222.1995.11518087
14,D_000357,Special Section - Information Technology and IT Organizational Impact,"Nunamaker Jr., Jay F. and Sprague Jr., Ralph H.",
14,D_000393,Special Issue - Information Technology and Its Organizational Impact,"Nunamaker Jr., Jay F. and Sprague Jr., Ralph H.",
15,C_001607,Special Section: Reevaluating Markets for Information,"Kauffman, Robert J. and Weber, Thomas A.",10.1080/07421222.2022.2096552
15,D_001555,Special Section: Reevaluating Markets for Information,"Kauffman, Robert J. and Weber, Thomas A.",
16,D_000914,Special Issue - Trust in Online Environments,"Benbasat, Izak and Gefen, David and Pavlou, Paul A.",
16,D_000920,A Research Agenda for Trust in Online Environments,"Gefen, David and Benbasat, Izak and Pavlou, Paul A.",
17,C_000836,Special Issue: Neuroscience in Information Systems Research,"Liang, Ting-Peng and vom Brocke, Jan",10.2753/MIS0742-1222300401
17,C_001119,Guidelines for Neuroscience Studies in Information Systems Research,"vom Brocke, Jan and Liang, Ting-Peng",10.2753/MIS0742-1222300408
17,D_001161,Special Issue - Neuroscience in Information Systems Research,"Liang, Ting-Peng and vomBrocke, Jan",
17,D_001165,Guidelines for Neuroscience Studies in Information Systems Research,"vomBrocke, Jan and Liang, Ting-Peng",
18,C_001617,Editorial Introduction,"Zwass, Vladimir",10.1080/07421222.2023.2172766
18,D_001610,Editorial Introduction,"Zwass, Vladimir",
19,C_001625,Formation and Action of a Learning Community with Collaborative Learning Software,"Eryilmaz, Evren and Thoms, Brian and Ahmed, Zafor and Lee, Howard",10.1080/07421222.2023.2172774
19,D_001607,Formation and Action of a Learning Community with Collaborative Learning Software,"Eryilmaz, Evren and Thoms, Brian and Ahmed, Zafor and Lee, Howard",
20,C_001580,The Power of Introverts: Personality and Intelligence in Virtual Teams,"Dennis, Alexander S. and Barlow, Jordan B. and Dennis, Alan R.",10.1080/07421222.2021.2023408
