cluster_id,id,title,author,doi
0,C_000953,Understanding Sustained Participation in Open Source Software Projects,"Fang, Yulin and Neufeld, Derrick",10.2753/MIS0742-1222250401
0,D_000936,Understanding Sustained Participation in Open Source Software Projects,"Fang, Yulin and Neufeld, Derrick J.",
1,C_000460,Exploring the Difficulties of Learning Object-Oriented Techniques,"Sheetz, Steven D. and Irwin, Gretchen and Tegarden, David P. and Nelson, H. James and Monarchi, David E.",10.1080/07421222.1997.11518167
1,D_000450,Exploring the Difficulties of Learning Object-Oriented Techniques,"Sheetz, Steven D. and Irwin, Gretchen and Tegarden, David P. and Nelson, H. James and Monarchi, David E.",
2,C_000412,"Special Section: Economics, Electronic Commerce, and Competitive Strategy","Clemons, Eric K. and Dewan, Rajiv M. and Kauffman, Robert J.",10.1080/07421222.2001.11045679
2,D_000593,"Special Section - Economics, Electronic Commerce, and Competitive Strategy","Clemons, Eric K. and Dewan, Rajiv M. and Kauffman, Robert J.",
3,C_000791,An Approach to Distribution of Object-Oriented Applications in Loosely Coupled Networks,"Purao, Sandeep and Jain, Hemant K. and Nazareth, Derek L.",10.1080/07421222.2002.11045689
3,D_000641,An Approach to Distribution of Object-Oriented Applications in Loosely Coupled Networks,"Purao, Sandeep and Jain, Hemant K. and Nazareth, Derek L.",
4,C_000881,A Longitudinal Study of Spreadsheet Program Use,"Carlsson, Sven A.",10.1080/07421222.1988.11517818
4,D_000121,A Longitudinal Study of Spreadsheet Program Use,"Carlsson, Sven A.",
5,C_001084,Negotiation Support Systems in Budget Negotiations: An Experimental Analysis,"WOLFE, CHRISTOPHER J. and MURTHY, UDAY S.",10.2753/MIS0742-1222220312
5,D_000802,Negotiation Support Systems in Budget Negotiations - An Experimental Analysis,"Wolfe, Christopher J. and Murthy, Uday S.",
6,C_000223,Managing High-Achieving Information Systems Professionals,"Smits, Stanley J. and McLean, Ephraim R. and Tanner, John R.",10.1080/07421222.1993.11517981
6,D_000262,Managing High-Achieving Information Systems Professionals,"Smits, Stanley J. and McLean, Ephraim R. and Tanner, John R.",
7,C_001196,The Roles of IT Strategies and Security Investments in Reducing Organizational Security Breaches,"Li, He and Yoo, Sungjin and Kettinger, William J.",10.1080/07421222.2021.1870390
7,D_001511,The Roles of IT Strategies and Security Investments in Reducing Organizational Security Breaches,"Li, He and Yoo, Sungjin and Kettinger, William J.",10.1080/07421222.2021.1870390
8,C_000935,Novelty-Knowledge Alignment: A Theory of Design Convergence in Systems Development,"Tiwana, Amrit",10.2753/MIS0742-1222290101
8,D_001086,Novelty-Knowledge Alignment - A Theory of Design Convergence in Systems Development,"Tiwana, Amrit",
