ID,ENTRYTYPE,author,journal,title,year,volume,number,url,dblp_key,doi,file,grobid-version,note,pages,language,cited_by
000001,article,"Cox, James F. and Clark, Steven J.",Journal of Management Information Systems,Problems in Implementing and Operating a Manufacturing Resource Planning Information System,1984,1,1,http://www.jmis-web.org/articles/241,https://dblp.org/rec/journals/jmis/CoxC84,,,,,,,
000002,article,"Kottemann, Jeffrey E. and Konsynski, Benn R.",Journal of Management Information Systems,Information Systems Planning and Development - Strategic Postures and Methodologies,1984,1,2,http://www.jmis-web.org/articles/559,https://dblp.org/rec/journals/jmis/KottemannK84,,,,,,,
000003,article,"Zwass, Vladimir",Journal of Management Information Systems,Management Information Systems - Beyond the Current Paradigm,1984,1,1,http://www.jmis-web.org/articles/1076,https://dblp.org/rec/journals/jmis/Zwass84,,,,,,,
000004,article,"Gremillion, Lee L.",Journal of Management Information Systems,Organization Size and Information System Use - An Empirical Study,1984,1,1,http://www.jmis-web.org/articles/380,https://dblp.org/rec/journals/jmis/Gremillion84,,,,,,,
000005,article,"Lee, Ronald M.",Journal of Management Information Systems,Information System Semantics (A Logic-Based Approach),1984,1,2,http://www.jmis-web.org/articles/594,https://dblp.org/rec/journals/jmis/Lee84,,,,,,,
000006,article,"Lockman, Abe and Minsky, Naftaly H.",Journal of Management Information Systems,Designing Financial Information Systems for Auditability,1984,1,1,http://www.jmis-web.org/articles/635,https://dblp.org/rec/journals/jmis/LockmanM84,,,,,,,
000007,article,"Orman, Levent",Journal of Management Information Systems,Fighting Information Pollution with Decision Support Systems,1984,1,2,http://www.jmis-web.org/articles/742,https://dblp.org/rec/journals/jmis/Orman84,,,,,,,
000008,article,"Grudnitski, Gary",Journal of Management Information Systems,Eliciting Decision-Makers' Information Requirements - Application of the Rep Test Methodology,1984,1,1,http://www.jmis-web.org/articles/391,https://dblp.org/rec/journals/jmis/Grudnitski84,,,,,,,
000009,article,"Jarke, Matthias and Shalev, Jacob",Journal of Management Information Systems,A Database Architecture for Supporting Business Transactions,1984,1,1,http://www.jmis-web.org/articles/470,https://dblp.org/rec/journals/jmis/JarkeS84,,,,,,,
000010,article,"Farwell, David C.",Journal of Management Information Systems,DSS Mechanisms for Judgemental Flexibility - An Exploratory Survey,1984,1,2,http://www.jmis-web.org/articles/330,https://dblp.org/rec/journals/jmis/Farwell84,,,,,,,
000011,article,"Maier, David",Journal of Management Information Systems,Capturing More Meaning in Databases,1984,1,1,http://www.jmis-web.org/articles/657,https://dblp.org/rec/journals/jmis/Maier84,,,,,,,
000012,article,"Norman, Morton and Muriel, Amador",Journal of Management Information Systems,Writing Simple Program Generators - A Case Study in Building Productivity Tools,1984,1,1,http://www.jmis-web.org/articles/721,https://dblp.org/rec/journals/jmis/NormanM84,,,,,,,
000013,article,"Snyder, Charles A. and Cox, James F.",Journal of Management Information Systems,A Dynamic Systems Development Life-Cycle Approach - A Project Management Information System,1985,2,1,http://www.jmis-web.org/articles/891,https://dblp.org/rec/journals/jmis/SnyderC85,,,,,,,
000014,article,"Cash, James I. and McLeod, Poppy Lauretta",Journal of Management Information Systems,Managing the Introduction of Information Systems Technology in Strategically Dependent Companies,1985,1,4,http://www.jmis-web.org/articles/149,https://dblp.org/rec/journals/jmis/CashM85,,,,,,,
000015,article,"Gremillion, Lee L. and Pyburn, Philip J.",Journal of Management Information Systems,Justifying Decision Support and Office Automation Systems,1985,2,1,http://www.jmis-web.org/articles/381,https://dblp.org/rec/journals/jmis/GremillionP85,,,,,,,
000016,article,"Hogue, Jack T.",Journal of Management Information Systems,Decision Support Systems and the Traditional Computer Information System Function - An Examination of Relationships during DSS Application Development,1985,2,1,http://www.jmis-web.org/articles/430,https://dblp.org/rec/journals/jmis/Hogue85,,,,,,,
000017,article,"Konsynski, Benn R. and Kottemann, Jeffrey E. and Nunamaker Jr., Jay F. and Stott, Jack W.",Journal of Management Information Systems,PLEXSYS-84 - An Integrated Development Environment for Informational Systems,1985,1,3,http://www.jmis-web.org/articles/557,https://dblp.org/rec/journals/jmis/KonsynskiKNS85,,,,,,,
000018,article,"McLeod Jr., Raymond and Rogers, John C.",Journal of Management Information Systems,Marketing Information Systems - Their Current Status in Fortune 1000 Companies,1985,1,4,http://www.jmis-web.org/articles/682,https://dblp.org/rec/journals/jmis/McLeodR85,,,,,,,
000019,article,"Weldon, Jay-Louise",Journal of Management Information Systems,Information System Design and Development,1985,1,3,http://www.jmis-web.org/articles/1025,https://dblp.org/rec/journals/jmis/Weldon85,,,,,,,
000020,article,"Jelassi, Tawfik and Jarke, Matthias and Stohr, Edward A.",Journal of Management Information Systems,Designing a Generalized Multiple Criteria Decision Support System,1985,1,4,http://www.jmis-web.org/articles/474,https://dblp.org/rec/journals/jmis/JelassiJS85,,,,,,,
000021,article,"Belardo, Salvatore and Pazer, Harold L.",Journal of Management Information Systems,Scope/Complexity - A Framework for the Classification and Analysis of Information-Decision Systems,1985,2,2,http://www.jmis-web.org/articles/80,https://dblp.org/rec/journals/jmis/BelardoP85,,,,,,,
000022,article,"Green, Jesse",Journal of Management Information Systems,Productivity in the Fourth Generation - Six Case Studies,1985,1,3,http://www.jmis-web.org/articles/379,https://dblp.org/rec/journals/jmis/Green85,,,,,,,
000023,article,"Konsynski, Benn R.",Journal of Management Information Systems,Advances in Information System Design,1985,1,3,http://www.jmis-web.org/articles/555,https://dblp.org/rec/journals/jmis/Konsynski85,,,,,,,
000024,article,"McLeod Jr., Raymond",Journal of Management Information Systems,The Undergraduate MIS Course in A.A.C.S.B. Schools,1985,2,2,http://www.jmis-web.org/articles/681,https://dblp.org/rec/journals/jmis/McLeod85,,,,,,,
000025,article,"Franz, Charles R.",Journal of Management Information Systems,User Leadership in the Systems Development Life Cycle - A Contingency Model,1985,2,2,http://www.jmis-web.org/articles/342,https://dblp.org/rec/journals/jmis/Franz85,,,,,,,
000026,article,"Klein, Gary and Konsynski, Benn R. and Beck, Philip O.",Journal of Management Information Systems,A Linear Representation for Model Management in a DSS,1985,2,2,http://www.jmis-web.org/articles/546,https://dblp.org/rec/journals/jmis/KleinKB85,,,,,,,
000027,article,"Neo, Boon-Siong and Grudnitski, Gary",Journal of Management Information Systems,Conceptual Perspectives on Key Factors in DSS Development - A Systems Approach,1985,2,1,http://www.jmis-web.org/articles/14,https://dblp.org/rec/journals/jmis/NeoG85,,,,,,,
000028,article,"Yadav, Surya B.",Journal of Management Information Systems,Classifying an Organization to Identify Its Information Requirements - A Comprehensive Framework,1985,2,1,http://www.jmis-web.org/articles/1047,https://dblp.org/rec/journals/jmis/Yadav85,,,,,,,
000029,article,"Zaki, Ahmed S.",Journal of Management Information Systems,The Impact of Electronic Information Carriers on the United States Postal Service - An Exploratory Survey,1985,2,2,http://www.jmis-web.org/articles/1056,https://dblp.org/rec/journals/jmis/Zaki85,,,,,,,
000030,article,"Kahn, Beverly K. and Garceau, Linda R.",Journal of Management Information Systems,A Developmental Model of the Database Administration Function,1985,1,4,http://www.jmis-web.org/articles/497,https://dblp.org/rec/journals/jmis/KahnG85,,,,,,,
000031,article,"Kasper, George M.",Journal of Management Information Systems,The Effect of User-Developed DSS Applications of Forecasting Decision-Making Performance in an Experimental Setting,1985,2,2,http://www.jmis-web.org/articles/516,https://dblp.org/rec/journals/jmis/Kasper85,,,,,,,
000032,article,"Orman, Levent",Journal of Management Information Systems,An Array Algebra for Database Applications,1985,1,4,http://www.jmis-web.org/articles/743,https://dblp.org/rec/journals/jmis/Orman85,,,,,,,
000033,article,"Paddock, Charles E.",Journal of Management Information Systems,An Assessment of Productivity and Operations Control as Motives for Office Automation,1985,1,4,http://www.jmis-web.org/articles/751,https://dblp.org/rec/journals/jmis/Paddock85,,,,,,,
000034,article,"Papayanopoulos, Lee",Journal of Management Information Systems,Properties and MIS Applications of Combinatorial Distribution Functions,1985,2,1,http://www.jmis-web.org/articles/754,https://dblp.org/rec/journals/jmis/Papayanopoulos85,,,,,,,
000035,article,"Vassiliou, Yannis",Journal of Management Information Systems,On the Interactive Use of Databases - Query Languages,1985,1,3,http://www.jmis-web.org/articles/981,https://dblp.org/rec/journals/jmis/Vassiliou85,,,,,,,
000036,article,"Zwass, Vladimir",Journal of Management Information Systems,About This Issue,1985,2,1,http://www.jmis-web.org/articles/1079,https://dblp.org/rec/journals/jmis/Zwass85,,,,,,,
000037,article,"Zwass, Vladimir",Journal of Management Information Systems,Editorial Introduction,1985,2,2,http://www.jmis-web.org/articles/1078,https://dblp.org/rec/journals/jmis/Zwass85a,,,,,,,
000038,article,"Burch, John G.",Journal of Management Information Systems,Adaptation of Information Systems Building Blocks to Design Forces,1986,3,1,http://www.jmis-web.org/articles/136,https://dblp.org/rec/journals/jmis/Burch86,,,,,,,
000039,article,"Cerveny, Robert P. and Garrity, Edward J. and Sanders, G. Lawrence",Journal of Management Information Systems,The Application of Prototyping to Systems Development - A Rationale and Model,1986,3,2,http://www.jmis-web.org/articles/153,https://dblp.org/rec/journals/jmis/CervenyGS86,,,,,,,
000040,article,"Lehman, John A.",Journal of Management Information Systems,Organizational Size and Information System Sophistication,1986,2,3,http://www.jmis-web.org/articles/603,https://dblp.org/rec/journals/jmis/Lehman86,,,,,,,
000041,article,"Mahmood, Mo Adam and Becker, Jack D.",Journal of Management Information Systems,Effect of Organizational Maturity on End-Users' Satisfaction with Information Systems,1986,2,3,http://www.jmis-web.org/articles/655,https://dblp.org/rec/journals/jmis/MahmoodB86,,,,,,,
000042,article,"Marsden, James R. and Pingry, David E.",Journal of Management Information Systems,Generating an Optimal Information System - PMAX-SDLC and the Redirection of MIS Research (or How to Help Joe Eat Salmon),1986,3,1,http://www.jmis-web.org/articles/669,https://dblp.org/rec/journals/jmis/MarsdenP86,,,,,,,
000043,article,"Bui, Tung and Jarke, Matthias",Journal of Management Information Systems,Communications Requirements for Group Decision Support Systems,1986,2,4,http://www.jmis-web.org/articles/968,https://dblp.org/rec/journals/jmis/BuiJ86,,,,,,,
000044,article,"Cheney, Paul H. and Scarpello, Vida",Journal of Management Information Systems,Job Satisfaction and Information Systems Research,1986,2,3,http://www.jmis-web.org/articles/177,https://dblp.org/rec/journals/jmis/CheneyS86,,,,,,,
000045,article,"Hoffman, Richard C. and Hsu, Cheng",Journal of Management Information Systems,Adaptive Information Systems Control - A Reliability-based Approach,1986,3,2,http://www.jmis-web.org/articles/259,https://dblp.org/rec/journals/jmis/HoffmanH86,,,,,,,
000046,article,"Paradice, David B. and Courtney, James F.",Journal of Management Information Systems,Controlling Bias in User Assertions in Expert Decision Support Systems for Problem Formulation,1986,3,1,http://www.jmis-web.org/articles/755,https://dblp.org/rec/journals/jmis/ParadiceC86,,,,,,,
