cluster_id,id,title,author,doi
0,C_000953,Understanding Sustained Participation in Open Source Software Projects,"Fang, Yulin and Neufeld, Derrick",10.2753/MIS0742-1222250401
0,D_000936,Understanding Sustained Participation in Open Source Software Projects,"Fang, Yulin and Neufeld, Derrick J.",
0,P_0000000841,Understanding Sustained Participation in Open Source Software Projects YulIN FaNg aND DErrIck NEuFElD,"Fang, Yulin",10.2753/MIS0742-1222250401
1,C_000460,Exploring the Difficulties of Learning Object-Oriented Techniques,"Sheetz, Steven D. and Irwin, Gretchen and Tegarden, David P. and Nelson, H. James and Monarchi, David E.",10.1080/07421222.1997.11518167
1,D_000450,Exploring the Difficulties of Learning Object-Oriented Techniques,"Sheetz, Steven D. and Irwin, Gretchen and Tegarden, David P. and Nelson, H. James and Monarchi, David E.",
1,P_0000000682,Exploring the Difficulties of Learning Object-Oriented Techniques,"Sheetz, Steven D and Irwin, Gretchen and Tegarden, David P and Nelson, H. James and Monarchi, David E and Sheetz Is, Steven D and Ti-Garden, David P",
2,C_000965,Effects of Social Networks on Prediction Markets: Examination in a Controlled Experiment,"Qiu, Liangfei and Rui, Huaxia and Whinston, Andrew B.",10.2753/MIS0742-1222300409
2,D_001209,Effects of Social Networks on Prediction Markets - Examination in a Controlled Experiment,"Qiu, Liangfei and Rui, Huaxia and Whinston, Andrew B.",
2,P_0000001505,Effects of Social Networks on Prediction Markets: Examination in a Controlled Experiment,"Qiu, Liangfei and Rui, Huaxia and Whinston, Andrew B",10.2753/MIS0742-1222300409
3,C_000318,A Strategic Decision Support System at Orell Fussli,"Belardo, Salvatore and Duchessi, Peter and Coleman, John R.",10.1080/07421222.1994.11518023
3,D_000315,A Strategic Decision Support System at Orell Fussli,"Belardo, Salvatore and Duchessi, Peter and Coleman, John R.",
3,P_0000000879,A Strategic Decision Support System at Orell Fussli,"Belardo, Salvatore and Duchessi, Peter and Coleman, John R",
4,C_000740,How Do Consumer Buzz and Traffic in Social Media Marketing Predict the Value of the Firm?,"Luo, Xueming and Zhang, Jie",10.2753/MIS0742-1222300208
4,D_001141,How Do Consumer Buzz and Traffic in Social Media Marketing Predict the Value of the Firm?,"Luo, Xueming and Zhang, Jie Jennifer",
4,P_0000000555,How Do Consumer Buzz and Traffic in Social Media Marketing Predict the Value of the Firm?,"Luo, Xueming and Zhang, Jie",10.2753/MIS0742-1222300208
5,C_000412,"Special Section: Economics, Electronic Commerce, and Competitive Strategy","Clemons, Eric K. and Dewan, Rajiv M. and Kauffman, Robert J.",10.1080/07421222.2001.11045679
5,D_000593,"Special Section - Economics, Electronic Commerce, and Competitive Strategy","Clemons, Eric K. and Dewan, Rajiv M. and Kauffman, Robert J.",
