ID,ENTRYTYPE,journal,title,year,volume,number,url,dblp_key,author,doi,file,grobid-version,note,pages,language,cited_by
000001,article,Journal of Management Information Systems,Problems in Implementing and Operating a Manufacturing Resource Planning Information System,1984,1,1,http://www.jmis-web.org/articles/241,https://dblp.org/rec/journals/jmis/CoxC84,"Cox, James F. and Clark, Steven J.",,,,,,,
000002,article,Journal of Management Information Systems,Information Systems Planning and Development - Strategic Postures and Methodologies,1984,1,2,http://www.jmis-web.org/articles/559,https://dblp.org/rec/journals/jmis/KottemannK84,"Kottemann, Jeffrey E. and Konsynski, Benn R.",,,,,,,
000003,article,Journal of Management Information Systems,Management Information Systems - Beyond the Current Paradigm,1984,1,1,http://www.jmis-web.org/articles/1076,https://dblp.org/rec/journals/jmis/Zwass84,"Zwass, Vladimir",,,,,,,
000004,article,Journal of Management Information Systems,Organization Size and Information System Use - An Empirical Study,1984,1,1,http://www.jmis-web.org/articles/380,https://dblp.org/rec/journals/jmis/Gremillion84,"Gremillion, Lee L.",,,,,,,
000005,article,Journal of Management Information Systems,Information System Semantics (A Logic-Based Approach),1984,1,2,http://www.jmis-web.org/articles/594,https://dblp.org/rec/journals/jmis/Lee84,"Lee, Ronald M.",,,,,,,
000006,article,Journal of Management Information Systems,Designing Financial Information Systems for Auditability,1984,1,1,http://www.jmis-web.org/articles/635,https://dblp.org/rec/journals/jmis/LockmanM84,"Lockman, Abe and Minsky, Naftaly H.",,,,,,,
000007,article,Journal of Management Information Systems,Fighting Information Pollution with Decision Support Systems,1984,1,2,http://www.jmis-web.org/articles/742,https://dblp.org/rec/journals/jmis/Orman84,"Orman, Levent",,,,,,,
000008,article,Journal of Management Information Systems,Eliciting Decision-Makers' Information Requirements - Application of the Rep Test Methodology,1984,1,1,http://www.jmis-web.org/articles/391,https://dblp.org/rec/journals/jmis/Grudnitski84,"Grudnitski, Gary",,,,,,,
000009,article,Journal of Management Information Systems,A Database Architecture for Supporting Business Transactions,1984,1,1,http://www.jmis-web.org/articles/470,https://dblp.org/rec/journals/jmis/JarkeS84,"Jarke, Matthias and Shalev, Jacob",,,,,,,
000010,article,Journal of Management Information Systems,DSS Mechanisms for Judgemental Flexibility - An Exploratory Survey,1984,1,2,http://www.jmis-web.org/articles/330,https://dblp.org/rec/journals/jmis/Farwell84,"Farwell, David C.",,,,,,,
000011,article,Journal of Management Information Systems,Capturing More Meaning in Databases,1984,1,1,http://www.jmis-web.org/articles/657,https://dblp.org/rec/journals/jmis/Maier84,"Maier, David",,,,,,,
000012,article,Journal of Management Information Systems,Writing Simple Program Generators - A Case Study in Building Productivity Tools,1984,1,1,http://www.jmis-web.org/articles/721,https://dblp.org/rec/journals/jmis/NormanM84,"Norman, Morton and Muriel, Amador",,,,,,,
000013,article,Journal of Management Information Systems,A Dynamic Systems Development Life-Cycle Approach - A Project Management Information System,1985,2,1,http://www.jmis-web.org/articles/891,https://dblp.org/rec/journals/jmis/SnyderC85,"Snyder, Charles A. and Cox, James F.",,,,,,,
000014,article,Journal of Management Information Systems,Managing the Introduction of Information Systems Technology in Strategically Dependent Companies,1985,1,4,http://www.jmis-web.org/articles/149,https://dblp.org/rec/journals/jmis/CashM85,"Cash, James I. and McLeod, Poppy Lauretta",,,,,,,
000015,article,Journal of Management Information Systems,Justifying Decision Support and Office Automation Systems,1985,2,1,http://www.jmis-web.org/articles/381,https://dblp.org/rec/journals/jmis/GremillionP85,"Gremillion, Lee L. and Pyburn, Philip J.",,,,,,,
000016,article,Journal of Management Information Systems,Decision Support Systems and the Traditional Computer Information System Function - An Examination of Relationships during DSS Application Development,1985,2,1,http://www.jmis-web.org/articles/430,https://dblp.org/rec/journals/jmis/Hogue85,"Hogue, Jack T.",,,,,,,
000017,article,Journal of Management Information Systems,PLEXSYS-84 - An Integrated Development Environment for Informational Systems,1985,1,3,http://www.jmis-web.org/articles/557,https://dblp.org/rec/journals/jmis/KonsynskiKNS85,"Konsynski, Benn R. and Kottemann, Jeffrey E. and Nunamaker Jr., Jay F. and Stott, Jack W.",,,,,,,
000018,article,Journal of Management Information Systems,Marketing Information Systems - Their Current Status in Fortune 1000 Companies,1985,1,4,http://www.jmis-web.org/articles/682,https://dblp.org/rec/journals/jmis/McLeodR85,"McLeod Jr., Raymond and Rogers, John C.",,,,,,,
000019,article,Journal of Management Information Systems,Information System Design and Development,1985,1,3,http://www.jmis-web.org/articles/1025,https://dblp.org/rec/journals/jmis/Weldon85,"Weldon, Jay-Louise",,,,,,,
000020,article,Journal of Management Information Systems,Designing a Generalized Multiple Criteria Decision Support System,1985,1,4,http://www.jmis-web.org/articles/474,https://dblp.org/rec/journals/jmis/JelassiJS85,"Jelassi, Tawfik and Jarke, Matthias and Stohr, Edward A.",,,,,,,
000021,article,Journal of Management Information Systems,Scope/Complexity - A Framework for the Classification and Analysis of Information-Decision Systems,1985,2,2,http://www.jmis-web.org/articles/80,https://dblp.org/rec/journals/jmis/BelardoP85,"Belardo, Salvatore and Pazer, Harold L.",,,,,,,
000022,article,Journal of Management Information Systems,Productivity in the Fourth Generation - Six Case Studies,1985,1,3,http://www.jmis-web.org/articles/379,https://dblp.org/rec/journals/jmis/Green85,"Green, Jesse",,,,,,,
000023,article,Journal of Management Information Systems,Advances in Information System Design,1985,1,3,http://www.jmis-web.org/articles/555,https://dblp.org/rec/journals/jmis/Konsynski85,"Konsynski, Benn R.",,,,,,,
000024,article,Journal of Management Information Systems,The Undergraduate MIS Course in A.A.C.S.B. Schools,1985,2,2,http://www.jmis-web.org/articles/681,https://dblp.org/rec/journals/jmis/McLeod85,"McLeod Jr., Raymond",,,,,,,
000025,article,Journal of Management Information Systems,User Leadership in the Systems Development Life Cycle - A Contingency Model,1985,2,2,http://www.jmis-web.org/articles/342,https://dblp.org/rec/journals/jmis/Franz85,"Franz, Charles R.",,,,,,,
000026,article,Journal of Management Information Systems,A Linear Representation for Model Management in a DSS,1985,2,2,http://www.jmis-web.org/articles/546,https://dblp.org/rec/journals/jmis/KleinKB85,"Klein, Gary and Konsynski, Benn R. and Beck, Philip O.",,,,,,,
000027,article,Journal of Management Information Systems,Conceptual Perspectives on Key Factors in DSS Development - A Systems Approach,1985,2,1,http://www.jmis-web.org/articles/14,https://dblp.org/rec/journals/jmis/NeoG85,"Neo, Boon-Siong and Grudnitski, Gary",,,,,,,
000028,article,Journal of Management Information Systems,Classifying an Organization to Identify Its Information Requirements - A Comprehensive Framework,1985,2,1,http://www.jmis-web.org/articles/1047,https://dblp.org/rec/journals/jmis/Yadav85,"Yadav, Surya B.",,,,,,,
000029,article,Journal of Management Information Systems,The Impact of Electronic Information Carriers on the United States Postal Service - An Exploratory Survey,1985,2,2,http://www.jmis-web.org/articles/1056,https://dblp.org/rec/journals/jmis/Zaki85,"Zaki, Ahmed S.",,,,,,,
000030,article,Journal of Management Information Systems,A Developmental Model of the Database Administration Function,1985,1,4,http://www.jmis-web.org/articles/497,https://dblp.org/rec/journals/jmis/KahnG85,"Kahn, Beverly K. and Garceau, Linda R.",,,,,,,
000031,article,Journal of Management Information Systems,The Effect of User-Developed DSS Applications of Forecasting Decision-Making Performance in an Experimental Setting,1985,2,2,http://www.jmis-web.org/articles/516,https://dblp.org/rec/journals/jmis/Kasper85,"Kasper, George M.",,,,,,,
000032,article,Journal of Management Information Systems,An Array Algebra for Database Applications,1985,1,4,http://www.jmis-web.org/articles/743,https://dblp.org/rec/journals/jmis/Orman85,"Orman, Levent",,,,,,,
000033,article,Journal of Management Information Systems,An Assessment of Productivity and Operations Control as Motives for Office Automation,1985,1,4,http://www.jmis-web.org/articles/751,https://dblp.org/rec/journals/jmis/Paddock85,"Paddock, Charles E.",,,,,,,
000034,article,Journal of Management Information Systems,Properties and MIS Applications of Combinatorial Distribution Functions,1985,2,1,http://www.jmis-web.org/articles/754,https://dblp.org/rec/journals/jmis/Papayanopoulos85,"Papayanopoulos, Lee",,,,,,,
000035,article,Journal of Management Information Systems,On the Interactive Use of Databases - Query Languages,1985,1,3,http://www.jmis-web.org/articles/981,https://dblp.org/rec/journals/jmis/Vassiliou85,"Vassiliou, Yannis",,,,,,,
000036,article,Journal of Management Information Systems,About This Issue,1985,2,1,http://www.jmis-web.org/articles/1079,https://dblp.org/rec/journals/jmis/Zwass85,"Zwass, Vladimir",,,,,,,
