cluster_id,id,title,author,doi
0,C_000091,The role of Transaction Cost Economics in Information Technology Outsourcing research: A meta-analysis of the choice of contract type,"Schermann, Michael and Dongus, Konrad and Yetton, Philip and Krcmar, Helmut",10.1016/J.JSIS.2016.02.004
0,D_000595,The role of Transaction Cost Economics in Information Technology Outsourcing research: A meta-analysis of the choice of contract type,"Schermann, Michael and Dongus, Konrad and Yetton, Philip and Krcmar, Helmut",10.1016/J.JSIS.2016.02.004
1,C_000117,Editorial,"Galliers, R.D. and Jarvenpaa, S.L.",10.1016/J.JSIS.2015.10.001
1,C_000118,Editorial: Understanding strategic innovation in IT and business process outsourcing,"Kotlarsky, Julia and Oshri, Ilan and Lee, Jae-Nam and Jarvenpaa, Sirkka",10.1016/J.JSIS.2015.10.002
1,C_000121,Editorial,"Galliers, Bob and Jarvenpaa, Sirkka",10.1016/J.JSIS.2015.08.004
1,C_000972,Editorial,"Galliers, Robert D. and Jarvenpaa, Sirkka L.",10.1016/J.JSIS.2015.02.002
1,D_000564,Editorial: Understanding strategic innovation in IT and business process outsourcing,"Kotlarsky, Julia and Oshri, Ilan and Lee, Jae-Nam and Jarvenpaa, Sirkka",10.1016/J.JSIS.2015.10.002
1,D_000568,Editorial,"Galliers, Robert D. and Jarvenpaa, Sirkka L.",10.1016/J.JSIS.2015.02.002
1,D_000569,Editorial,"Galliers, Bob and Jarvenpaa, Sirkka",10.1016/J.JSIS.2015.08.004
1,D_000570,Editorial,"Galliers, Robert D. and Jarvenpaa, Sirkka L.",10.1016/J.JSIS.2015.10.001
2,C_000412,Developing dynamic capabilities in electronic marketplaces: A cross-case study,"Koch, Hope",10.1016/J.JSIS.2010.02.001
2,D_000455,Developing dynamic capabilities in electronic marketplaces: A cross-case study,"Koch, Hope",10.1016/J.JSIS.2010.02.001
3,C_000527,An empirical study of misalignment between Australian CEOs and IT managers,"Khandelwal, V.K",10.1016/S0963-8687(01)00040-3
3,D_000275,An empirical study of misalignment between Australian CEOs and IT managers,"Khandelwal, Vijay K.",10.1016/S0963-8687(01)00040-3
4,C_000759,Determinants of IS sourcing decisions: A comparative study of transaction cost theory versus the resource-based view,"Watjatrakul, Boonlert",10.1016/J.JSIS.2005.05.001
4,D_000361,Determinants of IS sourcing decisions: A comparative study of transaction cost theory versus the resource-based view,"Watjatrakul, Boonlert",10.1016/J.JSIS.2005.05.001
5,C_000765,A framework for addressing the organisational issues of enterprise systems implementation,"Ward, John and Hemingway, Christopher and Daniel, Elizabeth",10.1016/J.JSIS.2005.04.005
5,D_000344,A framework for addressing the organisational issues of enterprise systems implementation,"Ward, John M. and Hemingway, Christopher J. and Daniel, Elizabeth M.",10.1016/J.JSIS.2005.04.005
6,C_000090,Not just an ego-trip: Exploring backers’ motivation for funding in incentive-based crowdfunding,"Bretschneider, Ulrich and Leimeister, Jan Marco",10.1016/J.JSIS.2017.02.002
