cluster_id,id,title,author,doi
0,C_000296,"Distinguishing the effects of B2B information quality, system quality, and service outcome quality on trust and distrust","McKnight, D. Harrison and Lankton, Nancy K. and Nicolaou, Andreas and Price, Jean",10.1016/J.JSIS.2017.01.001
0,D_000608,"Distinguishing the effects of B2B information quality, system quality, and service outcome quality on trust and distrust","McKnight, D. Harrison and Lankton, Nancy K. and Nicolaou, Andreas I. and Price, Jean",10.1016/J.JSIS.2017.01.001
0,P_000701,"Distinguishing the effects of B2B information quality, system quality, and service outcome quality on trust and distrust","Harrison Mcknight, D. and Lankton, Nancy K and Nicolaou, Andreas and Price, Jean",10.1016/J.JSIS.2017.01.001
1,C_000412,Developing dynamic capabilities in electronic marketplaces: A cross-case study,"Koch, Hope",10.1016/J.JSIS.2010.02.001
1,D_000455,Developing dynamic capabilities in electronic marketplaces: A cross-case study,"Koch, Hope",10.1016/J.JSIS.2010.02.001
1,P_000704,Developing dynamic capabilities in electronic marketplaces: A cross-case study,"Koch, Hope",10.1016/J.JSIS.2010.02.001
2,C_000602,LEO: The First Business Computer,"Powell, Philip",10.1016/0963-8687(95)80025-L
2,D_000110,"LEO: The First Business Computer: Hasler Publishing, Wokingham (1994) 272 pp ISBN 0 9521651 0 4","Powell, Philip",10.1016/0963-8687(95)80025-L
2,P_000536,Book reviews LEO: The First Business Computer,"Bird, P. J",
3,C_000148,The past and future of The Journal of Strategic Information Systems: A conversation with Bob Galliers,"Gable, Guy G.",10.1016/J.JSIS.2020.101612
3,D_000681,The past and future of The Journal of Strategic Information Systems: A conversation with Bob Galliers,"Gable, Guy G.",10.1016/J.JSIS.2020.101612
3,P_000055,Strategic Information Systems,"Panteli, Niki",
3,P_000056,Strategic Information Systems,"Finlay, Paul N and Forghani, Morteza",
3,P_000058,Strategic Information Systems,"Galliers, Bob",
3,P_000059,Strategic Information Systems,"Cox, Benita and Ghoneim, Sherine",
3,P_000292,THE JOURNAL OF Strategic Information Systems,"Gable, Guy G and Chan, Yolande E and Galliers, Robert D and Jarvenpaa, Sirkka L and Aubert, Benoit and Montreal, Hec and Constantiou, Ioanna and Desouza, Kevin C and Dibbern, Jens and Hsu, Carol and Pan, Shan L and Rivard, Suzanne and Quebec, Canada Rajeev and Sharma and Alias, Rose Alinda and Arvidsson, Viktor and Avgerou, Chrisanthi and Avital, Michel and Buhl, Hans Ulrich and Chatterjee, Dave and Chatterjee, Sutirtha and Daniel, Elizabeth and Dawson, Gregory and Francalanci, Chiara and Politecnico, Di and Milano, Ola and Henfridsson and Huang, Ming-Hui and Huysman, Marleen and Joseph, Damien and Kietzmann, Jan and Kotlarsky, Julia and Liang, Huigang and Lindgren, Rikard and Majchrzak, Ann and Malhotra, Arvind and Mao, Jiye and Marabelli, Marco and Marjanovic, Olivera and Mehrizi, Mohammad Rezazade and Moeini, Mohammad and Nerur, Sridhar and Poulymenakou, Angeliki and Preston, David and Sørensen, Carsten and Stein, Mari-Klara and Sutanto, Juliana and Ter, Felix and Tan, Chian and Tate, Mary and Vial, Gregory and Jan, Canada and Brocke and Wasko, Molly and Alavi, Maryam and Avison, David and Bjørn-Andersen, Niels and Clarke, Roger and Davison, Robert M and Dhillon, Gurpreet and Earl, Michael and Sawy, Omar El and Elam, Joyce and Finnegan, Patrick and Grover, Varun and Gunasekaran, Angappa and Hirschheim, Rudy and Huff, Sid and King, John Leslie and Krcmar, Helmut and Lacity, Mary and Lederer, Albert and Leidner, Dorothy E and Loebbecke, Claudia and Lyytinen, Kalle and Markus, M. Lynne and Mooney, John and Newell, Susan and Ramaprasad, Arkalgud and Reich, Blaize Horner and Saunders, Carol and Soh, Christina and Tuunainen, Virpi Kristiina and Vogel, Douglas R and Ward, John and Wareham, Jonathan and Spain, Youngjin and Yoo and Bidar, Reihaneh and Jiang, Jinglu and Santa, Mijalche",
3,P_000311,Journal of Strategic Information Systems,"Gable, Guy G",10.1016/J.JSIS.2020.101620
3,P_000348,Journal of Strategic Information Systems,"Fang, Yulin and Henfridsson, Ola and Jarvenpaa, Sirkka L",10.1016/J.JSIS.2018.11.001
