cluster_id,id,title,author,doi,file
0,P_000055,Strategic Information Systems,"Panteli, Niki",,data/pdfs/7_1/PanteliNoYear.pdf
0,P_000056,Strategic Information Systems,"Finlay, Paul N and Forghani, Morteza",,data/pdfs/7_1/FinlayForghani1998.pdf
0,P_000058,Strategic Information Systems,"Galliers, Bob",,data/pdfs/7_1/Galliers1998c.pdf
0,P_000059,Strategic Information Systems,"Cox, Benita and Ghoneim, Sherine",,data/pdfs/7_1/CoxGhoneim1998.pdf
0,P_000292,THE JOURNAL OF Strategic Information Systems,"Gable, Guy G and Chan, Yolande E and Galliers, Robert D and Jarvenpaa, Sirkka L and Aubert, Benoit and Montreal, Hec and Constantiou, Ioanna and Desouza, Kevin C and Dibbern, Jens and Hsu, Carol and Pan, Shan L and Rivard, Suzanne and Quebec, Canada Rajeev and Sharma and Alias, Rose Alinda and Arvidsson, Viktor and Avgerou, Chrisanthi and Avital, Michel and Buhl, Hans Ulrich and Chatterjee, Dave and Chatterjee, Sutirtha and Daniel, Elizabeth and Dawson, Gregory and Francalanci, Chiara and Politecnico, Di and Milano, Ola and Henfridsson and Huang, Ming-Hui and Huysman, Marleen and Joseph, Damien and Kietzmann, Jan and Kotlarsky, Julia and Liang, Huigang and Lindgren, Rikard and Majchrzak, Ann and Malhotra, Arvind and Mao, Jiye and Marabelli, Marco and Marjanovic, Olivera and Mehrizi, Mohammad Rezazade and Moeini, Mohammad and Nerur, Sridhar and Poulymenakou, Angeliki and Preston, David and Sørensen, Carsten and Stein, Mari-Klara and Sutanto, Juliana and Ter, Felix and Tan, Chian and Tate, Mary and Vial, Gregory and Jan, Canada and Brocke and Wasko, Molly and Alavi, Maryam and Avison, David and Bjørn-Andersen, Niels and Clarke, Roger and Davison, Robert M and Dhillon, Gurpreet and Earl, Michael and Sawy, Omar El and Elam, Joyce and Finnegan, Patrick and Grover, Varun and Gunasekaran, Angappa and Hirschheim, Rudy and Huff, Sid and King, John Leslie and Krcmar, Helmut and Lacity, Mary and Lederer, Albert and Leidner, Dorothy E and Loebbecke, Claudia and Lyytinen, Kalle and Markus, M. Lynne and Mooney, John and Newell, Susan and Ramaprasad, Arkalgud and Reich, Blaize Horner and Saunders, Carol and Soh, Christina and Tuunainen, Virpi Kristiina and Vogel, Douglas R and Ward, John and Wareham, Jonathan and Spain, Youngjin and Yoo and Bidar, Reihaneh and Jiang, Jinglu and Santa, Mijalche",,data/pdfs/31_3/1-s2.0-S096386872200035X-main.pdf
0,P_000311,Journal of Strategic Information Systems,"Gable, Guy G",10.1016/J.JSIS.2020.101620,data/pdfs/29_2/Gable2020aa.pdf
0,P_000348,Journal of Strategic Information Systems,"Fang, Yulin and Henfridsson, Ola and Jarvenpaa, Sirkka L",10.1016/J.JSIS.2018.11.001,data/pdfs/27_4/FangHenfridssonJarvenpaa2018.pdf
0,P_000545,Journal of Strategic Information Systems,"Nevo, Saggi",10.1016/J.JSIS.2023.101766,data/pdfs/32_1/1-s2.0-S0963868723000124-main.pdf
0,P_000550,Journal of Strategic Information Systems,"Galliers, R. D and Jarvenpaa, S. L",10.1016/J.JSIS.2018.02.001,data/pdfs/27_1/GalliersJarvenpaa2018.pdf
0,P_000591,Journal of Strategic Information Systems,"Galliers, Robert D and Jarvenpaa, Sirkka L",10.1016/J.JSIS.2017.08.001,data/pdfs/26_3/GalliersJarvenpaa2017b.pdf
