cluster_id,id,title,author,doi
0,C_000439,Can Vendors Influence Switching Costs and Compatibility in an Environment with Open Standards?1,"Chen, Pei-yu and Forman, Chris",10.2307/25148772
0,D_000660,Can Vendors Influence Switching Costs and Compatibility in an Environment with Open Standards?,"Chen, Pei-yu and Forman, Chris",
1,C_001068,Information Systems as a Reference Discipline1,"Baskerville, Richard L. and Myers, Michael D.",10.2307/4132338
1,D_000547,Information Systems as a Reference Discipline,"Baskerville, Richard L. and Myers, Michael D.",
2,C_000370,Strategic Behavior in Online Reputation Systems: Evidence from Revoking on Ebay1,"Ye, Shun and Gao, Guodong (Gordon) and Viswanathan, Siva",10.25300/MISQ/2014/38.4.05
2,D_001035,Strategic Behavior in Online Reputation Systems - Evidence from Revoking on eBay,"Ye, Shun and Gao, Guodong and Viswanathan, Siva",
3,C_001388,The Systems Development Dilemma — A Programming Perspective1,"Ewers, Jack and Vessey, Iris",10.2307/249222
3,D_000033,The Systems Development Dilemma - A Programming Perspective,"Ewers, Jack and Vessey, Iris",
4,C_000322,Polarization and Persuasive Argumentation: A Study of Decision Making in Group Settings1,"El-Shinnawy, Maha and Vinze, Ajay S.",10.2307/249394
4,D_000453,Polarization and Persuasive Argumentation - A Study of Decision Making in Group Settings,"El-Shinnawy, Maha M. and Vinze, Ajay S.",
5,C_001959,Time for a Decentralization Journey of Digital Infrastructures? Reflections on the 2023 Impact Award,"Henfridsson, Ola",10.25300/MISQ/2024/788
5,D_001486,Time for a Decentralization Journey of Digital Infrastructures? Reflections on the 2023 Impact Award,"Henfridsson, Ola",10.25300/MISQ/2024/788
6,C_001639,Organizational Mechanisms for Enhancing User Innovation in Information Technology1,"Nambisan, Satish and Agarwal, Ritu and Tanniru, Mohan",10.2307/249468
6,D_000485,Organizational Mechanisms for Enhancing User Innovation in Information Technology,"Nambisan, Satish and Agarwal, Ritu and Tanniru, Mohan",
7,C_000795,One Road to Turnover: An Examination of Work Exhaustion in Technology Professionals1,"Moore, Jo Ellen",10.2307/3250982
