cluster_id,id,title,author,doi
0,C_001359,Special Issue on Information Technologies and Knowledge Management (Foreword),"Sambamurthy, V. and Subramani, Mani",10.2307/25148665
0,C_001393,Special Issue on Information Technologies and Knowledge Management (Part II),"Sambamurthy, V. and Subramani, Mani",10.2307/25148676
0,P_0000001204,SPECIAL ISSUE ON INFORMATION TECHNOLOGIES AND KNOWLEDGE MANAGEMENT,"Sambamurthy, V. and Subramani, Mani",
0,P_0000001379,SPECIAL ISSUE ON INFORMATION TECHNOLOGIES AND KNOWLEDGE MANAGEMENT,"Sambamurthy, V.",
1,C_002033,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2017/41.3.E0
1,C_002038,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2017/41.1.E0
1,C_002042,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2020/444E0
1,C_002043,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2016/40.1.E0
1,C_002047,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2017/41.4.E0
1,C_002050,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2016/40.2.E0
1,C_002051,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2020/442E0
1,C_002074,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2019/433E0
1,C_002090,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2018/422E0
1,C_002095,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2016/40.4.E0
1,C_002097,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2017/41.2.E0
1,C_002110,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2018/421E0
1,C_002129,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2019/434E0
1,C_002138,Editor’s Comments,"Rai, Arun and Bush, Ashley",10.25300/MISQ/2018/423E0
1,C_002155,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2019/432E0
1,C_002170,Editor’s Comments,"Rai, Arun",10.25300/MISQ/2020/441E0
1,C_002171,Editor’s Comments,"Rai, Arun and Constantinides, Panos and Sarker, Saonee",10.25300/MISQ/2019/431E0
