cluster_id,id,title,author,doi
0,C_000480,Constant Checking Is Not Addiction: A Grounded Theory of IT-Mediated State-Tracking,"Gerlach, Jin P. and Cenfetelli, Ronald T.",10.25300/MISQ/2020/15685
0,D_001321,Constant Checking Is Not Addiction: A Grounded Theory of IT-Mediated State-Tracking,"Gerlach, Jin P. and Cenfetelli, Ronald T.",
0,P_0000000499,CONSTANT CHECKING IS NOT ADDICTION: A GROUNDED THEORY OF IT-MEDIATED STATE-TRACKING 1,"Gerlach, Jin P and Cenfetelli, Ronald T",10.25300/MISQ/2020/15685
1,C_000300,Impact of Information Feedback in Continuous Combinatorial Auctions: An Experimental Study of Economic Performance1,"Adomavicius, Gediminas and Curley, Shawn P. and Gupta, Alok and Sanyal, Pallab",10.25300/MISQ/2013/37.1.03
1,D_000927,Impact of Information Feedback in Continuous Combinatorial Auctions - An Experimental Study of Economic Performance,"Adomavicius, Gediminas and Curley, Shawn P. and Gupta, Alok and Sanyal, Pallab",
1,P_0000000389,IMPACT OF INFORMATION FEEDBACK IN CONTINUOUS COMBINATORIAL AUCTIONS: AN EXPERIMENTAL STUDY OF ECONOMIC PERFORMANCE 1,"Adomavicius, Gediminas and Curley, Shawn P and Gupta, Alok and Sanyal, Pallab",
2,C_002034,Understanding the Effectiveness of Rewarding Recipients on Online Referral Behavior,"Dimoka, Angelika and Hou, Jinghui (Jove) and Li, Xitong and Pavlou, Paul A.",10.25300/MISQ/2024/17039
2,D_001591,Understanding the Effectiveness of Rewarding Recipients on Online Referral Behavior,"Dimoka, Angelika and Hou, Jinghui and Li, Xitong and Pavlou, Paul A.",10.25300/MISQ/2024/17039
2,P_001943,UNDERSTANDING THE EFFECTIVENESS OF REWARDING RECIPIENTS ON ONLINE REFERRAL BEHAVIOR 1,"Dimoka, Angelika and Hou, Jove and Li, Xitong and Pavlou, Paul A",10.25300/MISQ/2024/17039
3,C_002003,Governance and ICT4D Initiative Success: A Longitudinal Field Study of Ten Villages in Rural India1,"Venkatesh, Viswanath and Sykes, Tracy Ann and Rai, Arun and Setia, Pankaj",10.25300/MISQ/2019/12337
3,D_001298,Governance and ICT4D Initiative Success - A Longitudinal Field Study of Ten Villages in Rural India,"Venkatesh, Viswanath and Sykes, Tracy Ann and Rai, Arun and Setia, Pankaj",
3,P_0000000318,GOVERNANCE AND ICT4D INITIATIVE SUCCESS: A LONGITUDINAL FIELD STUDY OF TEN VILLAGES IN RURAL INDIA 1,"Venkatesh, Viswanath and Sykes, Tracy Ann and Rai, Arun and Setia, Pankaj",10.25300/MISQ/2019/12337
4,C_001403,Expert Systems: A Question of Liability?,"Mykytyn, Kathleen and Mykytyn, Peter P. and Slinkman, Craig W.",10.2307/249305
4,D_000271,Expert Systems - A Question of Liability?,"Mykytyn, Kathleen and Mykytyn Jr., Peter P. and Slinkman, Craig W.",
4,P_0000000628,Expert Systems: A Question of Liability?,"Mykytyn, Kathleen and Mykytyn, Peter P and Craig, W. and Slinkman",
5,C_001068,Information Systems as a Reference Discipline1,"Baskerville, Richard L. and Myers, Michael D.",10.2307/4132338
5,D_000547,Information Systems as a Reference Discipline,"Baskerville, Richard L. and Myers, Michael D.",
5,P_0000000378,INFORMATION SYSTEMS AS A REFERENCE DISCIPLINE 1,"Baskerville, Richard L and Myers, Michael D",
6,C_000439,Can Vendors Influence Switching Costs and Compatibility in an Environment with Open Standards?1,"Chen, Pei-yu and Forman, Chris",10.2307/25148772
6,D_000660,Can Vendors Influence Switching Costs and Compatibility in an Environment with Open Standards?,"Chen, Pei-yu and Forman, Chris",
7,C_000370,Strategic Behavior in Online Reputation Systems: Evidence from Revoking on Ebay1,"Ye, Shun and Gao, Guodong (Gordon) and Viswanathan, Siva",10.25300/MISQ/2014/38.4.05
7,D_001035,Strategic Behavior in Online Reputation Systems - Evidence from Revoking on eBay,"Ye, Shun and Gao, Guodong and Viswanathan, Siva",
7,P_0000000521,STRATEGIC BEHAVIOR IN ONLINE REPUTATION SYSTEMS: EVIDENCE FROM REVOKING ON EBAY 1,"Ye, Shun and Gao, Gordon and Viswanathan, Siva",
8,C_001265,The Impact of Role Variables on IS Personnel Work Attitudes and Intentions,"Baroudi, Jack J.",10.2307/249234
8,D_000114,The Impact of Role Variables on Information Systems Personnel Work Attitudes and Intentions,"Baroudi, Jack J.",
8,P_0000000760,The Impact of Role Variables on IS Personnel Work Attitudes and Intentions,"Baroudi, Jack J",
9,C_000347,ICT for Development in Rural India: A Longitudinal Study of Women’s Health Outcomes,"Venkatesh, Viswanath and Sykes, Tracy Ann and Zhang, Xiaojun",10.25300/MISQ/2020/12342
9,D_001353,ICT for Development in Rural India: A Longitudinal Study of Women's Health Outcomes,"Venkatesh, Viswanath and Sykes, Tracy Ann and Zhang, Xiaojun",
9,P_0000000936,ICT FOR DEVELOPMENT IN RURAL INDIA: A LONGITUDINAL STUDY OF WOMEN'S HEALTH OUTCOMES 1,"Venkatesh, Viswanath and Sykes, Tracy Ann and Zhang, Xiaojun",10.25300/MISQ/2020/12342
10,C_000944,Cultural Sensemaking in Offshore Information Technology Service Suppliers: A Cultural Frame Perspective1,"Su, Ning",10.25300/MISQ/2015/39.4.10
10,D_001069,Cultural Sensemaking in Offshore Information Technology Service Suppliers - A Cultural Frame Perspective,"Su, Ning",
10,P_0000000680,CULTURAL SENSEMAKING IN OFFSHORE INFORMATION TECHNOLOGY SERVICE SUPPLIERS: A CULTURAL FRAME PERSPECTIVE 1,"Su, Ning",
11,C_000337,Developing an Expert Systems Strategy,"Braden, Barbara and Kanter, Jerome and Kopcso, David",10.2307/248733
11,D_000234,SIM Paper Competition - Developing an Expert Systems Strategy,"Braden, Barbara and Kanter, Jerome and Kopsco, David",
11,P_0000000153,Developing an Expert Systems Strategy,"Braden, Barbara and Kanter, Jerome and Kopcso, David",
