cluster_id,id,title,author,doi,file
0,P_0000001704,Issues and Opinions,,,data/pdfs/12_4/BenbasatGoldsteinMead1988.pdf
0,P_0000001720,Issues and Opinions,,,data/pdfs/12_4/Dutton1988.pdf
1,P_0000000544,"EDITOR'S COMMENTS Sandy Slaughter: Outstanding Scholar, Incredible Human Being","Goes, Paulo B and Head, Management",,data/pdfs/39_1/Goes2015.pdf
1,P_0000000945,EDITOR'S COMMENTS,"Goes, Paulo B and Head, Management",,data/pdfs/37_1/Goes2013a.pdf
2,P_0000000896,EDITOR'S COMMENTS Necessary Changes,"Saunders, Carol",,data/pdfs/30_1/Saunders2006a.pdf
2,P_0000001384,EDITOR'S COMMENTS,"Saunders, Carol",,data/pdfs/30_SI/Saunders2006.pdf
3,P_0000001533,EDITOR'S COMMENTS,"Use and Straub, Detmar",,data/pdfs/36_4/StraubGiudice2012.pdf
3,P_0000001663,Editor's Comments Parting Thoughts on My Term of Office as EIC of MISQ (2008-2012),"Straub, Detmar",,data/pdfs/36_4/Straub2012a.pdf
4,P_0000000242,"EDITOR'S COMMENTS MISQ, Inc. or an Online Collective? Is There a Journal Personality and What it Means for Authors","Straub, Detmar",,data/pdfs/34_3/Straub2010a.pdf
4,P_0000001568,Straub/Editor's Comments,"Straub, Detmar W.",,data/pdfs/32_3/Straub2006.pdf
5,P_0000000097,Measuring the Linkage Between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",,data/pdfs/20_1/ReichBenbasat1996.pdf
5,P_0000000900,FACTORS THAT INFLUENCE THE SOCIAL DIMENSION OF ALIGNMENT BETWEEN BUSINESS AND INFORMATION TECHNOLOGY OBJECTIVES 1,"Reich, Blaize Horner and Benbasat, Izak",,data/pdfs/24_1/ReichBenbasat2000.pdf
6,P_0000001723,"Editor's Comments: When Is Enough, Enough?","Gray, Peter and Carter, Pamela and Saunders, Carol",,data/pdfs/30_4/Saunders2006c.pdf
6,P_001918,"EDITOR'S COMMENTS When Is Enough, Enough? 1","Carter, Pamela and Saunders, Carol",,data/pdfs/edcommentsv30n4.pdf
7,P_0000001695,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",,data/pdfs/1_1/DoughertyHalbrecht1977.pdf
7,P_0000001701,The Society for Management Information Systems,"O'reilly, Anthony J F and Mis",,data/pdfs/1_1/Halbrecht1977.pdf
