cluster_id,id,title,author,doi,file
0,P_0000000097,Measuring the Linkage Between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",,data/pdfs/20_1/ReichBenbasat1996.pdf
0,P_0000000900,FACTORS THAT INFLUENCE THE SOCIAL DIMENSION OF ALIGNMENT BETWEEN BUSINESS AND INFORMATION TECHNOLOGY OBJECTIVES 1,"Reich, Blaize Horner and Benbasat, Izak",,data/pdfs/24_1/ReichBenbasat2000.pdf
1,P_0000001704,Issues and Opinions,,,data/pdfs/12_4/BenbasatGoldsteinMead1988.pdf
1,P_0000001720,Issues and Opinions,,,data/pdfs/12_4/Dutton1988.pdf
2,P_0000001723,"Editor's Comments: When Is Enough, Enough?","Gray, Peter and Carter, Pamela and Saunders, Carol",,data/pdfs/30_4/Saunders2006c.pdf
2,P_001918,"EDITOR'S COMMENTS When Is Enough, Enough? 1","Carter, Pamela and Saunders, Carol",,data/pdfs/edcommentsv30n4.pdf
3,P_0000000993,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",,data/pdfs/40_4/Rai2016a.pdf
3,P_001919,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",,data/pdfs/MISQ Celebrating 40 Years.pdf
4,P_0000001695,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",,data/pdfs/1_1/DoughertyHalbrecht1977.pdf
4,P_0000001701,The Society for Management Information Systems,"O'reilly, Anthony J F and Mis",,data/pdfs/1_1/Halbrecht1977.pdf
