cluster_id,id,title,author,doi
0,C_001173,Incorporating the Time–Order Effect of Feedback in Online Auction Markets through a Bayesian Updating Model,"Chau, Michael and Li, Wenwen and Yang, Boye and Lee, Alice and Bao, Zhuolan",10.25300/MISQ/2021/15324
0,D_001373,Incorporating the Time–Order Effect of Feedback in Online Auction Markets through a Bayesian Updating Model,"Chau, Michael and Li, Wenwen and Yang, Boye and Lee, Alice and Bao, Zhuolan",
0,P_0000000310,Incorporating the Time–Order Effect of Feedback in Online Auction Markets through a Bayesian Updating Model,"Chau, Michael and Li, Wenwen and Yang, Boye and Lee, Alice and Bao, Zhuolan",10.25300/MISQ/2021/15324
1,C_001824,Phishing Susceptibility in Context: A Multilevel Information Processing Perspective on Deception Detection,"Wright, Ryan and Johnson, Steven and Kitchens, Brent",10.25300/MISQ/2022/16625
1,P_001844,Phishing Susceptibility in Context: A Multilevel Information Processing Perspective on Deception Detection,"Wright, Ryan and Johnson, Steven and Kitchens, Brent",10.25300/MISQ/2022/16625
2,C_000564,"Ending the Mending Wall: Herding, Media Coverage, and Colocation in IT Entrepreneurship","Greenwood, Brad N. and Gopal, Anandasivam",10.25300/MISQ/2017/41.3.15
2,D_001147,"Ending the Mending Wall: Herding, Media Coverage, and Colocation in IT Entrepreneurship","Greenwood, Brad N. and Gopal, Anandasivam",
2,P_0000001609,"Ending the Mending Wall: Herding, Media Coverage, and Colocation in IT Entrepreneurship","Greenwood, Brad N. and Gopal, Anandasivam",
3,C_000959,Web 2.0 and Politics: The 2008 U.S. Presidential Election and an E-Politics Research Agenda,Wattal and Schuff and Mandviwalla and Williams,10.2307/25750700
3,D_000745,Web 2.0 and Politics: The 2008 U.S. Presidential Election and an E-Politics Research Agenda,Wattal and Schuff and Mandviwalla and Williams,
3,P_0000000365,Web 2.0 and Politics: The 2008 U.S. Presidential Election and an E-Politics Research Agenda,Wattal and Schuff and Mandviwalla and Williams,
4,C_000137,"When Statistical Significance Is Not Enough: Investigating Relevance, Practical Significance, and Statistical Significance","Mohajeri, Kaveh and Mesgari, Mostafa and Lee, Allen S.",10.25300/MISQ/2020/13932
4,D_001335,"When Statistical Significance Is Not Enough: Investigating Relevance, Practical Significance, and Statistical Significance","Mohajeri, Kaveh and Mesgari, Mostafa and Lee, Allen S.",
4,P_0000001352,"When Statistical Significance Is Not Enough: Investigating Relevance, Practical Significance, and Statistical Significance","Mohajeri, Kaveh and Mesgari, Mostafa and Lee, Allen S.",10.25300/MISQ/2020/13932
5,C_000421,Estimating Returns to Training in the Knowledge Economy: A Firm-Level Analysis of Small and Medium Enterprises,"Mehra, Amit and Langer, Nishtha and Bapna, Ravi and Gopal, Ram",10.25300/MISQ/2014/38.3.06
5,D_001021,Estimating Returns to Training in the Knowledge Economy: A Firm-Level Analysis of Small and Medium Enterprises,"Mehra, Amit and Langer, Nishtha and Bapna, Ravi and Gopal, Ram",
5,P_0000000266,Estimating Returns to Training in the Knowledge Economy: A Firm-Level Analysis of Small and Medium Enterprises,"Mehra, Amit and Langer, Nishtha and Bapna, Ravi and Gopal, Ram",
6,C_000647,Emergence of Power Laws in Online Communities: The Role of Social Mechanisms and Preferential Attachment,"Johnson, Steven L. and Faraj, Samer and Kudaravalli, Srinivas",10.25300/MISQ/2014/38.3.08
6,D_001007,Emergence of Power Laws in Online Communities: The Role of Social Mechanisms and Preferential Attachment,"Johnson, Steven L. and Faraj, Samer and Kudaravalli, Srinivas",
6,P_0000000050,Emergence of Power Laws in Online Communities: The Role of Social Mechanisms and Preferential Attachment,"Johnson, Steven L. and Faraj, Samer and Kudaravalli, Srinivas",
7,C_000915,"Digitization of Music: Consumer Adoption Amidst Piracy, Unbundling, and Rebundling","Koh, Byungwan and Hann, Il-Horn and Raghunathan, Srinivasan",10.25300/MISQ/2019/14812
7,D_001274,"Digitization of Music: Consumer Adoption Amidst Piracy, Unbundling, and Rebundling","Koh, Byungwan and Hann, Il-Horn and Raghunathan, Srinivasan",
7,P_0000000599,"Digitization of Music: Consumer Adoption Amidst Piracy, Unbundling, and Rebundling","Koh, Byungwan and Hann, Il-Horn and Raghunathan, Srinivasan",10.25300/MISQ/2019/14812
8,C_000828,Using Forum and Search Data for Sales Prediction of High-Involvement Projects,"Geva, Tomer and Oestreicher-Singer, Gal and Efron, Niv and Shimshoni, Yair",10.25300/MISQ/2017/41.1.04
8,D_001143,Using Forum and Search Data for Sales Prediction of High-Involvement Projects,"Geva, Tomer and Oestreicher-Singer, Gal and Efron, Niv and Shimshoni, Yair",
8,P_0000001398,Using Forum and Search Data for Sales Prediction of High-Involvement Projects,"Geva, Tomer and Oestreicher-Singer, Gal and Efron, Niv and Shimshoni, Yair",
9,C_001112,Decision Support Planning and Analysis: The Problems of Getting Large-Scale DSS Started,"Meador, C. Lawrence and Guyote, Martin J. and Rosenfeld, William L.",10.2307/249035
9,D_000150,Decision Support Planning and Analysis: The Problems of Getting Large-Scale DSS Started,"Meador, C. Lawrence and Guyote, Martin J. and Rosenfeld, William L.",
9,P_0000000789,Decision Support Planning and Analysis: The Problems of Getting Large-Scale DSS Started,"Meador, C. Lawrence and Guyote, Martin J. and Rosenfeld, William L.",
10,C_000960,Institutional Logics and Pluralistic Responses to Enterprise System Implementation: A Qualitative Meta-Analysis,"Berente, Nicholas and Lyytinen, Kalle and Yoo, Youngjin and Maurer, Chris",10.25300/MISQ/2019/14214
10,D_001255,Institutional Logics and Pluralistic Responses to Enterprise System Implementation: A Qualitative Meta-Analysis,"Berente, Nicholas and Lyytinen, Kalle and Yoo, Youngjin and Maurer, Chris",
10,P_0000000796,Institutional Logics and Pluralistic Responses to Enterprise System Implementation: A Qualitative Meta-Analysis,"Berente, Nicholas and Lyytinen, Kalle and Yoo, Youngjin and Maurer, Chris",10.25300/MISQ/2019/14214
11,C_001564,A Multiagent Competitive Gaming Platform to Address Societal Challenges,"Ketter, Wolfgang and Peters, Markus and Collins, John and Gupta, Alok",10.25300/MISQ/2016/40.2.09
11,D_001095,A Multiagent Competitive Gaming Platform to Address Societal Challenges,"Ketter, Wolfgang and Peters, Markus and Collins, John and Gupta, Alok",
11,P_0000000453,A Multiagent Competitive Gaming Platform to Address Societal Challenges,"Ketter, Wolfgang and Peters, Markus and Collins, John and Gupta, Alok",
12,C_000796,Expectation Confirmation in Information Systems Research: A Test of Six Competing Models,"Brown, Susan A. and Venkatesh, Viswanath and Goyal, Sandeep",10.25300/MISQ/2014/38.3.05
12,D_000987,Expectation Confirmation in Information Systems Research: A Test of Six Competing Models,"Brown, Susan A. and Venkatesh, Viswanath and Goyal, Sandeep",
12,P_0000001386,Expectation Confirmation in Information Systems Research: A Test of Six Competing Models,"Brown, Susan A. and Venkatesh, Viswanath and Goyal, Sandeep",
13,C_001419,Reconciliation Process for Data Management in Distributed Environments,"Ballou, Donald P.",10.2307/249111
13,D_000113,Reconciliation Process for Data Management in Distributed Environments,"Ballou, Donald P.",
13,P_0000000314,Reconciliation Process for Data Management in Distributed Environments,"Ballou, Donald P.",
14,C_001283,The Usefulness of Computer-Based Information to Public Managers,"Kraemer, Kenneth L. and Danziger, James N. and Dunkle, Debora E. and King, John L.",10.2307/249798
14,D_000337,The Usefulness of Computer-Based Information to Public Managers,"Kraemer, Kenneth L. and Danziger, James N. and Dunkle, Debora E. and King, John L.",
14,P_0000000776,The Usefulness of Computer-Based Information to Public Managers,"Kraemer, Kenneth L. and Danziger, James N. and Dunkle, Debora E. and King, John L.",
15,C_001513,A Systematic Approach toward Assessing the Value of an Information System,"Ahituv, Niv",10.2307/248961
15,D_000008,A Systematic Approach toward Assessing the Value of an Information System,"Ahituv, Niv",
