cluster_id,id,title,author,doi
0,P_0000000993,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
0,P_0000001728,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
1,P_001876,ECONOMICS OF ANALYTICS SERVICES ON A MARKETPLACE PLATFORM 1,"Wang, Zhe and Guo, Hong and Liu, Dengpan",10.25300/MISQ/2023/16452
1,P_001879,ECONOMICS OF ANALYTICS SERVICES ON A MARKETPLACE PLATFORM 1,"Wang, Zhe and Guo, Hong and Liu, Dengpan",10.25300/MISQ/2023/16452
2,P_001884,EXTRACTING ACTIONABLE INSIGHTS FROM TEXT DATA: A STABLE TOPIC MODEL APPROACH 1,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957
2,P_001885,EXTRACTING ACTIONABLE INSIGHTS FROM TEXT DATA: A STABLE TOPIC MODEL APPROACH 1,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957
3,P_0000001189,NEXT-GENERATION INFORMATION SYSTEMS THEORIZING: A CALL TO ACTION 1,"Burton-Jones, Andrew and Butler, Brian S and Scott, Susan V and Xu, Sean Xin",10.25300/MISQ/2021/15434
3,P_001865,NEXT-GENERATION INFORMATION SYSTEMS THEORIZING: A CALL TO ACTION 1,"Burton-Jones, Andrew and Butler, Brian S and Scott, Susan V and Xu, Sean Xin",10.25300/MISQ/2021/15434
4,P_001866,DIGITIZATION OF TRANSACTION TERMS WITHIN TCE: STRONG SMART CONTRACT AS A NEW MODE OF TRANSACTION GOVERNANCE 1,"Halaburda, Hanna and Levina, Natalia and Min, Semi",10.25300/MISQ/2023/17818
4,P_001871,DIGITIZATION OF TRANSACTION TERMS WITHIN TCE: STRONG SMART CONTRACT AS A NEW MODE OF TRANSACTION GOVERNANCE 1,"Halaburda, Hanna and Levina, Natalia and Min, Semi",10.25300/MISQ/2023/17818
