ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,url,author,language,dblp_key,metadata_source
000001,article,10.1057/EJIS.2008.43,European Journal of Information Systems,Essence - facilitating software innovation,2008,17,5,543--553,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.43,"Aaen, Ivan",,,
000002,article,10.1057/EJIS.2012.7,European Journal of Information Systems,Everywhere and nowhere - nearshore software development in the context of globalisation,2012,21,5,529--551,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.7,"Abbott, Pamela Y and Jones, Matthew R",,,
000003,article,10.1057/EJIS.2011.25,European Journal of Information Systems,Enriching our theoretical repertoire - the role of evolutionary psychology in technology acceptance,2013,22,1,56--75,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.25,"Abraham, Chon and Boudreau, Marie-Claude and Junglas, Iris and Watson, Richard",,,
000004,article,10.1057/EJIS.2009.27,European Journal of Information Systems,"‘Lots done, more to do' - the current state of agile systems development research",2009,18,4,281--284,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.27,"Abrahamsson, Pekka and Conboy, Kieran and Wang, Xiaofeng",,,
000005,article,10.1057/PALGRAVE.EJIS.3000631,European Journal of Information Systems,Being an ‘it' in IT - gendered identities in IT work,2006,15,4,368--378,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000631,"Adam, Alison and Griffiths, Marie and Keogh, Claire and Moore, Karenza and Richardson, Helen and Tattersall, Angela",,,
000006,article,10.1080/0960085X.2020.1814681,European Journal of Information Systems,Containing COVID-19 through physical distancing - the impact of real-time crowding information,2020,29,5,595--607,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1814681,"Adam, Martin and Werner, Dominick and Wendt, Charlotte and Benlian, Alexander",,,
000007,article,10.1057/EJIS.2008.8,European Journal of Information Systems,"The journal list and its use - motivation, perceptions, and reality",2008,17,2,158--162,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.8,"Adams, Dennis and Johnson, Norman",,,
000008,article,10.1057/EJIS.2010.22,European Journal of Information Systems,Getting pragmatic,2010,19,3,251--256,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.22,"Ågerfalk, Pär J",,,
000009,article,10.1057/EJIS.2013.6,European Journal of Information Systems,Embracing diversity through mixed methods research,2013,22,3,251--256,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.6,"Ågerfalk, Pär J",,,
000010,article,10.1057/EJIS.2014.35,European Journal of Information Systems,Insufficient theoretical contribution - a conclusive rationale for rejection?,2014,23,6,593--599,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.35,"Ågerfalk, Pär J",,,
000011,article,10.1080/0960085X.2018.1429370,European Journal of Information Systems,Going through changes,2018,27,1,1--2,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1429370,"Ågerfalk, Pär J.",,,
000012,article,10.1080/0960085X.2018.1458065,European Journal of Information Systems,Whither design science research?,2018,27,2,127--128,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1458065,"Ågerfalk, Pär J.",,,
000013,article,10.1080/0960085X.2019.1557853,European Journal of Information Systems,Stimulating academic discourse - a call for response,2019,28,1,1--5,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1557853,"Ågerfalk, Pär J.",,,
000014,article,10.1080/0960085X.2020.1721947,European Journal of Information Systems,Artificial intelligence as digital agency,2020,29,1,1--8,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1721947,"Ågerfalk, Pär J.",,,
000015,article,10.1080/0960085X.2020.1771968,European Journal of Information Systems,Information systems in the age of pandemics - COVID-19 and beyond,2020,29,3,203--207,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1771968,"Ågerfalk, Pär J and Conboy, Kieran and Myers, Michael D",,,
000016,article,10.1057/PALGRAVE.EJIS.3000486,European Journal of Information Systems,Action-oriented conceptual modelling,2004,13,1,80--92,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000486,"Ågerfalk, Pär J and Eriksson, Owen",,,
000017,article,10.1057/PALGRAVE.EJIS.3000607,European Journal of Information Systems,"Reflecting on action in language, organisations and information systems",2006,15,1,4--8,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000607,"Ågerfalk, Pär J and Goldkuhl, Göran and Fitzgerald, Brian and Bannon, Liam",,,
000018,article,10.1080/0960085X.2020.1743051,European Journal of Information Systems,Artefactual and empirical contributions in information systems research,2020,29,2,109--113,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1743051,"Ågerfalk, Pär J. and Karlsson, Fredrik",,,
000019,article,10.1080/0960085X.2018.1435230,European Journal of Information Systems,"""How does tech make you feel?"" a review and examination of negative affective responses to technology use",2018,27,5,570--599,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1435230,"Agogo, David and Hess, Traci J.",,,
000020,article,10.1057/PALGRAVE.EJIS.3000417,European Journal of Information Systems,"Women in the information technology profession - a literature review, synthesis and research agenda",2002,11,1,20--34,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000417,"Ahuja, M K",,,
000021,article,10.1057/PALGRAVE.EJIS.3000418,European Journal of Information Systems,Vicious and virtuous cycles in ERP implementation - a case study of interrelations between critical success factors,2002,11,1,35--46,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000418,"Akkermans, H and van Helden, K",,,
000022,article,10.1057/EJIS.2010.21,European Journal of Information Systems,Developing a unified framework of the business model concept,2010,19,3,359--376,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.21,"Al-Debei, Mutaz M and Avison, David",,,
000023,article,10.1057/PALGRAVE.EJIS.3000406,European Journal of Information Systems,ERP software implementation - an integrative framework,2001,10,4,216--226,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000406,"Al-Mudimigh, A and Zairi, M and Al-Mashari, M",,,
000024,article,10.1057/PALGRAVE.EJIS.3000432,European Journal of Information Systems,The development of two tools for measuring the easiness and usefulness of transactional Web sites,2002,11,3,223--234,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000432,"Aladwani, A M",,,
000025,article,10.1057/PALGRAVE.EJIS.3000348,European Journal of Information Systems,Software process improvement - Concepts and practices,2000,9,2,125--126,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000348,"Alexander, Ian",,,
000026,article,10.1057/PALGRAVE.EJIS.3000350,European Journal of Information Systems,An introduction to qualitative research,2000,9,2,127--128,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000350,"Alexander, Ian",,,
000027,article,10.1057/PALGRAVE.EJIS.3000403,European Journal of Information Systems,"Managing Industrial Knowledge; Creation, Transfer and Utilization",2001,10,3,181--181,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000403,"Alexander, Ian",,,
000028,article,10.1057/PALGRAVE.EJIS.3000387,European Journal of Information Systems,Handbook of Action Research Participative Inquiry and Practice,2001,10,3,176--177,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000387,"Alexander, Ian",,,
000029,article,10.1057/PALGRAVE.EJIS.3000440,European Journal of Information Systems,Knowledge Management Systems,2003,12,1,73--74,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000440,"Alexander, Ian",,,
