cluster_id,id,title,author,doi
0,C_000997,Socially responsible design science in information systems for sustainable development: a critical research methodology,"Monson, Mike",10.1080/0960085X.2021.1946442
0,D_001013,Socially responsible design science in information systems for sustainable development: a critical research methodology,"Monson, Mike",10.1080/0960085X.2021.1946442
1,C_000987,Enhancing users’ security engagement through cultivating commitment: the role of psychological needs fulfilment,"Davis, Joshua and Agrawal, Deepti and Guo, Xiang",10.1080/0960085X.2021.1927866
1,D_001015,Enhancing users’ security engagement through cultivating commitment: the role of psychological needs fulfilment,"Davis, Joshua and Agrawal, Deepti and Guo, Xiang",10.1080/0960085X.2021.1927866
2,C_000980,Governing innovation platforms in multi-business organisations,"Schreieck, Maximilian and Wiesche, Manuel and Krcmar, Helmut",10.1080/0960085X.2022.2041371
2,D_001040,Governing innovation platforms in multi-business organisations,"Schreieck, Maximilian and Wiesche, Manuel and Krcmar, Helmut",10.1080/0960085X.2022.2041371
3,C_000957,"Algorithmic bias: review, synthesis, and future research directions","Kordzadeh, Nima and Ghasemaghaei, Maryam",10.1080/0960085X.2021.1927212
3,D_000988,"Algorithmic bias: review, synthesis, and future research directions","Kordzadeh, Nima and Ghasemaghaei, Maryam",10.1080/0960085X.2021.1927212
4,C_000972,Patient health locus of control: the design of information systems for patient-provider interactions,"Wallace, James and Mullarkey, Matthew T and Hevner, Alan",10.1080/0960085X.2022.2088416
4,D_001005,Patient health locus of control: the design of information systems for patient-provider interactions,"Wallace, James and Mullarkey, Matthew T and Hevner, Alan",10.1080/0960085X.2022.2088416
5,C_000955,An immodest proposal – going “All in” on replication research in information systems,"Brendel, Alfred Benedikt and Diederich, Stephan and Niederman, Fred",10.1080/0960085X.2021.1944822
5,D_001012,An immodest proposal – going “All in” on replication research in information systems,"Brendel, Alfred Benedikt and Diederich, Stephan and Niederman, Fred",10.1080/0960085X.2021.1944822
6,C_000984,Algorithmic control and gig workers: a legitimacy perspective of Uber drivers,"Wiener, Martin and Cram, W. and Benlian, Alexander",10.1080/0960085X.2021.1977729
6,D_001043,Algorithmic control and gig workers: a legitimacy perspective of Uber drivers,"Wiener, Martin and Cram, W. and Benlian, Alexander",10.1080/0960085X.2021.1977729
7,C_000969,Unpacking digital options thinking for innovation renewal: a clinical inquiry into car connectivity,"Svahn, Fredrik and Kristensson, Martin",10.1080/0960085X.2022.2088415
7,D_001010,Unpacking digital options thinking for innovation renewal: a clinical inquiry into car connectivity,"Svahn, Fredrik and Kristensson, Martin",10.1080/0960085X.2022.2088415
8,C_000976,Digital nudging for technical debt management at Credit Suisse,"Haki, Kazem and Rieder, Annamina and Buchmann, Lorena and W.Schneider, Alexander",10.1080/0960085X.2022.2088413
8,D_001009,Digital nudging for technical debt management at Credit Suisse,"Haki, Kazem and Rieder, Annamina and Buchmann, Lorena and W.Schneider, Alexander",10.1080/0960085X.2022.2088413
