ID,orig_ID,orig_source,url,pages,number,volume,year,title,journal,author,doi,ENTRYTYPE,language,metadata_source,dblp_key
C_000001,000001,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.43,543--553,5,17,2008,Essence - facilitating software innovation,European Journal of Information Systems,"Aaen, Ivan",10.1057/EJIS.2008.43,article,,,
C_000002,000002,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.7,529--551,5,21,2012,Everywhere and nowhere - nearshore software development in the context of globalisation,European Journal of Information Systems,"Abbott, Pamela Y and Jones, Matthew R",10.1057/EJIS.2012.7,article,,,
C_000003,000003,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.25,56--75,1,22,2013,Enriching our theoretical repertoire - the role of evolutionary psychology in technology acceptance,European Journal of Information Systems,"Abraham, Chon and Boudreau, Marie-Claude and Junglas, Iris and Watson, Richard",10.1057/EJIS.2011.25,article,,,
C_000004,000004,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.27,281--284,4,18,2009,"‘Lots done, more to do' - the current state of agile systems development research",European Journal of Information Systems,"Abrahamsson, Pekka and Conboy, Kieran and Wang, Xiaofeng",10.1057/EJIS.2009.27,article,,,
C_000005,000005,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000631,368--378,4,15,2006,Being an ‘it' in IT - gendered identities in IT work,European Journal of Information Systems,"Adam, Alison and Griffiths, Marie and Keogh, Claire and Moore, Karenza and Richardson, Helen and Tattersall, Angela",10.1057/PALGRAVE.EJIS.3000631,article,,,
C_000006,000006,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1814681,595--607,5,29,2020,Containing COVID-19 through physical distancing - the impact of real-time crowding information,European Journal of Information Systems,"Adam, Martin and Werner, Dominick and Wendt, Charlotte and Benlian, Alexander",10.1080/0960085X.2020.1814681,article,,,
C_000007,000007,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.8,158--162,2,17,2008,"The journal list and its use - motivation, perceptions, and reality",European Journal of Information Systems,"Adams, Dennis and Johnson, Norman",10.1057/EJIS.2008.8,article,,,
C_000008,000008,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.22,251--256,3,19,2010,Getting pragmatic,European Journal of Information Systems,"Ågerfalk, Pär J",10.1057/EJIS.2010.22,article,,,
C_000009,000009,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.6,251--256,3,22,2013,Embracing diversity through mixed methods research,European Journal of Information Systems,"Ågerfalk, Pär J",10.1057/EJIS.2013.6,article,,,
C_000010,000010,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.35,593--599,6,23,2014,Insufficient theoretical contribution - a conclusive rationale for rejection?,European Journal of Information Systems,"Ågerfalk, Pär J",10.1057/EJIS.2014.35,article,,,
C_000011,000011,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1429370,1--2,1,27,2018,Going through changes,European Journal of Information Systems,"Ågerfalk, Pär J.",10.1080/0960085X.2018.1429370,article,,,
C_000012,000012,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1458065,127--128,2,27,2018,Whither design science research?,European Journal of Information Systems,"Ågerfalk, Pär J.",10.1080/0960085X.2018.1458065,article,,,
C_000013,000013,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1557853,1--5,1,28,2019,Stimulating academic discourse - a call for response,European Journal of Information Systems,"Ågerfalk, Pär J.",10.1080/0960085X.2019.1557853,article,,,
C_000014,000014,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1721947,1--8,1,29,2020,Artificial intelligence as digital agency,European Journal of Information Systems,"Ågerfalk, Pär J.",10.1080/0960085X.2020.1721947,article,,,
