cluster_id,id,title,author,doi
0,C_000857,Organizational identity and information systems - how organizational ICT reflect who an organization is,"Tyworth, Michael",10.1057/EJIS.2013.32
0,D_000668,Organizational identity and information systems - how organizational ICT reflect who an organization is,"Tyworth, Michael",10.1057/EJIS.2013.32
1,C_000021,Vicious and virtuous cycles in ERP implementation - a case study of interrelations between critical success factors,"Akkermans, H and van Helden, K",10.1057/PALGRAVE.EJIS.3000418
1,D_000087,Vicious and virtuous cycles in ERP implementation - a case study of interrelations between critical success factors,"Akkermans, H and van Helden, K",10.1057/PALGRAVE.EJIS.3000418
2,C_000798,Offshoring Information Technology,"Smith, Steve",10.1057/PALGRAVE.EJIS.3000624
2,D_000263,Offshoring Information Technology,"Smith, Steve",10.1057/PALGRAVE.EJIS.3000624
3,C_000101,Beyond the productivity paradox,"Berghout, Egon",10.1057/PALGRAVE.EJIS.3000351
3,D_000027,Beyond the productivity paradox,"Berghout, Egon",10.1057/PALGRAVE.EJIS.3000351
4,C_000553,The role of boundaries in knowledge processes,"Merali, Y",10.1057/PALGRAVE.EJIS.3000413
4,D_000095,The role of boundaries in knowledge processes,"Merali, Y",10.1057/PALGRAVE.EJIS.3000413
5,C_000230,A portrait of a scientist,"De Marco, Marco",10.1057/PALGRAVE.EJIS.3000553
5,D_000219,A portrait of a scientist,"De Marco, Marco",10.1057/PALGRAVE.EJIS.3000553
6,C_000418,Adverse consequences of access to individuals' information - an analysis of perceptions and the scope of organisational influence,"Karwatzki, Sabrina and Trenz, Manuel and Tuunainen, Virpi Kristiina and Veit, Daniel",10.1057/S41303-017-0064-Z
6,D_000774,Adverse consequences of access to individuals' information - an analysis of perceptions and the scope of organisational influence,"Karwatzki, Sabrina and Trenz, Manuel and Tuunainen, Virpi Kristiina and Veit, Daniel",10.1057/S41303-017-0064-Z
7,C_000441,A critical approach to evaluation,"Klecun, Ela and Cornford, Tony",10.1057/PALGRAVE.EJIS.3000540
7,D_000211,A critical approach to evaluation,"Klecun, Ela and Cornford, Tony",10.1057/PALGRAVE.EJIS.3000540
