ID,ENTRYTYPE,doi,journal,title,year,volume,number,dblp_key,metadata_source,author,file,grobid-version,note,pages,url,language
000001,article,10.1057/EJIS.2016.5,European Journal of Information Systems,"Fragmentation or cohesion? Visualizing the process and consequences of information system diversity, 1993-2012",2016,25,6,https://dblp.org/rec/journals/ejis/LiuLGKX16,DBLP,"Liu, Yong and Li, Hongxiu and Gonçalves, Jorge and Kostakos, Vassilis and Xiao, Bei",,,,,,
000002,article,10.1057/PALGRAVE.EJIS.3000661,European Journal of Information Systems,What sort of community is the European Conference on Information Systems? A social network analysis 1993-2005,2007,16,1,https://dblp.org/rec/journals/ejis/VidgenHN07,DBLP,"Vidgen, Richard T. and Henneberg, Stephan and Naudé, Peter",,,,,,
000003,article,10.1057/EJIS.2011.58,European Journal of Information Systems,Information systems as a discipline in the making - comparing EJIS and MISQ between 1995 and 2008,2012,21,5,https://dblp.org/rec/journals/ejis/CordobaPB12,DBLP,"Córdoba, José-Rodrigo and Pilkington, Alan and Bernroider, Edward",,,,,,
000004,article,10.1057/PALGRAVE.EJIS.3000359,European Journal of Information Systems,The 'Soft Information Systems and Technologies Methodology' (SISTeM) - an actor network contingency approach to integrated development,2000,9,2,https://dblp.org/rec/journals/ejis/Atkinson00,DBLP,"Atkinson, Christopher J.",,,,,,
000005,article,10.1057/PALGRAVE.EJIS.3000374,European Journal of Information Systems,Structured-case - a methodological framework for building theory in information systems research,2000,9,4,https://dblp.org/rec/journals/ejis/CarrollS00,DBLP,"Carroll, Jenny M. and Swatman, Paul A.",,,,,,
000006,article,10.1057/PALGRAVE.EJIS.3000363,European Journal of Information Systems,The reorganization of the information systems of the US Naval Construction Forces - an action research project,2000,9,3,https://dblp.org/rec/journals/ejis/Simon00,DBLP,"Simon, Steve John",,,,,,
000007,article,10.1057/PALGRAVE.EJIS.3000571,European Journal of Information Systems,Claudio Ciborra - convenor of information systems October 2000 to February 2005,2005,14,5,https://dblp.org/rec/journals/ejis/Emery05,DBLP,"Emery, Sarah",,,,,,
000008,article,10.1057/PALGRAVE.EJIS.3000366,European Journal of Information Systems,Bringing global information systems into business,2000,9,3,https://dblp.org/rec/journals/ejis/Chen00,DBLP,"Chen, Chaomei",,,,,,
000009,article,10.1057/PALGRAVE.EJIS.3000344,European Journal of Information Systems,An analysis of expert systems for business decision making at different levels and in different roles,2000,9,1,https://dblp.org/rec/journals/ejis/EdwardsDR00,DBLP,"Edwards, John S. and Duan, Yanqing and Robins, P. C.",,,,,,
000010,article,10.1057/PALGRAVE.EJIS.3000343,European Journal of Information Systems,The adoption and design methodologies of component-based enterprise systems,2000,9,1,https://dblp.org/rec/journals/ejis/FanSW00,DBLP,"Fan, Ming and Stallaert, Jan and Whinston, Andrew B.",,,,,,
000011,article,10.1057/PALGRAVE.EJIS.3000375,European Journal of Information Systems,A theory of industry-level activity for understanding the adoption of interorganizational systems,2000,9,4,https://dblp.org/rec/journals/ejis/JohnstonG00,DBLP,"Johnston, Robert B. and Gregor, Shirley",,,,,,
000012,article,10.1057/PALGRAVE.EJIS.3000346,European Journal of Information Systems,Editorial,2000,9,1,https://dblp.org/rec/journals/ejis/OKeefeP00,DBLP,"O'Keefe, Bob and Paul, Ray J.",,,,,,
000013,article,10.1057/PALGRAVE.EJIS.3000364,European Journal of Information Systems,Editorial,2000,9,2,https://dblp.org/rec/journals/ejis/OKeefeP00a,DBLP,"O'Keefe, Bob and Paul, Ray J.",,,,,,
000014,article,10.1057/PALGRAVE.EJIS.3000370,European Journal of Information Systems,Editorial,2000,9,3,https://dblp.org/rec/journals/ejis/OKeefeP00b,DBLP,"O'Keefe, Bob and Paul, Ray J.",,,,,,
000015,article,10.1057/PALGRAVE.EJIS.3000339,European Journal of Information Systems,Information systems planning in a turbulent environment,2000,9,1,https://dblp.org/rec/journals/ejis/SalmelaLR00,DBLP,"Salmela, Hannu and Lederer, Albert L. and Reponen, Tapio",,,,,,
000016,article,10.1057/PALGRAVE.EJIS.3000362,European Journal of Information Systems,CEO and CIO perceptions of information systems strategy - evidence from Hong Kong,2000,9,3,https://dblp.org/rec/journals/ejis/TaiP00,DBLP,"Tai, L. A. and Phelps, Robert",,,,,,
000017,article,10.1057/PALGRAVE.EJIS.3000342,European Journal of Information Systems,Stimulating power games as a part of systems development,2000,9,1,https://dblp.org/rec/journals/ejis/TorvinenJ00,DBLP,"Torvinen, Vesa and Jalonen, Katarina",,,,,,
000018,article,10.1057/PALGRAVE.EJIS.3000349,European Journal of Information Systems,Process improvement and organisational learning - The role of collaboration technologies,2000,9,2,https://dblp.org/rec/journals/ejis/Bacon00,DBLP,"Bacon, C. James",,,,,,
000019,article,10.1057/PALGRAVE.EJIS.3000367,European Journal of Information Systems,Information technology standards and standardization - A global perspective,2000,9,3,https://dblp.org/rec/journals/ejis/Berghout00a,DBLP,"Berghout, Egon",,,,,,
000020,article,10.1057/PALGRAVE.EJIS.3000371,European Journal of Information Systems,Book review/viewpoint on Ian Angell's book - 'The New Barbarian Manifesto - How to Survive in the Information Age',2000,9,3,https://dblp.org/rec/journals/ejis/Brown00,DBLP,"Paul, Ray",,,,,,
000021,article,10.1057/PALGRAVE.EJIS.3000360,European Journal of Information Systems,The IT value quest - How to capture the business value of IT-based infrastructure,2000,9,3,https://dblp.org/rec/journals/ejis/Brown00a,DBLP,"Brown, Ann",,,,,,
000022,article,10.1057/PALGRAVE.EJIS.3000368,European Journal of Information Systems,Binary trading relations and the limits of EDI standards - the Procrustean bed of standards,2000,9,3,https://dblp.org/rec/journals/ejis/DamsgaardT00,DBLP,"Damsgaard, Jan and Truex, Duane",,,,,,
000023,article,10.1057/PALGRAVE.EJIS.3000373,European Journal of Information Systems,Open source movements as a model for organising,2000,9,4,https://dblp.org/rec/journals/ejis/Ljungberg00,DBLP,"Ljungberg, Jan",,,,,,
000024,article,10.1057/PALGRAVE.EJIS.3000365,European Journal of Information Systems,System development - A strategic framework,2000,9,3,https://dblp.org/rec/journals/ejis/Seltsikas00,DBLP,"Seltsikas, Phil",,,,,,
000025,article,10.1057/PALGRAVE.EJIS.3000348,European Journal of Information Systems,Software process improvement - Concepts and practices,2000,9,2,https://dblp.org/rec/journals/ejis/Alexander00,DBLP,"Alexander, Ian",,,,,,
000026,article,10.1057/PALGRAVE.EJIS.3000350,European Journal of Information Systems,An introduction to qualitative research,2000,9,2,https://dblp.org/rec/journals/ejis/Alexander00a,DBLP,"Alexander, Ian",,,,,,
000027,article,10.1057/PALGRAVE.EJIS.3000351,European Journal of Information Systems,Beyond the productivity paradox,2000,9,2,https://dblp.org/rec/journals/ejis/Berghout00,DBLP,"Berghout, Egon",,,,,,
000028,article,10.1057/PALGRAVE.EJIS.3000354,European Journal of Information Systems,Future organizational design - the scope for IT-based enterprise,2000,9,3,https://dblp.org/rec/journals/ejis/Colville00,DBLP,"Colville, Ian",,,,,,
000029,article,10.1057/PALGRAVE.EJIS.3000347,European Journal of Information Systems,Requirements engineering - A good practice,2000,9,2,https://dblp.org/rec/journals/ejis/Galal-Edeen00,DBLP,"Galal-Edeen, Galal H.",,,,,,
000030,article,10.1057/PALGRAVE.EJIS.3000355,European Journal of Information Systems,Paradigmatic analysis as a means of eliciting knowledge to assist multimedia methodological development,2000,9,2,https://dblp.org/rec/journals/ejis/GallagherW00,DBLP,"Gallagher, Séamus and Webb, Brian R.",,,,,,
000031,article,10.1057/PALGRAVE.EJIS.3000352,European Journal of Information Systems,IT investments in developing countries - An assessment and practical guide,2000,9,2,https://dblp.org/rec/journals/ejis/Hecks00,DBLP,"Hecks, Richard",,,,,,
000032,article,10.1057/PALGRAVE.EJIS.3000376,European Journal of Information Systems,Identifying and classifying processes (traditional and soft factors) that support COTS component selection - a case study,2000,9,4,https://dblp.org/rec/journals/ejis/KundaB00,DBLP,"Kunda, Douglas and Brooks, Laurence D.",,,,,,
000033,article,10.1057/PALGRAVE.EJIS.3000377,European Journal of Information Systems,Bundling strategy in base-supplemental goods markets - the case of Microsoft,2000,9,4,https://dblp.org/rec/journals/ejis/Lee00,DBLP,"Lee, Sang-Yong Tom",,,,,,
000034,article,10.1057/PALGRAVE.EJIS.3000358,European Journal of Information Systems,Perceived critical mass effect on groupware acceptance,2000,9,2,https://dblp.org/rec/journals/ejis/LouLS00,DBLP,"Lou, H. and Luo, Wenhong and Strong, Diane M.",,,,,,
000035,article,10.1057/PALGRAVE.EJIS.3000369,European Journal of Information Systems,Operationalising the implementation puzzle - an argument for eclecticism in research and in practice,2000,9,3,https://dblp.org/rec/journals/ejis/Marble00,DBLP,"Marble, Robert P.",,,,,,
