cluster_id,id,title,author,doi
0,C_000955,An immodest proposal – going “All in” on replication research in information systems,"Brendel, Alfred Benedikt and Diederich, Stephan and Niederman, Fred",10.1080/0960085X.2021.1944822
0,D_001012,An immodest proposal – going “All in” on replication research in information systems,"Brendel, Alfred Benedikt and Diederich, Stephan and Niederman, Fred",10.1080/0960085X.2021.1944822
0,P_001272,An immodest proposal – going “All in” on replication research in information systems,"Brendel, Alfred Benedikt and Diederich, Stephan and Niederman, Fred",10.1080/0960085X.2021.1944822
1,C_000957,"Algorithmic bias: review, synthesis, and future research directions","Kordzadeh, Nima and Ghasemaghaei, Maryam",10.1080/0960085X.2021.1927212
1,D_000988,"Algorithmic bias: review, synthesis, and future research directions","Kordzadeh, Nima and Ghasemaghaei, Maryam",10.1080/0960085X.2021.1927212
1,P_001248,"Algorithmic bias: review, synthesis, and future research directions","Kordzadeh, Nima and Ghasemaghaei, Maryam",10.1080/0960085X.2021.1927212
2,P_0000000081,EJIS$$121P,,
2,P_0000000311,EJIS$$121P,,
2,P_0000000359,EJIS$$121P,,
2,P_0000000676,EJIS$$121P,,
3,D_000992,Merchants' adoption of mobile payment in emerging economies: the case of unorganised retailers in India,"Mishra, Vishal and Walsh, Isabelle and Srivastava, Ankur",10.1080/0960085X.2021.1978338
3,P_0000000399,Merchants' adoption of mobile payment in emerging economies: the case of unorganised retailers in India,"Mishra, Vishal and Walsh, Isabelle and Srivastava, Ankur",10.1080/0960085X.2021.1978338
4,C_000976,Digital nudging for technical debt management at Credit Suisse,"Haki, Kazem and Rieder, Annamina and Buchmann, Lorena and W.Schneider, Alexander",10.1080/0960085X.2022.2088413
4,D_001009,Digital nudging for technical debt management at Credit Suisse,"Haki, Kazem and Rieder, Annamina and Buchmann, Lorena and W.Schneider, Alexander",10.1080/0960085X.2022.2088413
5,C_000969,Unpacking digital options thinking for innovation renewal: a clinical inquiry into car connectivity,"Svahn, Fredrik and Kristensson, Martin",10.1080/0960085X.2022.2088415
5,D_001010,Unpacking digital options thinking for innovation renewal: a clinical inquiry into car connectivity,"Svahn, Fredrik and Kristensson, Martin",10.1080/0960085X.2022.2088415
6,C_000975,Strategic alignment of enterprise architecture management – how portfolios of control mechanisms track a decade of enterprise transformation at Commerzbank,"Beese, Jannis and Haki, Kazem and Schilling, Raphael and Kraus, Martin and Aier, Stephan and Winter, Robert",10.1080/0960085X.2022.2085200
6,D_001006,Strategic alignment of enterprise architecture management – how portfolios of control mechanisms track a decade of enterprise transformation at Commerzbank,"Beese, Jannis and Haki, Kazem and Schilling, Raphael and Kraus, Martin and Aier, Stephan and Winter, Robert",10.1080/0960085X.2022.2085200
6,P_001281,Strategic alignment of enterprise architecture management – how portfolios of control mechanisms track a decade of enterprise transformation at Commerzbank,"Beese, Jannis and Haki, Kazem and Schilling, Raphael and Kraus, Martin and Aier, Stephan and Winter, Robert",10.1080/0960085X.2022.2085200
7,C_000155,Information system development activities and inquiring systems - an integrating framework,"Carugati, Andrea",10.1057/EJIS.2008.5
7,D_000373,Information system development activities and inquiring systems - an integrating framework,"Carugati, Andrea",10.1057/EJIS.2008.5
7,P_0000000397,Information system development activities and inquiring systems - an integrating framework,"Carugati, Andrea",10.1057/EJIS.2008.5
7,P_0000000465,Information system development activities and inquiring systems - an integrating framework,"Carugati, Andrea",10.1057/EJIS.2008.23
8,C_000970,Adopting and integrating cyber-threat intelligence in a commercial organisation,"Kotsias, James and Ahmad, Atif and Scheepers, Rens",10.1080/0960085X.2022.2088414
8,D_001007,Adopting and integrating cyber-threat intelligence in a commercial organisation,"Kotsias, James and Ahmad, Atif and Scheepers, Rens",10.1080/0960085X.2022.2088414
9,D_001014,The social fabric framework: steps to eliciting the social making of organisations in the digital age,"Avital, Michel and Jensen, Tina Blegind and Dyrby, Signe",10.1080/0960085X.2021.1907236
9,P_001276,The social fabric framework: steps to eliciting the social making of organisations in the digital age,"Avital, Michel and Jensen, Tina Blegind and Dyrby, Signe",10.1080/0960085X.2021.1907236
10,C_000940,Innovation diffusion in global contexts - determinants of post-adoption digital transformation of European companies,"Zhu, Kevin and Dong, Shutao and Xu, Sean Xin and Kraemer, Kenneth L",10.1057/PALGRAVE.EJIS.3000650
10,D_000267,Innovation diffusion in global contexts - determinants of post-adoption digital transformation of European companies,"Zhu, Kevin and Dong, Shutao and Xu, Sean Xin and Kraemer, Kenneth L",10.1057/PALGRAVE.EJIS.3000650
10,P_001256,Innovation diffusion in global contexts - determinants of post-adoption digital transformation of European companies,"Zhu, Kevin and Dong, Shutao and Xu, Sean Xin and Kraemer, Kenneth L",10.1057/PALGRAVE.EJIS.3000650
11,C_000987,Enhancing users’ security engagement through cultivating commitment: the role of psychological needs fulfilment,"Davis, Joshua and Agrawal, Deepti and Guo, Xiang",10.1080/0960085X.2021.1927866
11,D_001015,Enhancing users’ security engagement through cultivating commitment: the role of psychological needs fulfilment,"Davis, Joshua and Agrawal, Deepti and Guo, Xiang",10.1080/0960085X.2021.1927866
11,P_001270,Enhancing users’ security engagement through cultivating commitment: the role of psychological needs fulfilment,"Davis, Joshua and Agrawal, Deepti and Guo, Xiang",10.1080/0960085X.2021.1927866
12,C_000988,Learning not to take the bait: a longitudinal examination of digital training methods and overlearning on phishing susceptibility,"Nguyen, Christopher and Jensen, Matthew and Day, Eric",10.1080/0960085X.2021.1931494
12,D_001018,Learning not to take the bait: a longitudinal examination of digital training methods and overlearning on phishing susceptibility,"Nguyen, Christopher and Jensen, Matthew and Day, Eric",10.1080/0960085X.2021.1931494
12,P_001268,Learning not to take the bait: a longitudinal examination of digital training methods and overlearning on phishing susceptibility,"Nguyen, Christopher and Jensen, Matthew and Day, Eric",10.1080/0960085X.2021.1931494
13,C_000962,Between scale and impact: member prototype ambiguity in digital transformation,"Jarvenpaa, Sirkka L. and Selander, Lisen",10.1080/0960085X.2023.2175474
13,D_001029,Between scale and impact: member prototype ambiguity in digital transformation,"Jarvenpaa, Sirkka L. and Selander, Lisen",10.1080/0960085X.2023.2175474
14,C_000973,Clinical research from information systems practice,"Baskerville, Richard and vom Brocke, Jan and Mathiassen, Lars and Scheepers, Helana",10.1080/0960085X.2022.2126030
14,D_001004,Clinical research from information systems practice,"Baskerville, Richard and vom Brocke, Jan and Mathiassen, Lars and Scheepers, Helana",10.1080/0960085X.2022.2126030
14,P_001282,Clinical research from information systems practice,"Baskerville, Richard and vom Brocke, Jan and Mathiassen, Lars and Scheepers, Helana",10.1080/0960085X.2022.2126030
15,C_000986,Rethinking time: ubichronic time and its impact on work,"Ivaturi, Koteswara and Chua, Cecil",10.1080/0960085X.2021.1966326
15,D_001020,Rethinking time: ubichronic time and its impact on work,"Ivaturi, Koteswara and Chua, Cecil",10.1080/0960085X.2021.1966326
15,P_001277,Rethinking time: ubichronic time and its impact on work,"Ivaturi, Koteswara and Chua, Cecil",10.1080/0960085X.2021.1966326
16,C_000974,Developing human/AI interactions for chat-based customer services: lessons learned from the Norwegian government,"Vassilakopoulou, Polyxeni and Haug, Arve and Salvesen, Leif Martin and Pappas, Ilias O.",10.1080/0960085X.2022.2096490
16,D_001011,Developing human/AI interactions for chat-based customer services: lessons learned from the Norwegian government,"Vassilakopoulou, Polyxeni and Haug, Arve and Salvesen, Leif Martin and Pappas, Ilias O.",10.1080/0960085X.2022.2096490
16,P_001286,Developing human/AI interactions for chat-based customer services: lessons learned from the Norwegian government,"Vassilakopoulou, Polyxeni and Haug, Arve and Salvesen, Leif Martin and Pappas, Ilias O.",10.1080/0960085X.2022.2096490
17,D_000993,The online community knowledge flows: distance and direction,"Mozaffar, Hajar and Panteli, Niki",10.1080/0960085X.2020.1866442
17,P_0000000405,The online community knowledge flows: distance and direction,"Mozaffar, Hajar and Panteli, Niki",10.1080/0960085X.2020.1866442
18,C_000276,"Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzerald, Gury",10.1057/PALGRAVE.EJIS.3000444
18,C_000278,"Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzerald, Gury",10.1057/PALGRAVE.EJIS.3000458
18,D_000105,"Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzerald, Gury",10.1057/PALGRAVE.EJIS.3000444
18,D_000106,"Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzerald, Gury",10.1057/PALGRAVE.EJIS.3000458
18,P_0000000531,"Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzerald, Gury",10.1057/PALGRAVE.EJIS
19,D_000977,Substitution and complementarity in the use of health information exchange and electronic medical records,"Politi, Liran and Codish, Shlomi and Sagy, Iftach and Fink, Lior",10.1080/0960085X.2020.1850185
19,P_0000000706,Substitution and complementarity in the use of health information exchange and electronic medical records,"Politi, Liran and Codish, Shlomi and Sagy, Iftach and Fink, Lior",10.1080/0960085X.2020.1850185
20,C_000144,Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing Grupo Santander's acquisition of Abbey (2004-2009),"Busquets, Javier",10.1057/EJIS.2015.3
20,C_000145,Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing Grupo Santander's acquisition of Abbey (2004-2009),"Busquets, Javier",10.1057/EJIS.2014.38
20,D_000153,Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing Grupo Santander's acquisition of Abbey (2004-2009),"Busquets, Javier",10.1057/EJIS.2014.38
20,D_000154,Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing Grupo Santander's acquisition of Abbey (2004-2009),"Busquets, Javier",10.1057/EJIS.2015.3
20,P_0000000402,Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing Grupo Santander's acquisition of Abbey (2004-2009),"Busquets, Javier",10.1057/EJIS.2014.38
20,P_0000000869,Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing Grupo Santander's acquisition of Abbey (2004-2009),"Busquets, Javier",10.1057/EJIS.2015.3
21,C_000276,"Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzerald, Gury",10.1057/PALGRAVE.EJIS.3000444
21,C_000278,"Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzerald, Gury",10.1057/PALGRAVE.EJIS.3000458
22,D_000972,Exploring firm strategy using financial reports: performance impact of inward and outward relatedness with digitisation,"Jabr, Wael and Zheng, Zhiqiang",10.1080/0960085X.2020.1829511
22,P_0000000723,Exploring firm strategy using financial reports: performance impact of inward and outward relatedness with digitisation,"Jabr, Wael and Zheng, Zhiqiang",10.1080/0960085X.2020.1829511
23,P_0000000574,EJIS$$127P,,
23,P_0000000704,EJIS$$127P,,
24,C_000995,Leapfrogging Healthcare Service Quality in Sub-Saharan Africa: The Utility-Trust Rationale of Mobile Payment Platforms,"Nwankpa, Joseph K. and Datta, Pratim",10.1080/0960085X.2021.1978339
24,D_000976,Leapfrogging Healthcare Service Quality in Sub-Saharan Africa: The Utility-Trust Rationale of Mobile Payment Platforms,"Nwankpa, Joseph K. and Datta, Pratim",10.1080/0960085X.2021.1978339
24,P_0000000176,Leapfrogging Healthcare Service Quality in Sub-Saharan Africa: The Utility-Trust Rationale of Mobile Payment Platforms,"Nwankpa, Joseph K. and Datta, Pratim",10.1080/0960085X.2021.1978339
25,C_000338,IT investments in developing countries - An assessment and practical guide,"Hecks, Richard",10.1057/PALGRAVE.EJIS.3000352
25,D_000031,IT investments in developing countries - An assessment and practical guide,"Hecks, Richard",10.1057/PALGRAVE.EJIS.3000352
25,P_0000000368,IT investments in developing countries - An assessment and practical guide,"Hecks, Richard",
26,P_0000000272,ejis$$049p,,
26,P_0000000285,ejis$$049p,,
27,C_000956,Theorising Algorithmic Justice,"Marjanovic, Olivera and Cecez-Kecmanovic, Dubravka and Vidgen, Richard",10.1080/0960085X.2021.1934130
27,D_000990,Theorising Algorithmic Justice,"Marjanovic, Olivera and Cecez-Kecmanovic, Dubravka and Vidgen, Richard",10.1080/0960085X.2021.1934130
27,P_001252,Theorising Algorithmic Justice,"Marjanovic, Olivera and Cecez-Kecmanovic, Dubravka and Vidgen, Richard",10.1080/0960085X.2021.1934130
28,C_000972,Patient health locus of control: the design of information systems for patient-provider interactions,"Wallace, James and Mullarkey, Matthew T and Hevner, Alan",10.1080/0960085X.2022.2088416
28,D_001005,Patient health locus of control: the design of information systems for patient-provider interactions,"Wallace, James and Mullarkey, Matthew T and Hevner, Alan",10.1080/0960085X.2022.2088416
28,P_001288,Patient health locus of control: the design of information systems for patient-provider interactions,"Wallace, James and Mullarkey, Matthew T and Hevner, Alan",10.1080/0960085X.2022.2088416
29,D_000971,Review credibility as a safeguard against fakery: the case of Amazon,"Jabr, Wael",10.1080/0960085X.2021.1886613
29,P_001267,Review credibility as a safeguard against fakery: the case of Amazon,"Jabr, Wael",10.1080/0960085X.2021.1886613
30,C_000996,Understanding dark side of artificial intelligence (AI) integrated business analytics: assessing firm’s operational inefficiency and competitiveness,"Rana, Nripendra P. and Chatterjee, Sheshadri and Dwivedi, Yogesh K. and Akter, Shahriar",10.1080/0960085X.2021.1955628
30,D_000998,Understanding dark side of artificial intelligence (AI) integrated business analytics: assessing firm’s operational inefficiency and competitiveness,"Rana, Nripendra P. and Chatterjee, Sheshadri and Dwivedi, Yogesh K. and Akter, Shahriar",10.1080/0960085X.2021.1955628
30,P_001251,Understanding dark side of artificial intelligence (AI) integrated business analytics: assessing firm’s operational inefficiency and competitiveness,"Rana, Nripendra P. and Chatterjee, Sheshadri and Dwivedi, Yogesh K. and Akter, Shahriar",10.1080/0960085X.2021.1955628
31,C_000997,Socially responsible design science in information systems for sustainable development: a critical research methodology,"Monson, Mike",10.1080/0960085X.2021.1946442
31,D_001013,Socially responsible design science in information systems for sustainable development: a critical research methodology,"Monson, Mike",10.1080/0960085X.2021.1946442
32,D_001023,Introducing a new genre for EJIS,"Myers, Michael D.",10.1080/0960085X.2023.2192562
32,P_001278,Introducing a new genre for EJIS,"Myers, Michael D.",10.1080/0960085X.2023.2192562
33,C_000966,Do extraordinary claims require extraordinary evidence? Differential effect of trust cues on helpfulness by review extremity: an empirical study using big data,"Choi, Hoon S.",10.1080/0960085X.2022.2104665
33,D_001070,Do extraordinary claims require extraordinary evidence? Differential effect of trust cues on helpfulness by review extremity: an empirical study using big data,"Choi, Hoon S.",10.1080/0960085X.2022.2104665
34,D_000973,In-betweenness in ICT4D research: critically examining the role of the researcher,"Jiménez, Andrea and Abbott, Pamela and Dasuki, Salihu Ibrahim",10.1080/0960085X.2021.1978340
34,P_0000000556,In-betweenness in ICT4D research: critically examining the role of the researcher,"Jiménez, Andrea and Abbott, Pamela and Dasuki, Salihu Ibrahim",10.1080/0960085X.2021.1978340
35,D_000974,Thinking responsibly about responsible AI and 'the dark side' of AI,"Mikalef, Patrick and Conboy, Kieran and Lundström, Jenny Eriksson and Popovic, Ales",10.1080/0960085X.2022.2026621
35,P_001247,Thinking responsibly about responsible AI and 'the dark side' of AI,"Mikalef, Patrick and Conboy, Kieran and Lundström, Jenny Eriksson and Popovic, Ales",10.1080/0960085X.2022.2026621
