cluster_id,id,title,author,doi
0,C_000917,The role of context in IT assimilation - A multi-method study of a SaaS platform in the US nonprofit sector,"Wright, Ryan T. and Roberts, Nicholas and Wilson, David",10.1057/S41303-017-0053-2
0,D_000807,The role of context in IT assimilation - A multi-method study of a SaaS platform in the US nonprofit sector,"Wright, Ryan T. and Roberts, Nicholas and Wilson, David",10.1057/S41303-017-0053-2
0,P_0000000261,The role of context in IT assimilation - A multi-method study of a SaaS platform in the US nonprofit sector,"Wright, Ryan T. and Roberts, Nicholas and Wilson, David",10.1057/S41303-017-0053-2
1,C_000099,"Dressage, control, and enterprise systems: the case of NASA's Full Cost initiative","Berente, Nicholas and Gal, Uri and Yoo, Youngjin",10.1057/EJIS.2010.27
1,D_000487,"Dressage, control, and enterprise systems: the case of NASA's Full Cost initiative","Berente, Nicholas and Gal, Uri and Yoo, Youngjin",10.1057/EJIS.2010.27
1,P_0000000741,"Dressage, control, and enterprise systems: the case of NASA's Full Cost initiative","Berente, Nicholas and Gal, Uri and Yoo, Youngjin",10.1057/EJIS.2010.27
2,C_000553,The role of boundaries in knowledge processes,"Merali, Y",10.1057/PALGRAVE.EJIS.3000413
2,D_000095,The role of boundaries in knowledge processes,"Merali, Y",10.1057/PALGRAVE.EJIS.3000413
2,P_0000000318,The role of boundaries in knowledge processes,"Merali, Y",10.1057/PALGRAVE/EJIS/3000413
3,C_000718,Combining the rational and relational perspectives of electronic trading,"Redondo, Eduardo and Daniel, Elizabeth and Ward, John",10.1057/EJIS.2008.61
3,D_000448,Combining the rational and relational perspectives of electronic trading,"Redondo, Eduardo and Daniel, Elizabeth and Ward, John",10.1057/EJIS.2008.61
3,P_0000000562,Combining the rational and relational perspectives of electronic trading,"Redondo, Eduardo and Daniel, Elizabeth and Ward, John",10.1057/EJIS.2008.61
4,C_000376,When is an information infrastructure? Investigating the emergence of public sector information infrastructures,"Iannacci, Federico",10.1057/EJIS.2010.3
4,D_000472,When is an information infrastructure? Investigating the emergence of public sector information infrastructures,"Iannacci, Federico",10.1057/EJIS.2010.3
4,P_0000001053,When is an information infrastructure? Investigating the emergence of public sector information infrastructures,"Iannacci, Federico",10.1057/EJIS.2010.3
5,C_000918,Toward a better understanding of behavioral intention and system usage constructs,"Wu, Jiming and Du, Hongwei",10.1057/EJIS.2012.15
5,D_000588,Toward a better understanding of behavioral intention and system usage constructs,"Wu, Jiming and Du, Hongwei",10.1057/EJIS.2012.15
5,P_0000001089,Toward a better understanding of behavioral intention and system usage constructs,"Wu, Jiming and Du, Hongwei",10.1057/EJIS.2012.15
6,C_000230,A portrait of a scientist,"De Marco, Marco",10.1057/PALGRAVE.EJIS.3000553
6,D_000219,A portrait of a scientist,"De Marco, Marco",10.1057/PALGRAVE.EJIS.3000553
6,P_0000001065,A portrait of a scientist,"De Marco, Marco",10.1057/PALGRAVE.EJIS.3000553
7,C_000416,Control patterns in a health-care network,"Kartseva, Vera and Hulstijn, Joris and Gordijn, Jaap and Tan, Yao-Hua",10.1057/EJIS.2010.13
7,D_000490,Control patterns in a health-care network,"Kartseva, Vera and Hulstijn, Joris and Gordijn, Jaap and Tan, Yao-Hua",10.1057/EJIS.2010.13
7,P_0000000408,Control patterns in a health-care network,"Kartseva, Vera and Hulstijn, Joris and Gordijn, Jaap and Tan, Yao-Hua",10.1057/EJIS.2010.13
8,C_000481,Development of a measure for the information technology infrastructure construct,"Lewis, Bruce R and Byrd, Terry Anthony",10.1057/PALGRAVE.EJIS.3000449
8,D_000111,Development of a measure for the information technology infrastructure construct,"Lewis, Bruce R and Byrd, Terry Anthony",10.1057/PALGRAVE.EJIS.3000449
8,P_0000000105,Development of a measure for the information technology infrastructure construct,"Lewis, Bruce R and Byrd, Terry Anthony",10.1057/PALGRAVE.EJIS.3000449
9,C_000183,Examining the antecedents of user gratification and its effects on individuals' social network services usage - the moderating role of habit,"Chiu, Chao-Min and Huang, Hsin-Yi",10.1057/EJIS.2014.9
9,D_000729,Examining the antecedents of user gratification and its effects on individuals' social network services usage - the moderating role of habit,"Chiu, Chao-Min and Huang, Hsin-Yi",10.1057/EJIS.2014.9
9,P_0000000686,Examining the antecedents of user gratification and its effects on individuals' social network services usage - the moderating role of habit,"Chiu, Chao-Min and Huang, Hsin-Yi",10.1057/EJIS.2014.9
10,C_000663,The only duty we owe to history is to rewrite it - reflections on Bob Galliers' article ‘A discipline for a stage?',"Paul, Ray J",10.1057/EJIS.2008.47
10,D_000383,The only duty we owe to history is to rewrite it - reflections on Bob Galliers' article ‘A discipline for a stage?',"Paul, Ray J",10.1057/EJIS.2008.47
10,P_0000000084,The only duty we owe to history is to rewrite it - reflections on Bob Galliers' article ‘A discipline for a stage?',"Paul, Ray J",10.1057/EJIS.2008.47
11,C_000221,The future of inter-organisational system linkages - findings of an international Delphi study,"Daniel, Elizabeth M and White, Andrew",10.1057/PALGRAVE.EJIS.3000529
11,D_000187,The future of inter-organisational system linkages - findings of an international Delphi study,"Daniel, Elizabeth M and White, Andrew",10.1057/PALGRAVE.EJIS.3000529
11,P_0000000784,The future of inter-organisational system linkages - findings of an international Delphi study,"Daniel, Elizabeth M and White, Andrew",10.1057/PALGRAVE.EJIS.3000529
12,C_000704,Developing an integration architecture for process portals,"Puschmann, Thomas and Alt, Rainer",10.1057/PALGRAVE.EJIS.3000527
12,D_000223,Developing an integration architecture for process portals,"Puschmann, Thomas and Alt, Rainer",10.1057/PALGRAVE.EJIS.3000527
12,P_0000000017,Developing an integration architecture for process portals,"Puschmann, Thomas and Alt, Rainer",10.1057/PALGRAVE.EJIS.3000527
13,C_000358,Gamifying knowledge sharing in humanitarian organisations - a design science journey,"Holzer, Adrian and Kocher, Bruno and Bendahan, Samuel and Vonèche Cardia, Isabelle and Mazuze, Jorge and Gillet, Denis",10.1080/0960085X.2020.1718009
13,D_000900,Gamifying knowledge sharing in humanitarian organisations - a design science journey,"Holzer, Adrian and Kocher, Bruno and Bendahan, Samuel and Vonèche Cardia, Isabelle and Mazuze, Jorge and Gillet, Denis",10.1080/0960085X.2020.1718009
13,P_0000000296,Gamifying knowledge sharing in humanitarian organisations - a design science journey,"Holzer, Adrian and Kocher, Bruno and Bendahan, Samuel and Vonèche Cardia, Isabelle and Mazuze, Jorge and Gillet, Denis",10.1080/0960085X.2020.1718009
14,C_000469,Mobile information systems and organisational control - beyond the panopticon metaphor?,"Leclercq-Vandelannoitte, Aurélie and Isaac, Henri and Kalika, Michel",10.1057/EJIS.2014.11
14,D_000664,Mobile information systems and organisational control - beyond the panopticon metaphor?,"Leclercq-Vandelannoitte, Aurélie and Isaac, Henri and Kalika, Michel",10.1057/EJIS.2014.11
14,P_0000000887,Mobile information systems and organisational control - beyond the panopticon metaphor?,"Leclercq-Vandelannoitte, Aurélie and Isaac, Henri and Kalika, Michel",10.1057/EJIS.2014.11
15,C_000308,IT value creation in public sector - how IT-enabled capabilities mitigate tradeoffs in public organisations,"Goh, Jie Mein and Arenas, Alvaro E.",10.1080/0960085X.2019.1708821
15,D_000899,IT value creation in public sector - how IT-enabled capabilities mitigate tradeoffs in public organisations,"Goh, Jie Mein and Arenas, Alvaro E.",10.1080/0960085X.2019.1708821
15,P_0000000526,IT value creation in public sector - how IT-enabled capabilities mitigate tradeoffs in public organisations,"Goh, Jie Mein and Arenas, Alvaro E.",10.1080/0960085X.2019.1708821
16,C_000834,"A framework for stakeholder oriented mindfulness - case of RFID implementation at YCH Group, Singapore","Teo, Thompson S H and Srivastava, Shirish C and Ranganathan, Chandrasekaran and Loo, James W K",10.1057/EJIS.2010.58
16,D_000552,"A framework for stakeholder oriented mindfulness - case of RFID implementation at YCH Group, Singapore","Teo, Thompson S H and Srivastava, Shirish C and Ranganathan, Chandrasekaran and Loo, James W K",10.1057/EJIS.2010.58
16,P_0000000376,"A framework for stakeholder oriented mindfulness - case of RFID implementation at YCH Group, Singapore","Teo, Thompson S H and Srivastava, Shirish C and Ranganathan, Chandrasekaran and Loo, James W K",10.1057/EJIS.2010.58
17,C_000781,Ingredients for successful badges - evidence from a field experiment in bike commuting,"Sheffler, Zachary J. and Liu, De and Curley, Shawn P.",10.1080/0960085X.2020.1808539
17,D_000893,Ingredients for successful badges - evidence from a field experiment in bike commuting,"Sheffler, Zachary J. and Liu, De and Curley, Shawn P.",10.1080/0960085X.2020.1808539
17,P_0000000015,Ingredients for successful badges - evidence from a field experiment in bike commuting,"Sheffler, Zachary J. and Liu, De and Curley, Shawn P.",10.1080/0960085X.2020.1808539
18,C_000108,"Special issue on ""interpretive"" approaches to information systems and computing","Bhattacharjee, Anjana and Paul, Ray J",10.1057/PALGRAVE.EJIS.3000507
18,D_000141,"Special issue on ""interpretive"" approaches to information systems and computing","Bhattacharjee, Anjana and Paul, Ray J",10.1057/PALGRAVE.EJIS.3000507
18,P_0000000518,"Special issue on ""interpretive"" approaches to information systems and computing","Bhattacharjee, Anjana and Paul, Ray J",10.1057/PALGRAVE.EJIS.3000507
19,C_000107,"""Interpretive"" mobility, IS and computing","Bhattacharjee, Anjana",10.1057/PALGRAVE.EJIS.3000508
19,D_000162,"""Interpretive"" mobility, IS and computing","Bhattacharjee, Anjana",10.1057/PALGRAVE.EJIS.3000508
19,P_0000001037,"""Interpretive"" mobility, IS and computing","Bhattacharjee, Anjana",10.1057/PALGRAVE.EJIS.3000508
20,C_000240,A re-conceptualization of the interpretive flexibility of information technologies - redressing the balance between the social and the technical,"Doherty, Neil F and Coombs, Crispin R and Loan-Clarke, John",10.1057/PALGRAVE.EJIS.3000653
20,D_000243,A re-conceptualization of the interpretive flexibility of information technologies - redressing the balance between the social and the technical,"Doherty, Neil F and Coombs, Crispin R and Loan-Clarke, John",10.1057/PALGRAVE.EJIS.3000653
20,P_0000000441,A re-conceptualization of the interpretive flexibility of information technologies - redressing the balance between the social and the technical,"Doherty, Neil F and Coombs, Crispin R and Loan-Clarke, John",10.1057/PALGRAVE.EJIS.3000653
21,C_000414,Combining method engineering with activity theory - theoretical grounding of the method component concept,"Karlsson, Fredrik and Wistrand, Kai",10.1057/PALGRAVE.EJIS.3000596
21,D_000245,Combining method engineering with activity theory - theoretical grounding of the method component concept,"Karlsson, Fredrik and Wistrand, Kai",10.1057/PALGRAVE.EJIS.3000596
21,P_0000000909,Combining method engineering with activity theory - theoretical grounding of the method component concept,"Karlsson, Fredrik and Wistrand, Kai",10.1057/PALGRAVE.EJIS.3000596
22,C_000566,Configuring peer-to-peer software - an empirical study of how users react to the regulatory features of software,"Mlcakova, Adela and Whitley, Edgar A",10.1057/PALGRAVE.EJIS.3000493
22,D_000166,Configuring peer-to-peer software - an empirical study of how users react to the regulatory features of software,"Mlcakova, Adela and Whitley, Edgar A",10.1057/PALGRAVE.EJIS.3000493
22,P_0000000250,Configuring peer-to-peer software - an empirical study of how users react to the regulatory features of software,"Mlcakova, Adela and Whitley, Edgar A",10.1057/PALGRAVE.EJIS.3000493
23,C_000435,The mediating role of psychological contract breach in IS outsourcing - inter-firm governance perspective,"Jin Kim, Hyung and Shin, Bongsik and Lee, Hogeun",10.1057/EJIS.2012.41
23,D_000634,The mediating role of psychological contract breach in IS outsourcing - inter-firm governance perspective,"Jin Kim, Hyung and Shin, Bongsik and Lee, Hogeun",10.1057/EJIS.2012.41
23,P_0000000772,The mediating role of psychological contract breach in IS outsourcing - inter-firm governance perspective,"Jin Kim, Hyung and Shin, Bongsik and Lee, Hogeun",10.1057/EJIS.2012.41
24,C_000667,Focusing the research agenda on burnout in IT - social representations of burnout in the profession,"Pawlowski, Suzanne D and Kaganer, Evgeny A and Cater, John J",10.1057/PALGRAVE.EJIS.3000699
24,D_000322,Focusing the research agenda on burnout in IT - social representations of burnout in the profession,"Pawlowski, Suzanne D and Kaganer, Evgeny A and Cater, John J",10.1057/PALGRAVE.EJIS.3000699
24,P_0000000195,Focusing the research agenda on burnout in IT - social representations of burnout in the profession,"Pawlowski, Suzanne D and Kaganer, Evgeny A and Cater, John J",10.1057/PALGRAVE.EJIS.3000699
25,C_000821,When IT capabilities are not scale-free in merger and acquisition integrations - how do capital markets react to IT capability asymmetries between acquirer and target?,"Tanriverdi, Hüseyin and Bülent Uysal, Vahap",10.1057/EJIS.2013.22
25,D_000737,When IT capabilities are not scale-free in merger and acquisition integrations - how do capital markets react to IT capability asymmetries between acquirer and target?,"Tanriverdi, Hüseyin and Bülent Uysal, Vahap",10.1057/EJIS.2013.22
25,P_0000000533,When IT capabilities are not scale-free in merger and acquisition integrations - how do capital markets react to IT capability asymmetries between acquirer and target?,"Tanriverdi, Hüseyin and Bülent Uysal, Vahap",10.1057/EJIS.2013.22
26,C_000639,IT employment prospects - beyond the dotcom bubble,"Panko, Raymond R",10.1057/EJIS.2008.19
26,D_000411,IT employment prospects - beyond the dotcom bubble,"Panko, Raymond R",10.1057/EJIS.2008.19
26,P_0000000651,IT employment prospects - beyond the dotcom bubble,"Panko, Raymond R",10.1057/EJIS.2008.19
27,C_000928,The impact of IT-business strategic alignment on firm performance in a developing country setting: exploring moderating roles of environmental uncertainty and strategic orientation,"Yayla, Ali Alper and Hu, Qing",10.1057/EJIS.2011.52
27,D_000616,The impact of IT-business strategic alignment on firm performance in a developing country setting: exploring moderating roles of environmental uncertainty and strategic orientation,"Yayla, Ali Alper and Hu, Qing",10.1057/EJIS.2011.52
27,P_0000001185,The impact of IT-business strategic alignment on firm performance in a developing country setting: exploring moderating roles of environmental uncertainty and strategic orientation,"Yayla, Ali Alper and Hu, Qing",10.1057/EJIS.2011.52
28,C_000332,Flexible generification: ICT standardization strategies and service innovation in health care,"Hanseth, Ole and Bygstad, Bendik",10.1057/EJIS.2015.1
28,D_000732,Flexible generification: ICT standardization strategies and service innovation in health care,"Hanseth, Ole and Bygstad, Bendik",10.1057/EJIS.2015.1
28,P_0000000382,Flexible generification: ICT standardization strategies and service innovation in health care,"Hanseth, Ole and Bygstad, Bendik",10.1057/EJIS.2015.1
29,C_000792,Understanding Web home page perception,"Singh, Surendra N and Dalal, Nikunj and Spears, Nancy",10.1057/PALGRAVE.EJIS.3000525
29,D_000226,Understanding Web home page perception,"Singh, Surendra N and Dalal, Nikunj and Spears, Nancy",10.1057/PALGRAVE.EJIS.3000525
29,P_0000000513,Understanding Web home page perception,"Singh, Surendra N and Dalal, Nikunj and Spears, Nancy",10.1057/PALGRAVE.EJIS.3000525
30,C_000739,"Being critical is good, but better with philosophy! From digital transformation and values to the future of IS research","Rowe, Frantz",10.1080/0960085X.2018.1471789
30,D_000841,"Being critical is good, but better with philosophy! From digital transformation and values to the future of IS research","Rowe, Frantz",10.1080/0960085X.2018.1471789
30,P_0000000850,"Being critical is good, but better with philosophy! From digital transformation and values to the future of IS research","Rowe, Frantz",10.1080/0960085X.2018.1471789
31,C_000136,The IT value quest - How to capture the business value of IT-based infrastructure,"Brown, A",10.1057/PALGRAVE.EJIS.3000360
31,D_000021,The IT value quest - How to capture the business value of IT-based infrastructure,"Brown, A",10.1057/PALGRAVE.EJIS.3000360
32,C_000539,The use of ethnography and grounded theory in the development of a management information system,"Mattarelli, Elisa and Bertolotti, Fabiola and Macrì, Diego Maria",10.1057/EJIS.2011.34
32,D_000626,The use of ethnography and grounded theory in the development of a management information system,"Mattarelli, Elisa and Bertolotti, Fabiola and Macrì, Diego Maria",10.1057/EJIS.2011.34
32,P_0000000091,The use of ethnography and grounded theory in the development of a management information system,"Mattarelli, Elisa and Bertolotti, Fabiola and Macrì, Diego Maria",10.1057/EJIS.2011.34
33,C_000257,Claudio Ciborra - convenor of information systems October 2000 to February 2005,"Emery, Sarah",10.1057/PALGRAVE.EJIS.3000571
33,D_000007,Claudio Ciborra - convenor of information systems October 2000 to February 2005,"Emery, Sarah",10.1057/PALGRAVE.EJIS.3000571
33,P_0000000317,Claudio Ciborra - convenor of information systems October 2000 to February 2005,"Emery, Sarah",10.1057/PALGRAVE.EJIS.3000571
34,C_000320,Blending bureaucratic and collaborative management styles to achieve control ambidexterity in IS projects,"Gregory, Robert Wayne and Keil, Mark",10.1057/EJIS.2013.3
34,D_000689,Blending bureaucratic and collaborative management styles to achieve control ambidexterity in IS projects,"Gregory, Robert Wayne and Keil, Mark",10.1057/EJIS.2013.3
