ID,ENTRYTYPE,file,doi,grobid-version,journal,title,volume,number,author,year,note
0000000003,article,data/pdfs/16_6/LinHuangBurn2007.pdf,10.1057/PALGRAVE.EJIS.3000724,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Realising B2B e-commerce benefits: the link with IT maturity, evaluation practices, and B2BEC adoption readiness",16,6,"Lin, Chad and Huang, Yu-An and Burn, Janice",,
0000000004,article,data/pdfs/27_1/Agerfalk2018.pdf,10.1080/0960085X.2018.1429370,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,27,1,,,
0000000005,article,data/pdfs/12_2/CaldeiraWard2003.pdf,10.1057/PALGRAVE.EJIS.3000454,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Using resource-based theory to interpret the successful adoption and use of information systems and technology in manufacturing small and medium-sized enterprises,12,2,"´rio, Ma and Caldeira, M. and Ward, John M",,
0000000006,article,data/pdfs/22_6/Recker2013.pdf,10.1057/EJIS.2012.50,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Empirical investigation of the usefulness of Gateway constructs in process models,22,6,"Recker, Jan",2012,
0000000007,article,data/pdfs/13_4/DoukidisMylonopoulosPouloudiEtAl2004.pdf,10.1057/PALGRAVE.EJIS.3000498,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Social and Economic Transformation in the Digital Era,13,4,"Doukidis, G. and Mylonopoulos, N. and Pouloudi, N. and Preston, Hugh",,Book review
0000000008,article,data/pdfs/23_4/SharmaMithasKankanhalli2014.pdf,10.1057/EJIS.2014.17,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Transforming decision-making processes: a research agenda for understanding the impact of business analytics on organisations,23,4,"Sharma, Rajeev and Mithas, Sunil and Kankanhalli, Atreyi",,
0000000009,article,data/pdfs/23_3/Rowe2014.pdf,10.1057/EJIS.2014.7,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"What literature review is not: diversity, boundaries and recommendations",23,3,"Rowe, Frantz",,
0000000010,article,data/pdfs/7_2/GlassonVogelBotsEtAl1998.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Book reviews Information Systems and Technology in the International Office of the Future,7,2,"Glasson, Bernard and Vogel, Doug and Bots, Pieter and Nunamaker, Jay",,Book review
0000000011,article,data/pdfs/16_5/LightSawyer2007.pdf,10.1057/PALGRAVE.EJIS.3000706,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Locating packaged software in information systems research,16,5,"Light, Ben and Sawyer, Steve",,
0000000012,article,data/pdfs/28_6/CeciMasiniPrencipe2019.pdf,10.1080/0960085X.2019.1627488,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Impact of IT offerings strategies and IT integration capability on IT vendor value creation,28,6,"Ceci, Federica and Masini, Andrea and Prencipe, Andrea and Rowe, Frantz and Benitez, Jose",,
0000000013,article,data/pdfs/13_3/IntronaIlharco2004.pdf,10.1057/PALGRAVE.EJIS.3000503,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The ontological screening of contemporary life: a phenomenological analysis of screens,13,3,"Introna, Lucas D and Ilharco, Fernando M",,
0000000014,article,data/pdfs/25_2/Burgess2016.pdf,10.1057/EJIS.2015.4,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Representing small business web presence content: the web presence pyramid model,25,2,"Burgess, Stephen",2015,
0000000015,article,data/pdfs/29_6/ShefflerLiuCurley2020.pdf,10.1080/0960085X.2020.1808539,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Ingredients for successful badges: evidence from a field experiment in bike commuting,29,6,"Sheffler, Zachary J and Liu, De and Curley, Shawn P and Lowry, Paul Benjamin and Petter, Stacie and Leimeister, Jan Marco",,
0000000016,article,data/pdfs/23_2/KumarStylianou2014.pdf,10.1057/EJIS.2012.53,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A process model for analyzing and managing flexibility in information systems,23,2,"Kumar, Ram L and Stylianou, Antonis C",2013,
0000000017,article,data/pdfs/14_2/PuschmannAlt2005.pdf,10.1057/PALGRAVE.EJIS.3000527,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Developing an integration architecture for process portals,14,2,"Puschmann, Thomas and Alt, Rainer",,
0000000018,article,data/pdfs/18_2/HerathRao2009.pdf,10.1057/EJIS.2009.6,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Protection motivation and deterrence: a framework for security policy compliance in organisations,18,2,"Herath, Tejaswini and Raghav Rao, H. and Rao, H. Raghav",2009,
