cluster_id,id,title,author,doi
0,P_0000000081,EJIS$$121P,,
0,P_0000000311,EJIS$$121P,,
0,P_0000000359,EJIS$$121P,,
0,P_0000000676,EJIS$$121P,,
1,P_0000000574,EJIS$$127P,,
1,P_0000000704,EJIS$$127P,,
2,P_0000000272,ejis$$049p,,
2,P_0000000285,ejis$$049p,,
3,P_0000000397,Information system development activities and inquiring systems: an integrating framework,"Carugati, Andrea",10.1057/EJIS.2008.5
3,P_0000000465,Information system development activities and inquiring systems: an integrating framework,"Carugati, Andrea",10.1057/EJIS.2008.23
