ID,orig_ID,orig_source,number,volume,title,journal,author,grobid-version,doi,file,ENTRYTYPE,year,note
P_0000000003,0000000003,pdf,6,16,"Realising B2B e-commerce benefits: the link with IT maturity, evaluation practices, and B2BEC adoption readiness",European Journal of Information Systems,"Lin, Chad and Huang, Yu-An and Burn, Janice",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000724,data/pdfs/16_6/LinHuangBurn2007.pdf,article,,
P_0000000004,0000000004,pdf,1,27,,European Journal of Information Systems,,lfoppiano/grobid:0.8.1,10.1080/0960085X.2018.1429370,data/pdfs/27_1/Agerfalk2018.pdf,article,,
P_0000000005,0000000005,pdf,2,12,Using resource-based theory to interpret the successful adoption and use of information systems and technology in manufacturing small and medium-sized enterprises,European Journal of Information Systems,"´rio, Ma and Caldeira, M. and Ward, John M",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000454,data/pdfs/12_2/CaldeiraWard2003.pdf,article,,
P_0000000006,0000000006,pdf,6,22,Empirical investigation of the usefulness of Gateway constructs in process models,European Journal of Information Systems,"Recker, Jan",lfoppiano/grobid:0.8.1,10.1057/EJIS.2012.50,data/pdfs/22_6/Recker2013.pdf,article,2012,
P_0000000007,0000000007,pdf,4,13,Social and Economic Transformation in the Digital Era,European Journal of Information Systems,"Doukidis, G. and Mylonopoulos, N. and Pouloudi, N. and Preston, Hugh",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000498,data/pdfs/13_4/DoukidisMylonopoulosPouloudiEtAl2004.pdf,article,,Book review
P_0000000008,0000000008,pdf,4,23,Transforming decision-making processes: a research agenda for understanding the impact of business analytics on organisations,European Journal of Information Systems,"Sharma, Rajeev and Mithas, Sunil and Kankanhalli, Atreyi",lfoppiano/grobid:0.8.1,10.1057/EJIS.2014.17,data/pdfs/23_4/SharmaMithasKankanhalli2014.pdf,article,,
P_0000000009,0000000009,pdf,3,23,"What literature review is not: diversity, boundaries and recommendations",European Journal of Information Systems,"Rowe, Frantz",lfoppiano/grobid:0.8.1,10.1057/EJIS.2014.7,data/pdfs/23_3/Rowe2014.pdf,article,,
P_0000000010,0000000010,pdf,2,7,Book reviews Information Systems and Technology in the International Office of the Future,European Journal of Information Systems,"Glasson, Bernard and Vogel, Doug and Bots, Pieter and Nunamaker, Jay",lfoppiano/grobid:0.8.1,,data/pdfs/7_2/GlassonVogelBotsEtAl1998.pdf,article,,Book review
P_0000000011,0000000011,pdf,5,16,Locating packaged software in information systems research,European Journal of Information Systems,"Light, Ben and Sawyer, Steve",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000706,data/pdfs/16_5/LightSawyer2007.pdf,article,,
P_0000000012,0000000012,pdf,6,28,Impact of IT offerings strategies and IT integration capability on IT vendor value creation,European Journal of Information Systems,"Ceci, Federica and Masini, Andrea and Prencipe, Andrea and Rowe, Frantz and Benitez, Jose",lfoppiano/grobid:0.8.1,10.1080/0960085X.2019.1627488,data/pdfs/28_6/CeciMasiniPrencipe2019.pdf,article,,
P_0000000013,0000000013,pdf,3,13,The ontological screening of contemporary life: a phenomenological analysis of screens,European Journal of Information Systems,"Introna, Lucas D and Ilharco, Fernando M",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000503,data/pdfs/13_3/IntronaIlharco2004.pdf,article,,
P_0000000014,0000000014,pdf,2,25,Representing small business web presence content: the web presence pyramid model,European Journal of Information Systems,"Burgess, Stephen",lfoppiano/grobid:0.8.1,10.1057/EJIS.2015.4,data/pdfs/25_2/Burgess2016.pdf,article,2015,
P_0000000015,0000000015,pdf,6,29,Ingredients for successful badges: evidence from a field experiment in bike commuting,European Journal of Information Systems,"Sheffler, Zachary J and Liu, De and Curley, Shawn P and Lowry, Paul Benjamin and Petter, Stacie and Leimeister, Jan Marco",lfoppiano/grobid:0.8.1,10.1080/0960085X.2020.1808539,data/pdfs/29_6/ShefflerLiuCurley2020.pdf,article,,
P_0000000016,0000000016,pdf,2,23,A process model for analyzing and managing flexibility in information systems,European Journal of Information Systems,"Kumar, Ram L and Stylianou, Antonis C",lfoppiano/grobid:0.8.1,10.1057/EJIS.2012.53,data/pdfs/23_2/KumarStylianou2014.pdf,article,2013,
P_0000000017,0000000017,pdf,2,14,Developing an integration architecture for process portals,European Journal of Information Systems,"Puschmann, Thomas and Alt, Rainer",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000527,data/pdfs/14_2/PuschmannAlt2005.pdf,article,,
P_0000000018,0000000018,pdf,2,18,Protection motivation and deterrence: a framework for security policy compliance in organisations,European Journal of Information Systems,"Herath, Tejaswini and Raghav Rao, H. and Rao, H. Raghav",lfoppiano/grobid:0.8.1,10.1057/EJIS.2009.6,data/pdfs/18_2/HerathRao2009.pdf,article,2009,
P_0000000019,0000000019,pdf,1,3,A research programme for object-orientation,European Journal of Information Systems,"Bjornestad, S.",lfoppiano/grobid:0.8.1,,data/pdfs/3_1/Bjornestad_A Research Programm.pdf,article,,
P_0000000020,0000000020,pdf,3,3,EDI in Germany and the UK: strategic and operational use,European Journal of Information Systems,"Reekers, N. and Smithson, S.",lfoppiano/grobid:0.8.1,,data/pdfs/3_3/ReekersSmithson1994.pdf,article,,
P_0000000021,0000000021,pdf,4,17,Re-examining the causal structure of information technology impact research,European Journal of Information Systems,"Pare, Guy and Bourdeau, Simon and Marsan, Josianne and Nach, Hamid and Shuraida, Shadi",lfoppiano/grobid:0.8.1,10.1057/EJIS.2008.34,data/pdfs/17_4/PareBourdeauMarsanEtAl2008.pdf,article,,
P_0000000022,0000000022,pdf,1,14,"Social ties, knowledge sharing and successful collaboration in globally distributed system development projects",European Journal of Information Systems,"Kotlarsky, Julia and Oshri, Ilan",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000520,data/pdfs/14_1/KotlarskyOshri2005.pdf,article,,
P_0000000023,0000000023,pdf,5,14,A brief glimpse of Claudio,European Journal of Information Systems,"Boucas, Dimitris",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000568,data/pdfs/14_5/Boucas2005.pdf,article,,
P_0000000024,0000000024,pdf,3,15,Team adaptation to electronic communication media: evidence of compensatory adaptation in new product development teams,European Journal of Information Systems,"Kock, Ned and Lynn, Gary S and Dow, Kevin E and Akgu, Ali E",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000612,data/pdfs/15_3/KockLynnDowEtAl2006.pdf,article,,
