journal,subset,tool,time,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
jmis,pdf_only,bib-dedupe,2026-01-22 18:51,0,18,0,1603,0.0111,0.9889,0.0000,0.0000,0.0000,0:00:03
jmis,baseline,bib-dedupe,2026-01-22 18:56,1532,73,20,1653,0.0423,0.9577,0.9871,0.9545,0.9705,0:00:12
jmis,mixed,bib-dedupe,2026-01-22 18:51,2969,122,153,1655,0.0687,0.9313,0.9510,0.9605,0.9557,0:00:16
jmis,pdf_only,bib-dedupe,2026-01-22 18:51,0,18,0,1603,0.0111,0.9889,0.0000,0.0000,0.0000,0:00:03
jmis,pdf_only,asreview,2026-01-22 18:51,0,23,0,1598,0.0142,0.9858,0.0000,0.0000,0.0000,0:00:00
jmis,pdf_only,buhos,2026-01-22 18:51,0,18,0,1603,0.0111,0.9889,0.0000,0.0000,0.0000,0:00:04
jmis,baseline,bib-dedupe,2026-01-22 18:56,1532,73,20,1653,0.0423,0.9577,0.9871,0.9545,0.9705,0:00:12
jmis,baseline,asreview,2026-01-22 18:56,1531,203,21,1523,0.1176,0.8824,0.9865,0.8829,0.9318,0:00:00
jmis,baseline,buhos,2026-01-22 19:00,388,65,1164,1661,0.0377,0.9623,0.2500,0.8565,0.3870,0:03:41
jmis,mixed,bib-dedupe,2026-01-22 18:51,2969,122,153,1655,0.0687,0.9313,0.9510,0.9605,0.9557,0:00:16
jmis,mixed,asreview,2026-01-22 18:51,2915,189,207,1588,0.1064,0.8936,0.9337,0.9391,0.9364,0:00:00
jmis,mixed,buhos,2026-01-22 18:55,417,40,2705,1737,0.0225,0.9775,0.1336,0.9125,0.2330,0:03:40

mis,pdf_only,bib-dedupe,2026-01-22 18:48,0,11,1,1931,0.0057,0.9943,0.0000,0.0000,0.0000,0:00:04
mis,baseline,bib-dedupe,2026-01-22 18:25,1579,5,10,2106,0.0024,0.9976,0.9937,0.9968,0.9953,0:00:11
mis,mixed,bib-dedupe,2026-01-22 18:42,3351,69,106,2117,0.0316,0.9684,0.9693,0.9798,0.9746,0:00:15
mis,pdf_only,bib-dedupe,2026-01-22 18:48,0,11,1,1931,0.0057,0.9943,0.0000,0.0000,0.0000,0:00:04
mis,pdf_only,asreview,2026-01-22 18:48,0,46,1,1896,0.0237,0.9763,0.0000,0.0000,0.0000,0:00:00
mis,pdf_only,buhos,2026-01-22 18:48,0,11,1,1931,0.0057,0.9943,0.0000,0.0000,0.0000,0:00:04
mis,baseline,bib-dedupe,2026-01-22 18:25,1579,5,10,2106,0.0024,0.9976,0.9937,0.9968,0.9953,0:00:11
mis,baseline,asreview,2026-01-22 18:25,231,202,1358,1909,0.0957,0.9043,0.1454,0.5335,0.2285,0:00:00
mis,baseline,buhos,2026-01-22 18:29,229,10,1360,2101,0.0047,0.9953,0.1441,0.9582,0.2505,0:03:35
mis,mixed,bib-dedupe,2026-01-22 18:42,3351,69,106,2117,0.0316,0.9684,0.9693,0.9798,0.9746,0:00:15
mis,mixed,asreview,2026-01-22 18:42,1094,171,2363,2015,0.0782,0.9218,0.3165,0.8648,0.4634,0:00:00
mis,mixed,buhos,2026-01-22 18:46,242,0,3215,2186,0.0000,1.0000,0.0700,1.0000,0.1308,0:03:33

jit,pdf_only,bib-dedupe,2026-01-23 11:28,0,13,0,1185,0.0109,0.9891,0.0000,0.0000,0.0000,0:00:03
jit,baseline,bib-dedupe,2026-01-23 11:23,1060,1158,2,1364,0.4592,0.5408,0.9981,0.4779,0.6463,0:00:15
jit,mixed,bib-dedupe,2026-01-23 11:32,1924,1375,69,1414,0.4930,0.5070,0.9654,0.5832,0.7271,0:00:17
jit,pdf_only,bib-dedupe,2026-01-23 11:28,0,13,0,1185,0.0109,0.9891,0.0000,0.0000,0.0000,0:00:03
jit,pdf_only,asreview,2026-01-23 11:28,0,45,0,1153,0.0376,0.9624,0.0000,0.0000,0.0000,0:00:00
jit,pdf_only,buhos,2026-01-23 11:28,0,1,0,1197,0.0008,0.9992,0.0000,0.0000,0.0000,0:00:02
jit,baseline,bib-dedupe,2026-01-23 11:23,1060,1158,2,1364,0.4592,0.5408,0.9981,0.4779,0.6463,0:00:15
jit,baseline,asreview,2026-01-23 11:23,1059,931,3,1591,0.3692,0.6308,0.9972,0.5322,0.6940,0:00:00
jit,baseline,buhos,2026-01-23 11:27,202,698,860,1824,0.2768,0.7232,0.1902,0.2244,0.2059,0:03:57
jit,mixed,bib-dedupe,2026-01-23 11:32,1924,1375,69,1414,0.4930,0.5070,0.9654,0.5832,0.7271,0:00:17
jit,mixed,asreview,2026-01-23 11:32,1946,1105,47,1684,0.3962,0.6038,0.9764,0.6378,0.7716,0:00:00
jit,mixed,buhos,2026-01-23 11:37,361,731,1632,2058,0.2621,0.7379,0.1811,0.3306,0.2340,0:04:38
