cluster,ID,title,author,number,volume,journal,grobid-version,file,ENTRYTYPE,year,doi,note,__orig_index
1,0000000007,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Gleasure, Rob and Feller, Joseph",10,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_10/GleasureFeller2016.pdf,article,2016,,,4
1,0000000462,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Deng, Nancy and Joshi, K. D and Nancy, Annual Meeting",10,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_10/DengJoshi2016.pdf,article,2016,,,446
1,0000000526,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Vijayasarathy, Leo and Casterella, Gretchen Irwin",10,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_10/VijayasarathyCasterella2016.pdf,article,2016,,,509
2,0000000147,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Tripp, John F and Riemenschneider, Cindy and Thatcher, Jason B and Riemenschneider, Cynthia K",4,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_4/TrippRiemenschneiderThatcher2016.pdf,article,2016,,,143
2,0000000257,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Cram, W. Alec and Brohman, Kathryn and Gallupe, R. Brent and Brohman, M. Kathryn",4,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_4/CramBrohmanGallupe2016.pdf,article,2016,,,247
3,0000000212,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Venkatesh, Viswanath and Thong, James Y L and Xu, Xin",5,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_5/VenkateshThongXu2016.pdf,article,2016,,,205
3,0000000702,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Luo, Jifeng and Fan, Ming and Zhang, Han",5,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_5/LuoFanZhang2016.pdf,article,2016,,,681
4,0000000230,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Mohan, Blooma and Yeow, Alton and Chua, Kuan and Hoe, Dion and Goh, Lian and Wickramasinghe, Nilmini and Chua, Alton Y K and Goh, Dion",9,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_9/JohnChuaGohEtAl2016.pdf,article,2016,,,222
4,0000000319,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Tallon, Paul P and Huntsman, Jon M and Coltman, Tim and Sharma, Rajeev and Queiroz, Magno and South, Wales and Rajeev",9,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_9/TallonQueirozColtmanEtAl2016.pdf,article,2016,,,307
4,0000000415,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Brown, Susan A and Fuller, Robert M and Thatcher, Sherry M B",9,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_9/BrownFullerThatcher2016.pdf,article,2016,,,402
5,0000000295,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Young, Brett W and Mathiassen, Lars and Davidson, Elizabeth",7,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_7/YoungMathiassenDavidson2016.pdf,article,2016,,,284
5,0000000661,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Venkatesh, Viswanath and Brown, Susan A and Sullivan, Yulia W",7,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_7/VenkateshBrownSullivan2016.pdf,article,2016,,,641
6,0000000309,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Hong, Yili and Huang, Ni and Burtch, Gord and Li, Chunxiao",11,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_11/HongHuangBurtchEtAl2016.pdf,article,2016,,,298
6,0000000584,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Wang, Jingguo and Li, Yuan and Rao, H. Raghav",11,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_11/WangLiRao2016.pdf,article,2016,,,565
7,0000000331,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Cuellar, Michael J and Takeda, Hirotoshi and Vidgen, Richard and Truex, Duane",1,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_1/CuellarTakedaVidgenEtAl2016.pdf,article,2016,,,318
7,0000000409,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Wall, Jeffrey D and Lowry, Paul Benjamin and Barlow, Jordan B",1,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_1/WallLowryBarlow2016.pdf,article,2016,,,396
7,0000000709,J ournal of the A I S ssociation for nformation ystems,"Crowston, Kevin",1,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_1/Crowston2016.pdf,article,2016,,,688
7,0000000712,J ournal of the A I S ssociation for nformation ystems,"Cuellar, Michael J and Takeda, Hirotoshi and Vidgen, Richard and Truex, Duane",1,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_1/CuellarTakedaVidgenEtAl2016a.pdf,article,2016,,,691
8,0000000320,J ournal of the A I S ssociation for nformation ystems,"Abbasi, Ahmed and Sarker, Suprateek and Chiang, Roger H L and Lindner, Carl H",2,17,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/17_2/AbbasiSarkerChiang2016.pdf,article,2016,,,308
