cluster_id,id,title,author,doi
0,P_0000000105,Journal of the Association for Information,"Sojer, Manuel and Henkel, Joachim and Wade, Michael and Crowston, Kevin",
0,P_0000000273,Journal of the Association for Information,"Cornford, Tony and Shaikh, Maha and Ciborra, Claudio and Wade, Michael and Crowston, Kevin",
0,P_0000000372,Journal of the Association for Information,"Eng, Cecil and Chua, Huang and Yong, Adrian and Yeow, Kwang and Wade, Michael and Crowston, Kevin",
0,P_0000000506,Journal of the Association for Information,"Bach, Paula M and Carroll, John M and Wade, Michael and Crowston, Kevin",
0,P_0000000636,Journal of the Association for Information,"Zhang, Ping",
1,P_0000000232,Journal of the Association for Information,"Thorén, Claes and Ågerfalk, Pär J and Edenius, Mats",
1,P_0000000321,Journal of the Association for Information Special Issue,"Yeliz Eseryel, U. and Morgan, Lorraine",
1,P_0000000349,Journal of the Association for Information Special Issue,"Schlagwein, Daniel and Bjørn-Andersen, Niels",
1,P_0000000428,Journal of the Association for Information Special Issue,"Crowston, Kevin and Whelan, Eoin and Conboy, Kieran and Lero, Lorraine Morgan and Rossi, Matti",
1,P_0000000646,Journal of the Association for Information Editorial Note,"Gregor, Shirley and Klein, Gary",
2,P_0000000212,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Venkatesh, Viswanath and Thong, James Y L and Xu, Xin",
2,P_0000000702,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Luo, Jifeng and Fan, Ming and Zhang, Han",
3,P_0000000316,Journal of the Association for Information,"Grytten, Petter and Østerlie, Thomas and Haavik, Torgeir Kolstø",
3,P_0000000376,Journal of the Association for Information,"Kaniadakis, Antonios and Constantinides, Panos",
3,P_0000000552,Journal of the Association for Information,"Ribes, David and Polk, Jessica Beth and Monteiro, Eric",
4,P_0000000020,Journal of the Association for Information,"Kirsch, Laurie J and Slaughter, Sandra A",
4,P_0000000071,Journal of the Association for Information,"King, John Leslie and Nicholas, *.",
4,P_0000000534,Journal of the Association for Information Special Issue,"Beath, Cynthia and Berente, Nicholas and Gallivan, Michael J and Lyytinen, Kalle",
4,P_0000000619,Journal of the Association for Information,"Nambisan, Satish",
5,P_0000000331,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Cuellar, Michael J and Takeda, Hirotoshi and Vidgen, Richard and Truex, Duane",
5,P_0000000409,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Wall, Jeffrey D and Lowry, Paul Benjamin and Barlow, Jordan B",
5,P_0000000709,J ournal of the A I S ssociation for nformation ystems,"Crowston, Kevin",
5,P_0000000712,J ournal of the A I S ssociation for nformation ystems,"Cuellar, Michael J and Takeda, Hirotoshi and Vidgen, Richard and Truex, Duane",
6,C_000772,Unraveling the Effects of Mobile Application Usage on Users’ Health Status: Insights from Conservation of Resources Theory,"Fu, Shaoxiong and Cai, Zhao and Lim, Eric and Liu, Yong and Tan, Chee-Wee and Lin, Yanqing and Deng, Shengli",10.17705/1JAIS.00808
6,D_000780,Unraveling the Effects of Mobile Application Usage on Users' Health Status: Insights from Conservation of Resources Theory,"Fu, Shaoxiong and Cai, Zhao and Lim, Eric T. K. and Liu, Yong and Tan, Chee-Wee and Lin, Yanqing",
6,P_000808,Unraveling the Effects of Mobile Application Usage on Users' Health Status: Insights from Conservation of Resources Theory,"Fu, Shaoxiong and Cai, Zhao and Lim, Eric T K and Liu, Yong and Tan, Chee-Wee and Lin, Yanqing and Deng, Shengli and Bennett, Jason",10.17705/1JAIS.1JAIS.00808
7,P_0000000276,Journal of the Association for Information,"Chakraborty, Suranjan and Sarker, Saonee and Sarker, Suprateek",
7,P_0000000516,Journal of the Association for Information,"Sun, Heshan",
8,C_000200,Quo vadis TAM?,"Benbasat, Izak and Barki, Henri",10.17705/1JAIS.00126
8,C_000638,Introduction to the Special Issue on “Quo Vadis TAM – Issues and Reflections on Technology Acceptance Research”,"Hirschheim, Rudy",10.17705/1JAIS.00128
8,D_000125,Quo vadis TAM?,"Benbasat, Izak and Barki, Henri",
8,D_000132,"Introduction to the Special Issue on ""Quo Vadis TAM - Issues and Reflections on Technology Acceptance Research""","Hirschheim, Rudy",
8,P_0000000426,"Quo vadis, TAM?","Benbasat, Izak and Barki, Henri and Montréal, Hec",
8,P_0000000429,Introduction to the Special Issue on “Quo Vadis TAM – Issues and Reflections on Technology Acceptance Research”,"Hirschheim, Rudy",
9,P_0000000476,Journal of the Association for Information,"Montealegre, Ramiro and Hovorka, Dirk and Germonprez, Matt",
9,P_0000000628,Journal of the Association for Information Research Perspective,"Porra, Jaana and Hirschheim, Rudy and Parks, Michael S",
10,P_0000000029,Journal of the Association for Information,"Hirschheim, Rudy and Klein, Heinz K",
10,P_0000000218,Journal of the Association for Information,"Grover, Varun",
10,P_0000000307,Journal of the Association for Information,"Buhl, Hans Ulrich and Müller, Günter and Fridgen, Gilbert and Röglinger, Maximilian",
10,P_0000000315,Journal of the Association for Information Special Issue,"Hirschheim, Rudy and Saunders, Carol and Straub, Detmar",
10,P_0000000591,Journal of the Association for Information,"Davern, Michael J and Shaft, Teresa M and Te'eni, Dov",
11,P_0000000151,Journal of the Association for Information,"Parsons, Jeffrey and Wand, Yair",
11,P_0000000178,Journal of the Association for Information,"Grover, Varun and Nicholas, *.",
11,P_0000000313,Journal of the Association for Information,"Yoo, Youngjin",
11,P_0000000695,Journal of the Association for Information,"Osterwalder, Alexander and Pigneur, Yves and Nicholas, *.",
12,P_0000000048,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Bernardi, Roberta and Constantinides, Panos and Nandhakumar, Joe",
12,P_0000000278,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Salehan, Mohammad and Kim, Dan J and Kim, Changsu",
12,P_0000000304,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Xu, David Jingjun and Abdinnour, Sue and Chaparro, Barbara",
13,P_0000000065,Journal of the Association for Information,"Germonprez, Matt and Hovorka, Dirk and Gal, Uri",
13,P_0000000356,Journal of the Association for Information,"Kock, Ned and Chatelain-Jardón, Ruth",
14,P_0000000071,Journal of the Association for Information,"King, John Leslie and Nicholas, *.",
14,P_0000000534,Journal of the Association for Information Special Issue,"Beath, Cynthia and Berente, Nicholas and Gallivan, Michael J and Lyytinen, Kalle",
15,P_0000000063,Journal of the Association for Information,"Crowston, Kevin and Wade, Michael",
15,P_0000000094,Journal of the Association for Information,"Alspaugh, Thomas A and Scacchi, Walt and Asuncion, Hazeline U and Wade, Michael and Crowston, Kevin",
15,P_0000000255,Journal of the Association for Information,"Maldonado, Edgar",
15,P_0000000375,Journal of the Association for Information,"Nevo, Saggi and Demertzoglou, Pindaro and Wade, Michael and Crowston, Kevin and Chengalur-Smith, Indushobha",
15,P_0000000440,Journal of the Association for Information,"Sidorova, Anna and Daniel, Sherae and Chengalur-Smith, Indushobha",
15,P_0000000542,Journal of the Association for Information,"Aksulu, Altay and Wade, Michael R",
15,P_0000000630,Journal of the Association for Information,"Colazo, Jorge A and Fang, Yulin",
16,P_0000000073,Journal of the Association for Information,"Xu, David and Benbasat, Izak and Cenfetelli, Ronald T and Srinivasan, Ananth",
16,P_0000000169,Journal of the Association for Information,"Müller-Wienbergen, Felix and Müller, Oliver and Seidel, Stefan and Becker, Jörg",
17,P_0000000008,Journal of the Association for Information,"Goh, Samuel and Wasko, Molly",
17,P_0000000027,Journal of the Association for Information Special Issue,"Boughzala, Imed and De Vreede, Gert-Jan and Limayem, Moez",
17,P_0000000236,Journal of the Association for Information Special Issue,"Boughzala, Imed and De Vreede, Gert-Jan and Limayem, Moez",
17,P_0000000533,Journal of the Association for Information,"Venkatesh, Viswanath and Windeler, Jaime B",
17,P_0000000626,Journal of the Association for Information,"Schmeil, Andreas and Eppler, Martin J",
17,P_0000000690,Journal of the Association for Information,"Nardon, Luciara and Aten, Kathryn",
18,P_0000000078,Journal of the Association for Information,"Wu, Ing-Long and Hu, Ya-Ping",
18,P_0000000384,Journal of the Association for Information,"Browne, Glenn J and Parsons, Jeffrey and Gregor, Shirley",
18,P_0000000668,Journal of the Association for Information,"Liu, Liping and Li, Chan and Zhu, Dan and Liu, / and Nomological and Trust",
19,P_0000000328,Journal of the Association for Information Research Article,"Parsons, Jeffrey and Ralph, Paul",
