cluster,ID,title,author,language,abstract,pages,number,volume,year,journal,doi,ENTRYTYPE,fulltext,cited_by,url,__orig_index
1,000690,A process model for software maintenance,"Moreton, Robert",eng,,100--104,2,5,1990,Journal of Information Technology,10.1057/JIT.1990.19,article,,,https://link.springer.com/article/10.1057/jit.1990.19,689
1,002398,A Process Model for Software Maintenance,"Moreton, Robert",eng,"This paper draws on work undertaken for the Butler Cox Productivity Enhancement Programme (PEP) to describe a process model which will provide a basis for overcoming the problems of cost and complexity associated with software maintenance. PEP is a continuous program that is open to organizations wishing to measure and improve systems development and productivity. The paper argues that for maintenance work to be effective, it is vital to control the input to the process — the procedure by which change requests are notified and managed in the first place. The procedure of change management is followed by impact analysis, system release planning, change design, implementation, testing and system release/integration. These steps, which occur sequentially, are supported by a further activity that continues concurrently - progress monitoring. The conclusion of the paper is that a coordinated program, effective across the whole maintenance process and designed to control changes to the system, will become more and more critical as the complexity of the system increases. Formal procedures are essential to ensure that software is not degraded and to provide an audit facility. At the same time there are several automated change and control packages now available that could help to reduce administrative overheads and increase control over system changes.",100--104,2,5,1990,Journal of Information Technology,10.1177/026839629000500206,article,https://journals.sagepub.com/doi/pdf/10.1177/026839629000500206,,,2397
2,000488,Information Technology and Communication,"Johnson, L",eng,,49--49,1,1,1986,Journal of Information Technology,10.1057/JIT.1986.11,article,,0,,487
2,001550,Information Technology and Communication,"Johnson, L",eng,,49--49,1,1,1986,Journal of Information Technology,10.1057/JIT.1986.11,article,,,https://link.springer.com/article/10.1057/jit.1986.11,1549
2,002250,Information Technology and Communication,"Johnson, L.",eng,,49--49,1,1,1986,Journal of Information Technology,10.1177/026839628600100111,article,https://journals.sagepub.com/doi/pdf/10.1177/026839628600100111,,,2249
3,000489,The Information Technology Revolution,"Johnson, L",eng,,48--48,1,1,1986,Journal of Information Technology,10.1057/JIT.1986.10,article,,0,,488
3,001551,The Information Technology Revolution,"Johnson, L",eng,,48--48,1,1,1986,Journal of Information Technology,10.1057/JIT.1986.10,article,,,https://link.springer.com/article/10.1057/jit.1986.10,1550
4,000490,The Management Implications of New Information Technology,"Johnson, L",eng,,48--48,1,1,1986,Journal of Information Technology,10.1057/JIT.1986.9,article,,0,,489
4,001552,The Management Implications of New Information Technology,"Johnson, L",eng,,48--48,1,1,1986,Journal of Information Technology,10.1057/JIT.1986.9,article,,,https://link.springer.com/article/10.1057/jit.1986.9,1551
5,000491,Innovation and Entrepreneurship,"Johnson, Les",eng,,55--57,2,1,1986,Journal of Information Technology,10.1057/JIT.1986.24,article,,0,,490
5,001553,Innovation and Entrepreneurship,"Johnson, Les",eng,,55--57,2,1,1986,Journal of Information Technology,10.1057/JIT.1986.24,article,,,https://link.springer.com/article/10.1057/jit.1986.24,1552
6,000256,Context is king! Considering particularism in research design and reporting,"Davison, Robert M and Martinsons, Maris G",eng,"We aim to raise awareness of context by examining its role in empirical research. We apply the dichotomy of universalism and particularism, and discuss the interaction of theory and culture in order to consider the scope of validity for research findings and conclusions. We illustrate our arguments by referencing three cases, each of which has contextual inadequacies. We aim to discourage the conduct of research, and acceptance of papers, that falsely implies universalism, relies on convenient samples or ignores indigenous constructs. We offer specific prescriptions for authors, editors and reviewers to help ensure that both the research context and scope of validity are adequately communicated and understood.",241--249,3,31,2016,Journal of Information Technology,10.1057/JIT.2015.19,article,,122,,255
