dataset,time,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
baseline,2026-01-22 16:43,1060,1158,2,1364,0.4591593973037272,0.5408406026962728,0.9981167608286252,0.4779080252479711,0.6463414634146342,0:00:16
pdf_only,2026-01-22 16:43,0,13,0,1185,0.0108514190317195,0.9891485809682804,0.0,0.0,0.0,0:00:04
mixed,2026-01-22 16:43,1924,1375,69,1414,0.493008246683399,0.506991753316601,0.9653788258906172,0.5832070324340709,0.7271352985638699,0:00:18
baseline,2026-01-22 17:02,1060,1158,2,1364,0.4591593973037272,0.5408406026962728,0.9981167608286252,0.4779080252479711,0.6463414634146342,0:00:16
pdf_only,2026-01-22 17:02,0,13,0,1185,0.0108514190317195,0.9891485809682804,0.0,0.0,0.0,0:00:04
mixed,2026-01-22 17:02,1924,1375,69,1414,0.493008246683399,0.506991753316601,0.9653788258906172,0.5832070324340709,0.7271352985638699,0:00:20
baseline,2026-01-22 17:53,1060,1177,2,2699229,0.0004358603854383,0.9995641396145616,0.9981167608286252,0.4738489047831917,0.6426189754471052,0:00:15
pdf_only,2026-01-22 17:53,0,15,0,716988,2.09204145589349e-05,0.9999790795854412,0.0,0.0,0.0,0:00:04
mixed,2026-01-22 17:54,2780,2552,144,7706627,0.0003310339531615,0.9996689660468384,0.950752393980848,0.5213803450862715,0.6734496124031006,0:00:20
baseline,2026-01-22 18:00,1060,1177,2,2699229,0.0004358603854383,0.9995641396145616,0.9981167608286252,0.4738489047831917,0.6426189754471052,0:00:15
pdf_only,2026-01-22 18:00,0,15,0,716988,2.09204145589349e-05,0.9999790795854412,0.0,0.0,0.0,0:00:04
mixed,2026-01-22 18:01,2780,2552,144,7706627,0.0003310339531615,0.9996689660468384,0.950752393980848,0.5213803450862715,0.6734496124031006,0:00:19
baseline,2026-01-22 18:05,1060,1158,2,1364,0.4591593973037272,0.5408406026962728,0.9981167608286252,0.4779080252479711,0.6463414634146342,0:00:15
pdf_only,2026-01-22 18:05,0,13,0,1185,0.0108514190317195,0.9891485809682804,0.0,0.0,0.0,0:00:04
mixed,2026-01-22 18:05,1924,1375,69,1414,0.493008246683399,0.506991753316601,0.9653788258906172,0.5832070324340709,0.7271352985638699,0:00:19
pdf_only,2026-01-24 21:45,0,13,0,1185,0.0108514190317195,0.9891485809682804,0.0,0.0,0.0,0:00:05
pdf_only,2026-01-24 21:51,0,13,0,1185,0.0108514190317195,0.9891485809682804,0.0,0.0,0.0,0:00:05
pdf_only,2026-01-24 21:55,0,11,0,1187,0.009181969949916527,0.9908180300500835,0.0,0.0,0.0,0:00:05
