cluster_id,id,title,author,doi
0,C_000686,Information Technology Education in Industry,"Molyneux, Eric",10.1057/JIT.1986.20
0,C_001950,Information Technology Education in Industry,"Molyneux, Eric",10.1177/026839628600100207
0,D_000014,Information Technology Education in Industry,"Molyneux, Eric",10.1057/JIT.1986.20
1,C_000258,International Multifoods – Case A,"Desanctis, Gerardine and Price, Robert M",10.1080/02683960110063636
1,C_000259,International Multifoods – Case B,"Desanctis, Gerardine and Price, Robert M.",10.1080/02683960110063645
1,C_001320,International Multifoods – Case A,"Desanctis, Gerardine and Price, Robert M",10.1080/02683960110063636
1,C_001321,International Multifoods – Case B,"Desanctis, Gerardine and Price, Robert M.",10.1080/02683960110063645
1,D_000568,International Multifoods - Case A,"DeSanctis, Gerardine and Price, Robert M.",10.1080/02683960110063636
1,D_000569,International Multifoods - Case B,"DeSanctis, Gerardine and Price, Robert M.",10.1080/02683960110063645
2,C_000685,Using the Internet for knowledge acquisition in expert systems development: a case study,"Molnar, Kathleen K and Sharda, Ramesh",10.1080/026839696345270
2,C_001747,Using the Internet for knowledge acquisition in expert systems development: a case study,"Molnar, Kathleen K and Sharda, Ramesh",10.1080/026839696345270
2,C_001929,Using the Internet for Knowledge Acquisition in Expert Systems Development: A Case Study,"Molnar, Kathleen K. and Sharda, Ramesh",10.1177/026839629601100304
2,D_000435,Using the Internet for knowledge acquisition in expert systems development - a case study,"Molnar, Kathleen K. and Sharda, Ramesh",10.1080/026839696345270
3,C_000118,On being ‘Systematic’ in Literature Reviews in IS,"Boell, Sebastian K and Cecez-Kecmanovic, Dubravka",10.1057/JIT.2014.26
3,C_000119,"Debating Systematic Literature Reviews (SLR) and their Ramifications for IS: A rejoinder to Mike Chiasson, Briony Oates, Ulrike Schultze, and Richard Watson","Boell, Sebastian K and Cecez-Kecmanovic, Dubravka",10.1057/JIT.2015.15
3,C_001180,On being ‘Systematic’ in Literature Reviews in IS,"Boell, Sebastian K and Cecez-Kecmanovic, Dubravka",10.1057/JIT.2014.26
3,C_001181,"Debating Systematic Literature Reviews (SLR) and their Ramifications for IS: A rejoinder to Mike Chiasson, Briony Oates, Ulrike Schultze, and Richard Watson","Boell, Sebastian K and Cecez-Kecmanovic, Dubravka",10.1057/JIT.2015.15
3,D_000973,On being 'systematic' in literature reviews in IS,"Boell, Sebastian K. and Cecez-Kecmanovic, Dubravka",10.1057/JIT.2014.26
3,D_000974,"Debating systematic literature reviews (SLR) and their ramifications for IS - a rejoinder to Mike Chiasson, Briony Oates, Ulrike Schultze, and Richard Watson","Boell, Sebastian K. and Cecez-Kecmanovic, Dubravka",10.1057/JIT.2015.15
4,C_000218,E-government: Towards the E-Bureaucratic Form?,"Cordelia, Antonio",10.1057/PALGRAVE.JIT.2000105
4,C_001280,E-government: Towards the E-Bureaucratic Form?,"Cordelia, Antonio",10.1057/PALGRAVE.JIT.2000105
4,D_000728,E-government - towards the e-bureaucratic form?,"Cordella, Antonio",10.1057/PALGRAVE.JIT.2000105
5,C_000757,A product-process model of innovation in software development,"Quintas, Paul",10.1057/JIT.1994.2
5,C_002176,A Product-Process Model of Innovation in Software Development,"Quintas, Paul",10.1177/026839629400900102
5,D_000362,A product-process model of innovation in software development,"Quintas, Paul",10.1057/JIT.1994.2
6,C_000259,International Multifoods – Case B,"Desanctis, Gerardine and Price, Robert M.",10.1080/02683960110063645
6,C_001321,International Multifoods – Case B,"Desanctis, Gerardine and Price, Robert M.",10.1080/02683960110063645
7,C_000020,The Study of Information: Interdisciplinary Messages,"Aleksander, Igor",10.1057/JIT.1986.25
7,C_000549,A Message,"Land, Frank",10.1057/JIT.1986.2
7,C_001082,The Study of Information: Interdisciplinary Messages,"Aleksander, Igor",10.1057/JIT.1986.25
7,C_001611,A Message,"Land, Frank",10.1057/JIT.1986.2
7,C_002077,A Message,"Land, Frank",10.1177/026839628600100102
7,C_002245,Book Review: The Study of Information: Interdisciplinary Messages,"Aleksander, Igor",10.1177/026839628600100212
7,D_000017,The Study of Information - Interdisciplinary Messages,"Aleksander, Igor",10.1057/JIT.1986.25
7,D_000038,A Message,"Land, Frank",10.1057/JIT.1986.2
8,C_000293,Putting IT in its place: a polemic for the nineties,"Earl, Michael J",10.1057/JIT.1992.15
8,C_001355,Putting IT in its place: a polemic for the nineties,"Earl, Michael J",10.1057/JIT.1992.15
8,C_001854,Putting it in its Place: A Polemic for the Nineties,"Earl, Michael J.",10.1177/026839629200700206
8,D_000271,Putting IT in its place - a polemic for the nineties,"Earl, Michael J.",10.1057/JIT.1992.15
9,C_000537,Implementing Enterprise Resource Planning Packages in Different Corporate and National Cultures,"Krumbholz, M. and Galliers, J. and Coulianos, N. and Maiden, N.A.M.",10.1177/026839620001500403
9,C_001599,Implementing Enterprise Resource Planning Packages in Different Corporate and National Cultures,"Krumbholz, M. and Galliers, J. and Coulianos, N. and Maiden, N.A.M.",10.1177/026839620001500403
9,D_000535,Implementing enterprise resource planning packages in different corporate and national cultures,"Krumbholz, Marina and Galliers, Julia and Coulianos, N. and Maiden, Neil A. M.",10.1080/02683960122282
10,C_000325,Software Engineering with Systems Analysis and Design,"Finkelstein, Anthony",10.1057/JIT.1987.41
10,C_001387,Software Engineering with Systems Analysis and Design,"Finkelstein, Anthony",10.1057/JIT.1987.41
10,D_000073,Software Engineering with Systems Analysis and Design,"Finkelstein, Anthony",10.1057/JIT.1987.41
11,C_000004,Lessons from enterprise resource planning implementations in Ireland – towards smaller and shorter ERP projects,"Adam, Frédéric and O'Doherty, Peter",10.1080/02683960010008953
11,C_001066,Lessons from enterprise resource planning implementations in Ireland – towards smaller and shorter ERP projects,"Adam, Frédéric and O'Doherty, Peter",10.1080/02683960010008953
11,C_002276,Lessons from Enterprise Resource Planning Implementations in Ireland – Towards Smaller and Shorter ERP Projects,"Adam, Frédéric and O'Doherty, Peter",10.1177/026839620001500406
11,D_000540,Lessons from enterprise resource planning implementations in Ireland - towards smaller and shorter ERP projects,"Adam, Frédéric and O'Doherty, Peter",10.1080/02683960010008953
12,C_001007,Editorial,"Willcocks, Leslie",10.1080/026839698344792
12,C_002348,Editorial,"Willcocks, Leslie",10.1177/026839629801300301
12,D_000492,Editorial,"Willcocks, Leslie P.",10.1080/026839698344792
13,C_000428,Editorial,"Holloway, Henry",10.1057/JIT.1988.40
13,C_001490,Editorial,"Holloway, Henry",10.1057/JIT.1988.40
13,C_001960,Editorial,"Holloway, Henry",10.1177/026839628800300401
13,D_000117,Editorial,"Holloway, Henry",10.1057/JIT.1988.40
14,C_000811,Teaching cases for information systems,"Sauer, Chris and Willcocks, Leslie",10.1080/026839699344511
14,C_002226,Teaching Cases for Information Systems,"Sauer, Chris and Willcocks, Leslie",10.1177/026839629901400301
14,D_000511,Teaching cases for information systems,"Sauer, Chris and Willcocks, Leslie P.",10.1080/026839699344511
15,C_000358,Toward Smarter Health and Well-Being: An Implicit Role for Networking and Information Technology,"Gianchandani, Erwin P",10.1057/JIT.2011.5
15,C_001420,Toward Smarter Health and Well-Being: An Implicit Role for Networking and Information Technology,"Gianchandani, Erwin P",10.1057/JIT.2011.5
15,D_000844,Toward smarter health and well-being - an implicit role for networking and information technology,"Gianchandani, Erwin P.",10.1057/JIT.2011.5
16,C_000620,Key Information Technology and Management Issues 2010–11: An International Study,"Luftman, Jerry and Zadeh, Hossein S",10.1057/JIT.2011.3
16,C_001682,Key Information Technology and Management Issues 2010–11: An International Study,"Luftman, Jerry and Zadeh, Hossein S",10.1057/JIT.2011.3
16,D_000802,Key information technology and management issues 2010-11 - an international study,"Luftman, Jerry N. and Zadeh, Hossein Seif",10.1057/JIT.2011.3
17,C_000377,Towards a Taxonomy of information systems: or does anyone need a TAXI?,"Grimshaw, David J",10.1057/JIT.1992.5
17,C_001439,Towards a Taxonomy of information systems: or does anyone need a TAXI?,"Grimshaw, David J",10.1057/JIT.1992.5
17,C_002233,Towards a Taxonomy of Information Systems: Or Does Anyone Need a Taxi?,"Grimshaw, David J.",10.1177/026839629200700105
17,D_000268,Towards a Taxonomy of information systems - or does anyone need a TAXI?,"Grimshaw, David J.",10.1057/JIT.1992.5
18,C_000249,Relationship marketing in electronic commerce environments,"Davis, Robert and Buchanan-Oliver, Margo and Brodie, Roderick",10.1080/026839699344449
18,C_001311,Relationship marketing in electronic commerce environments,"Davis, Robert and Buchanan-Oliver, Margo and Brodie, Roderick",10.1080/026839699344449
18,C_002431,Relationship Marketing in Electronic Commerce Environments,"Davis, Robert and Buchanan-Oliver, Margo and Brodie, Roderick",10.1177/026839629901400402
18,D_000513,Relationship marketing in electronic commerce environments,"Davis, Robert and Buchanan-Oliver, Margo and Brodie, Roderick",10.1080/026839699344449
19,C_000971,The effectiveness of Decision Support Systems: the implications of task complexity and DSS sophistication,"Webby, Richard and O'Connor, Marcus",10.1057/JIT.1994.3
19,C_002247,The Effectiveness of Decision Support Systems: The Implications of Task Complexity and Dss Sophistication,"Webby, Richard and O'Connor, Marcus",10.1177/026839629400900103
19,D_000367,The effectiveness of Decision Support Systems - the implications of task complexity and DSS sophistication,"Webby, Richard and O'Connor, Marcus",10.1057/JIT.1994.3
20,C_000562,IS Research Methods: Inclusive Or Exclusive?,"Lee, Allen S",10.1057/JIT.2011.24
20,C_000563,Erratum: IS Research Methods: Inclusive Or Exclusive?,"Lee, Allen S",10.1057/JIT.2012.2
20,C_001624,IS Research Methods: Inclusive Or Exclusive?,"Lee, Allen S",10.1057/JIT.2011.24
20,C_001625,Erratum: IS Research Methods: Inclusive Or Exclusive?,"Lee, Allen S",10.1057/JIT.2012.2
20,D_000863,IS research methods - inclusive or exclusive?,"Lee, Allen S.",10.1057/JIT.2011.24
20,D_000895,IS research methods - inclusive or exclusive?,"Lee, Allen S.",10.1057/JIT.2012.2
21,C_000291,The Politics of Next Generation Research Democratizing Research-Centred Computational Networks,"Dutton, William H",10.1057/JIT.2011.2
21,C_001353,The Politics of Next Generation Research Democratizing Research-Centred Computational Networks,"Dutton, William H",10.1057/JIT.2011.2
21,D_000859,The politics of next generation research - democratizing research-centred computational networks,"Dutton, William H.",10.1057/JIT.2011.2
22,C_000230,Using multiple suppliers to mitigate the risk of IT outsourcing at ICI and Wessex Water,"Currie, Wendy L",10.1080/026839698344819
22,C_001292,Using multiple suppliers to mitigate the risk of IT outsourcing at ICI and Wessex Water,"Currie, Wendy L",10.1080/026839698344819
22,C_002281,Using Multiple Suppliers to Mitigate the Risk of it Outsourcing at ICI and Wessex Water,"Currie, Wendy L.",10.1177/026839629801300303
