cluster_id,id,title,author,doi
0,C_000578,Creating a business-oriented IT department,"Leeming, Anne",10.1057/JIT.1990.36
0,C_001640,Creating a business-oriented IT department,"Leeming, Anne",10.1057/JIT.1990.36
0,D_000209,Creating a business-oriented IT department,"Leeming, Anne",10.1057/JIT.1990.36
0,P_0000000646,Creating a business-oriented IT Department,"Report, A. and Leeming, Anne",
1,C_000253,The Privacy Rights of Cyborgs,"Davison, Robert M",10.1057/JIT.2012.23
1,C_001315,The Privacy Rights of Cyborgs,"Davison, Robert M",10.1057/JIT.2012.23
1,D_000893,The privacy rights of cyborgs,"Davison, Robert M.",10.1057/JIT.2012.23
1,P_0000000514,The privacy rights of cyborgs,"Davison, Robert M",10.1057/JIT.2012.23
2,C_000363,Managing the Internet Payment Platform project,"Gogan, Janis L and Gelinas, Ulric J",10.1057/PALGRAVE.JIT.2000110
2,C_001425,Managing the Internet Payment Platform project,"Gogan, Janis L and Gelinas, Ulric J",10.1057/PALGRAVE.JIT.2000110
2,D_000703,Managing the Internet Payment Platform project,"Gogan, Janis L. and Gelinas, Ulric J.",10.1057/PALGRAVE.JIT.2000110
2,P_0000000869,Managing the Internet Payment Platform project,"Gogan, Janis L and Gelinas, Ulric J",10.1057/PALGRAVE.JIT.2000110
3,C_000378,Toward an empirical taxonomy and model of evolution for telecommunications technologies,"Grover, Varun and Goslar, Martin",10.1057/JIT.1993.23
3,C_001440,Toward an empirical taxonomy and model of evolution for telecommunications technologies,"Grover, Varun and Goslar, Martin",10.1057/JIT.1993.23
3,D_000312,Toward an empirical taxonomy and model of evolution for telecommunications technologies,"Grover, Varun and Goslar, Martin D.",10.1057/JIT.1993.23
3,P_0000000135,Toward an empirical taxonomy and model of evolution for telecommunications technologies,"Grover, Varun and Goslar, Martin",
4,C_000090,Scenario playing for critical success factor analysis,"Barat, Janos",10.1057/JIT.1992.3
4,C_001152,Scenario playing for critical success factor analysis,"Barat, Janos",10.1057/JIT.1992.3
4,D_000276,Scenario playing for critical success factor analysis,"Barát, János",10.1057/JIT.1992.3
4,P_0000000442,Scenario playing for critical success factor analysis,"Barat, Janos",
5,C_000473,Why Then Did the X.400 E-mail Standard Fail? Reasons and Lessons to be Learned,"Jakobs, Kai",10.1057/JIT.2012.35
5,C_001535,Why Then Did the X.400 E-mail Standard Fail? Reasons and Lessons to be Learned,"Jakobs, Kai",10.1057/JIT.2012.35
5,D_000915,Why then did the X.400 e-mail standard fail? Reasons and lessons to be learned,"Jakobs, Kai",10.1057/JIT.2012.35
5,P_0000000274,Why then did the X.400 e-mail standard fail? Reasons and lessons to be learned,"Jakobs, Kai",10.1057/JIT.2012.35
6,C_000184,"Context may be King, but generalizability is the Emperor!","Cheng, Zhi (Aaron) and Dimoka, Angelika and Pavlou, Paul A.",10.1057/S41265-016-0005-7
6,C_001246,"Context may be King, but generalizability is the Emperor!","Cheng, Zhi (Aaron) and Dimoka, Angelika and Pavlou, Paul A.",10.1057/S41265-016-0005-7
6,D_001002,"Context may be King, but generalizability is the Emperor!","Cheng, Zhi and Dimoka, Angelika and Pavlou, Paul A.",10.1057/S41265-016-0005-7
6,P_0000000095,"Context may be King, but generalizability is the Emperor!","Cheng, Aaron and Dimoka, Angelika and Pavlou, Paul A",10.1057/S41265-016-0005-7
7,C_000393,The Market and Beyond: Cooperation and Competition in Information Technology in the Japanese System,"Harris, Martin",10.1057/JIT.1991.18
7,C_001455,The Market and Beyond: Cooperation and Competition in Information Technology in the Japanese System,"Harris, Martin",10.1057/JIT.1991.18
7,D_000224,The Market and Beyond - Cooperation and Competition in Information Technology in the Japanese System,"Harris, Martin",10.1057/JIT.1991.18
7,P_0000000348,The Market and Beyond: Cooperation and Competition in Information Technology in the Japanese System,"Fransman, Martin",
8,C_000559,An Overview of Intelligent Decision Systems,"Lee, Daniel T",10.1057/JIT.1989.17
8,C_001621,An Overview of Intelligent Decision Systems,"Lee, Daniel T",10.1057/JIT.1989.17
8,D_000148,An Overview of Intelligent Decision Systems,"Lee, Daniel T.",10.1057/JIT.1989.17
