cluster,ID,title,author,dblp_key,url,number,volume,year,journal,ENTRYTYPE,doi,__orig_index
1,001213,Editorial Introduction,"Zwass, Vladimir",https://dblp.org/rec/journals/jmis/Zwass14,http://www.jmis-web.org/articles/1164,3,30,2014,Journal of Management Information Systems,article,,1212
1,001217,Editorial Introduction,"Zwass, Vladimir",https://dblp.org/rec/journals/jmis/Zwass14d,http://www.jmis-web.org/articles/1208,3,31,2014,Journal of Management Information Systems,article,,1216
2,000751,Editorial Introduction,"Zwass, Vladimir",https://dblp.org/rec/journals/jmis/Zwass04a,http://www.jmis-web.org/articles/1132,3,20,2004,Journal of Management Information Systems,article,,750
2,000752,Editorial Introduction,"Zwass, Vladimir",https://dblp.org/rec/journals/jmis/Zwass05b,http://www.jmis-web.org/articles/1133,3,21,2004,Journal of Management Information Systems,article,,751
3,001269,Editorial Introduction,"Zwass, Vladimir",https://dblp.org/rec/journals/jmis/Zwass15,http://www.jmis-web.org/articles/1220,4,31,2015,Journal of Management Information Systems,article,,1268
3,001273,Editorial Introduction,"Zwass, Vladimir",https://dblp.org/rec/journals/jmis/Zwass15d,http://www.jmis-web.org/articles/1266,4,32,2015,Journal of Management Information Systems,article,,1272
4,000914,Special Issue - Trust in Online Environments,"Benbasat, Izak and Gefen, David and Pavlou, Paul A.",https://dblp.org/rec/journals/jmis/BenbasatGP08,http://www.jmis-web.org/articles/86,4,24,2008,Journal of Management Information Systems,article,,913
4,000920,A Research Agenda for Trust in Online Environments,"Gefen, David and Benbasat, Izak and Pavlou, Paul A.",https://dblp.org/rec/journals/jmis/GefenBP08,http://www.jmis-web.org/articles/357,4,24,2008,Journal of Management Information Systems,article,,919
5,001161,Special Issue - Neuroscience in Information Systems Research,"Liang, Ting-Peng and vomBrocke, Jan",https://dblp.org/rec/journals/jmis/Liangv14,http://www.jmis-web.org/articles/1175,4,30,2014,Journal of Management Information Systems,article,,1160
5,001165,Guidelines for Neuroscience Studies in Information Systems Research,"vomBrocke, Jan and Liang, Ting-Peng",https://dblp.org/rec/journals/jmis/vomBrockeL14,http://www.jmis-web.org/articles/1170,4,30,2014,Journal of Management Information Systems,article,,1164
6,000306,Special Section - Information Technology and Organization Design,"Baroudi, Jack J. and Lucas Jr., Henry C.",https://dblp.org/rec/journals/jmis/BaroudiL94,http://www.jmis-web.org/articles/69,4,10,1994,Journal of Management Information Systems,article,,305
6,000308,The Role of Information Technology in Organization Design,"Lucas Jr., Henry C. and Baroudi, Jack J.",https://dblp.org/rec/journals/jmis/LucasB94,http://www.jmis-web.org/articles/642,4,10,1994,Journal of Management Information Systems,article,,307
