package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2025-09-16 23:26,mixed,2969,144,153,1655,0.0800444691495275,0.9199555308504724,0.9509929532351056,0.9537423707035014,0.9523656776263032,0:00:40
bib-dedupe,2025-09-16 23:32,mixed,2969,144,153,1655,0.0800444691495275,0.9199555308504724,0.9509929532351056,0.9537423707035014,0.9523656776263032,0:01:54
asreview,2025-09-16 23:33,mixed,2915,211,207,1588,0.1172873818788215,0.8827126181211784,0.9336963484945549,0.9325015994881638,0.9330985915492958,0:00:00
bib-dedupe,2025-09-16 23:34,mixed,2969,144,153,1655,0.0800444691495275,0.9199555308504724,0.9509929532351056,0.9537423707035014,0.9523656776263032,0:00:47
bib-dedupe,2025-09-16 23:38,mixed,2969,144,153,1655,0.0800444691495275,0.9199555308504724,0.9509929532351056,0.9537423707035014,0.9523656776263032,0:01:07
asreview,2025-09-16 23:38,mixed,2915,211,207,1588,0.1172873818788215,0.8827126181211784,0.9336963484945549,0.9325015994881638,0.9330985915492958,0:00:00
bib-dedupe,2026-01-22 08:16,mixed,2969,144,153,1655,0.0800444691495275,0.9199555308504724,0.9509929532351056,0.9537423707035014,0.9523656776263032,0:00:16
asreview,2026-01-22 08:16,mixed,2915,211,207,1588,0.1172873818788215,0.8827126181211784,0.9336963484945549,0.9325015994881638,0.9330985915492958,0:00:00
buhos,2026-01-22 08:20,mixed,420,40,2702,1759,0.0222345747637576,0.9777654252362424,0.1345291479820627,0.9130434782608696,0.2345058626465661,0:03:38
bib-dedupe,2026-01-22 18:51,mixed,2969,122,153,1655,0.0686550365785031,0.9313449634214968,0.9509929532351056,0.9605305726302168,0.9557379687751488,0:00:16
asreview,2026-01-22 18:51,mixed,2915,189,207,1588,0.1063590320765334,0.8936409679234665,0.9336963484945549,0.939110824742268,0.9363957597173144,0:00:00
buhos,2026-01-22 18:55,mixed,417,40,2705,1737,0.022509848058525603,0.9774901519414744,0.13356822549647662,0.912472647702407,0.23302598491198662,0:03:40
