package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2025-09-16 23:13,pdf_only,0,40,0,1603,0.0243457090687766,0.9756542909312234,0.0,0.0,0.0,0:00:33
asreview,2025-09-16 23:14,pdf_only,0,45,0,1598,0.0273889227023737,0.9726110772976264,0.0,0.0,0.0,0:00:00
bib-dedupe,2026-01-21 16:09,pdf_only,0,40,0,1603,0.0243457090687766,0.9756542909312234,0.0,0.0,0.0,0:00:03
bib-dedupe,2026-01-21 16:11,pdf_only,0,40,0,1603,0.0243457090687766,0.9756542909312234,0.0,0.0,0.0,0:00:04
buhos,2026-01-21 16:11,pdf_only,0,40,0,1603,0.0243457090687766,0.9756542909312234,0.0,0.0,0.0,0:00:04
bib-dedupe,2026-01-21 16:20,pdf_only,0,40,0,1603,0.0243457090687766,0.9756542909312234,0.0,0.0,0.0,0:00:03
asreview,2026-01-21 16:21,pdf_only,0,45,0,1598,0.0273889227023737,0.9726110772976264,0.0,0.0,0.0,0:00:00
buhos,2026-01-21 16:21,pdf_only,0,40,0,1603,0.0243457090687766,0.9756542909312234,0.0,0.0,0.0,0:00:04
bib-dedupe,2026-01-22 18:51,pdf_only,0,18,0,1603,0.0111042566317088,0.9888957433682912,0.0,0.0,0.0,0:00:03
asreview,2026-01-22 18:51,pdf_only,0,23,0,1598,0.014188772362739,0.9858112276372608,0.0,0.0,0.0,0:00:00
buhos,2026-01-22 18:51,pdf_only,0,18,0,1603,0.011104256631708822,0.9888957433682912,0.0,0.0,0.0,0:00:04
