dataset,time,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
baseline,2026-01-22 16:39,1579,5,10,2106,0.0023685457129322,0.9976314542870678,0.9937067337948396,0.9968434343434344,0.995272612669398,0:00:11
这是模版标题改进前pdf_only,2026-01-22 16:39,0,11,1,1931,0.005664263645726,0.994335736354274,0.0,0.0,0.0,0:00:05
mixed,2026-01-22 16:40,3351,69,106,2117,0.0315645013723696,0.9684354986276305,0.9693375759328898,0.9798245614035088,0.974552857350589,0:00:16
baseline,2026-01-23 13:54,1579,5,10,2106,0.0023685457129322,0.9976314542870678,0.9937067337948396,0.9968434343434344,0.995272612669398,0:00:15
pdf_only,2026-01-23 13:55,0,11,1,1931,0.005664263645726,0.994335736354274,0.0,0.0,0.0,0:00:06
mixed,2026-01-23 13:55,3351,69,106,2117,0.0315645013723696,0.9684354986276305,0.9693375759328898,0.9798245614035088,0.974552857350589,0:00:21
baseline,2026-01-23 14:01,1579,5,10,2106,0.0023685457129322,0.9976314542870678,0.9937067337948396,0.9968434343434344,0.995272612669398,0:00:13
pdf_only,2026-01-23 14:01,0,11,1,1931,0.005664263645726,0.994335736354274,0.0,0.0,0.0,0:00:05
mixed,2026-01-23 14:02,3351,69,106,2117,0.0315645013723696,0.9684354986276305,0.9693375759328898,0.9798245614035088,0.974552857350589,0:00:17
pdf_only,2026-01-23 14:04,0,279,1,1663,0.1436663233779608,0.8563336766220392,0.0,0.0,0.0,0:00:05
pdf_only,2026-01-23 14:06,0,279,1,1663,0.1436663233779608,0.8563336766220392,0.0,0.0,0.0,0:00:04
pdf_only,2026-01-23 14:08,0,278,1,1664,0.1431513903192585,0.8568486096807415,0.0,0.0,0.0,0:00:04
pdf_only,2026-01-23 16:49,0,5,1,1937,0.0025746652935118,0.9974253347064882,0.0,0.0,0.0,0:00:07
baseline,2026-01-23 16:55,1579,5,10,2106,0.0023685457129322,0.9976314542870678,0.9937067337948396,0.9968434343434344,0.995272612669398,0:00:27
pdf_only,2026-01-23 16:56,0,5,1,1937,0.0025746652935118,0.9974253347064882,0.0,0.0,0.0,0:00:09
mixed,2026-01-23 16:56,3325,14,132,2172,0.0064043915827996,0.9935956084172004,0.9618166039919004,0.9958071278825996,0.9785167745732783,0:00:31
这是模版标题改进后 pdf_only,2026-01-23 16:58,0,5,1,1937,0.0025746652935118,0.9974253347064882,0.0,0.0,0.0,0:00:06
pdf_only,2026-01-30 11:54,0,5,1,1937,0.0025746652935118436,0.9974253347064882,0.0,0.0,0.0,0:00:05
