cluster,ID,title,author,number,volume,journal,grobid-version,file,ENTRYTYPE,doi,year,note,__orig_index
1,0000000993,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",4,40,MIS Quarterly,lfoppiano/grobid:0.7.1,data/pdfs/40_4/Rai2016a.pdf,article,,,,987
1,001919,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",,,MIS Quarterly,lfoppiano/grobid:0.8.2,data/pdfs/MISQ Celebrating 40 Years.pdf,article,,,,1881
2,0000001704,Issues and Opinions,,4,12,MIS Quarterly,lfoppiano/grobid:0.8.1,data/pdfs/12_4/BenbasatGoldsteinMead1988.pdf,article,,,,1680
2,0000001720,Issues and Opinions,,4,12,MIS Quarterly,lfoppiano/grobid:0.8.1,data/pdfs/12_4/Dutton1988.pdf,article,,,,1695
3,0000000097,Measuring the Linkage Between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",1,20,MIS Quarterly,lfoppiano/grobid:0.8.1,data/pdfs/20_1/ReichBenbasat1996.pdf,article,,,,93
3,0000000900,FACTORS THAT INFLUENCE THE SOCIAL DIMENSION OF ALIGNMENT BETWEEN BUSINESS AND INFORMATION TECHNOLOGY OBJECTIVES 1,"Reich, Blaize Horner and Benbasat, Izak",1,24,MIS Quarterly,lfoppiano/grobid:0.8.1,data/pdfs/24_1/ReichBenbasat2000.pdf,article,,,,894
4,0000001695,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",1,1,MIS Quarterly,lfoppiano/grobid:0.8.1,data/pdfs/1_1/DoughertyHalbrecht1977.pdf,article,,,,1671
4,0000001701,The Society for Management Information Systems,"O'reilly, Anthony J F and Mis",1,1,MIS Quarterly,lfoppiano/grobid:0.8.1,data/pdfs/1_1/Halbrecht1977.pdf,article,,,,1677
5,0000001723,"Editor's Comments: When Is Enough, Enough?","Gray, Peter and Carter, Pamela and Saunders, Carol",4,30,MIS Quarterly,lfoppiano/grobid:0.7.1,data/pdfs/30_4/Saunders2006c.pdf,article,,,,1698
5,001918,"EDITOR'S COMMENTS When Is Enough, Enough? 1","Carter, Pamela and Saunders, Carol",,,MIS Quarterly,lfoppiano/grobid:0.8.2,data/pdfs/edcommentsv30n4.pdf,article,,,,1880
