cluster_id,id,title,author,doi
0,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03
0,C_000257,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.05
0,C_000355,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.08
0,D_001088,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
0,D_001106,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
0,P_0000000360,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
0,P_0000000597,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
0,P_0000001566,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
1,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713
1,C_000859,Editor's Comments: Necessary Changes,Saunders,10.2307/25148739
1,C_001380,Editor's Comments: Necessary Changes,Saunders,10.2307/25148765
1,C_001450,Editor's Comments: Necessary Changes,Saunders,10.2307/25148753
1,P_0000000896,Editor's Comments: Necessary Changes,Saunders,
1,P_0000001384,Editor's Comments: Necessary Changes,Saunders,
1,P_0000001723,Editor's Comments: Necessary Changes,Saunders,
1,P_001863,Editor's Comments: Necessary Changes,Saunders,
2,C_000481,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/3250980
2,C_001574,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/249542
2,D_000416,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
2,D_000518,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
2,P_0000000097,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
2,P_0000000900,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
3,C_000601,Editor's Comments: Use,Straub,10.2307/41703495
3,C_000978,Editor's Comments: Use,Straub,10.2307/41703494
3,P_0000001533,Editor's Comments: Use,Straub,
3,P_0000001663,Editor's Comments: Use,Straub,
4,C_000684,Editor's Comments,Weber,10.2307/30036516
4,C_000881,Editor's Comments,Weber,10.2307/25148621
4,D_000562,Editor's Comments,Weber,
4,D_000590,Editor's Comments,Weber,
4,D_000618,Editor's Comments,Weber,
4,P_0000000146,Editor's Comments,Weber,
4,P_0000000691,Editor's Comments,Weber,
4,P_0000000845,Editor's Comments,Weber,
4,P_0000001654,Editor's Comments,Weber,
5,C_000846,Invited Article - Decision Support Systems - An MIS Manager's Perspective,"Vierck, Robert K.",10.2307/249326
5,D_000027,Invited Article - Decision Support Systems - An MIS Manager's Perspective,"Vierck, Robert K.",
5,P_0000000957,Invited Article - Decision Support Systems - An MIS Manager's Perspective,"Vierck, Robert K.",
6,C_000963,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",10.2307/248722
6,D_000230,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",
6,P_0000000358,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",
6,P_0000001707,Factors Affecting the Policy for Distributing Computing Resources,"Ahituv, Niv and Neumann, Seev and Zviran, Moshe",
7,C_001129,Editor's Comments: From the Trenches: Thoughts on Developmental Reviewing,Saunders,10.2307/25148675
7,P_0000000473,Editor's Comments: From the Trenches: Thoughts on Developmental Reviewing,Saunders,
8,C_001299,Straub/Editor's Comments,Straub,10.2307/25148851
8,C_001389,Straub/Editor's Comments,Straub,10.2307/25750684
8,P_0000000242,Straub/Editor's Comments,Straub,
8,P_0000001568,Straub/Editor's Comments,Straub,
9,C_001359,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,10.2307/25148665
9,C_001393,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,10.2307/25148676
9,P_0000001204,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,
9,P_0000001379,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,
10,C_001423,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",10.2307/248676
10,D_000159,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",
10,P_0000000172,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",
10,P_0000001677,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",
11,C_001850,Extracting Actionable Insights from Text Data: A Stable Topic Model Approach,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957
11,P_001814,Extracting Actionable Insights from Text Data: A Stable Topic Model Approach,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957
11,P_001884,Extracting Actionable Insights from Text Data: A Stable Topic Model Approach,"Yang, Yi and Subramanyam, Ramanath",10.25300/MISQ/2022/16957
12,C_001878,Generativity and Profitability on B2B Innovation Platforms: A Simulation-based Theory Development,"Haki, Kazem and Tanriverdi, Hüseyin and Safaei, Dorsa and Schmid, Marius and Aier, Stephan and Winter, Robert",10.25300/MISQ/2023/17710
12,D_001524,Generativity and Profitability on B2B Innovation Platforms: A Simulation-based Theory Development,"Haki, Kazem and Tanriverdi, Hüseyin and Safaei, Dorsa and Schmid, Marius and Aier, Stephan and Winter, Robert",10.25300/MISQ/2023/17710
12,P_001877,Generativity and Profitability on B2B Innovation Platforms: A Simulation-based Theory Development,"Haki, Kazem and Tanriverdi, Hüseyin and Safaei, Dorsa and Schmid, Marius and Aier, Stephan and Winter, Robert",10.25300/MISQ/2023/17701
13,C_001947,The Returns of Early Adoption of Information Technologies: Order of Adoption or Level of Adoption Advantages?,"Gómez, Jaime and Palomas, Sergio",10.25300/MISQ/2024/17125
13,D_001521,The Returns of Early Adoption of Information Technologies: Order of Adoption or Level of Adoption Advantages?,"Gómez, Jaime and Palomas, Sergio",10.25300/MISQ/2024/17125
13,P_001914,The Returns of Early Adoption of Information Technologies: Order of Adoption or Level of Adoption Advantages?,"Gómez, Jaime and Palomas, Sergio",10.25300/MISQ/2023/17125
14,P_0000000007,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
14,P_0000000993,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
14,P_001864,EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,"Rai, Arun",
15,P_0000000068,EDITOR'S COMMENTS Continuing and Extending the MIS Quarterly Trifecta Vision,"Burton-Jones, Andrew",
15,P_001802,EDITOR'S COMMENTS Continuing and Extending the MIS Quarterly Trifecta Vision,"Burton-Jones, Andrew",
16,P_0000000544,"EDITOR'S COMMENTS Sandy Slaughter: Outstanding Scholar, Incredible Human Being","Goes, Paulo B and Head, Management",
16,P_0000000945,"EDITOR'S COMMENTS Sandy Slaughter: Outstanding Scholar, Incredible Human Being","Goes, Paulo B and Head, Management",
17,P_0000001695,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",
17,P_0000001701,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",
17,P_0000001772,The Society for Management Information Systems,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",
18,P_0000001704,Issues and Opinions,,
18,P_0000001720,Issues and Opinions,,
