package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2025-09-16 14:49,mixed,3221,23,105,2025,0.01123046875,0.98876953125,0.9684305472038484,0.9929099876695436,0.9805175038051752,0:01:14
asreview,2025-09-16 14:49,mixed,2216,123,1110,1925,0.06005859375,0.93994140625,0.6662657847263981,0.947413424540402,0.7823477493380405,0:00:00
bib-dedupe,2026-01-21 14:38,mixed,3221,23,105,2025,0.01123046875,0.98876953125,0.9684305472038484,0.9929099876695436,0.9805175038051752,0:00:12
asreview,2026-01-21 14:38,mixed,2216,123,1110,1925,0.06005859375,0.93994140625,0.6662657847263981,0.947413424540402,0.7823477493380405,0:00:00
bib-dedupe,2026-01-21 16:26,mixed,3221,23,105,2025,0.01123046875,0.98876953125,0.9684305472038484,0.9929099876695436,0.9805175038051752,0:00:16
asreview,2026-01-21 16:26,mixed,2216,123,1110,1925,0.06005859375,0.93994140625,0.6662657847263981,0.947413424540402,0.7823477493380405,0:00:00
bib-dedupe,2026-01-21 16:29,mixed,3221,23,105,2025,0.01123046875,0.98876953125,0.9684305472038484,0.9929099876695436,0.9805175038051752,0:00:13
asreview,2026-01-21 16:29,mixed,2216,123,1110,1925,0.06005859375,0.93994140625,0.6662657847263981,0.947413424540402,0.7823477493380405,0:00:00
buhos,2026-01-21 16:32,mixed,879,1,2447,2047,0.00048828125,0.99951171875,0.2642814191220685,0.9988636363636364,0.4179743223965763,0:03:10
bib-dedupe,2026-01-22 18:42,mixed,3351,69,106,2117,0.0315645013723696,0.9684354986276305,0.9693375759328898,0.9798245614035088,0.974552857350589,0:00:15
asreview,2026-01-22 18:42,mixed,1094,171,2363,2015,0.0782250686184812,0.9217749313815188,0.3164593578247035,0.8648221343873518,0.4633629817873781,0:00:00
buhos,2026-01-22 18:46,mixed,242,0,3215,2186,0.0,1.0,0.07000289268151577,1.0,0.1308461746417951,0:03:33
