cluster_id,id,title,author,doi
0,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713
0,C_000859,Editor's Comments: What Does It Take for a Journal to Be Global?,Saunders,10.2307/25148739
0,C_001380,Editor's Comments,Saunders,10.2307/25148765
0,C_001450,"Editor's Comments: When Is Enough, Enough?",Saunders,10.2307/25148753
0,P_0000000896,EDITOR'S COMMENTS Necessary Changes,"Saunders, Carol",
0,P_0000001384,EDITOR'S COMMENTS,"Saunders, Carol",
0,P_0000001723,"Editor's Comments: When Is Enough, Enough?","Gray, Peter and Carter, Pamela and Saunders, Carol",
0,P_001863,"EDITOR'S COMMENTS When Is Enough, Enough? 1","Carter, Pamela and Saunders, Carol",
1,C_000684,Editor's Comments,Weber,10.2307/30036516
1,C_000881,Editor's Comments: The Rhetoric of Positivism versus Interpretivism: A Personal View,Weber,10.2307/25148621
1,D_000562,Editor's Comments,"Weber, Ron",
1,D_000590,Editor's Comments,"Weber, Ron",
1,D_000618,Editor's Comments,"Weber, Ron",
1,P_0000000146,Weber/Editor's Comments,"Weber, Ron",
1,P_0000000691,EDITOR’S COMMENTS,"Weber, Ron",
1,P_0000000845,Weber/Editor's Comments,"Weber, Ron",
1,P_0000001654,Weber/Editor's Comments,"Personal, A. and Ihhhbhhhbhhi, View1",
2,C_000601,Editor's Comments: Parting Thoughts on My Term of Office as EIC of MISQ (2008-2012),Straub,10.2307/41703495
2,C_000978,Editor's Comments: Use,Straub and del Giudice,10.2307/41703494
2,P_0000001533,EDITOR'S COMMENTS,"Use and Straub, Detmar",
2,P_0000001663,Editor's Comments Parting Thoughts on My Term of Office as EIC of MISQ (2008-2012),"Straub, Detmar",
3,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713
3,C_001450,"Editor's Comments: When Is Enough, Enough?",Saunders,10.2307/25148753
3,P_0000001384,EDITOR'S COMMENTS,"Saunders, Carol",
4,C_000481,Factors That Influence the Social Dimension of Alignment between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/3250980
4,C_001574,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/249542
4,D_000416,Measuring the Linkage Between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
4,D_000518,Factors That Influence the Social Dimension of Alignment Between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
4,P_0000000097,Measuring the Linkage Between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
4,P_0000000900,FACTORS THAT INFLUENCE THE SOCIAL DIMENSION OF ALIGNMENT BETWEEN BUSINESS AND INFORMATION TECHNOLOGY OBJECTIVES 1,"Reich, Blaize Horner and Benbasat, Izak",
5,C_000881,Editor's Comments: The Rhetoric of Positivism versus Interpretivism: A Personal View,Weber,10.2307/25148621
5,D_000562,Editor's Comments,"Weber, Ron",
6,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03
6,C_000257,Toward a Digital Attribution Model: Measuring the Impact of Display Advertising on Online Consumer Behavior,"Ghose, Anindya and Todri-Adamopoulos, Vilma",10.25300/MISQ/2016/40.4.05
6,C_000355,Privacy and Big Data: Scalable Approaches to Sanitize Large Transactional Databases for Sharing,"Menon, Syam and Sarkar, Sumit",10.25300/MISQ/2016/40.4.08
6,D_001088,Toward a Digital Attribution Model - Measuring the Impact of Display Advertising on Online Consumer Behavior,"Ghose, Anindya and Todri-Adamopoulos, Vilma",
6,D_001106,Privacy and Big Data - Scalable Approaches to Sanitize Large Transactional Databases for Sharing,"Menon, Syam and Sarkar, Sumit",
6,P_0000000360,BIG DATA & ANALYTICS IN NETWORKED BUSINESS TRANSFORMATIONAL ISSUES OF BIG DATA AND ANALYTICS IN NETWORKED BUSINESS,"Baesens, Bart and Bapna, Ravi and Marsden, James R and Vanthienen, Jan and Zhao, J. Leon",
6,P_0000000597,BIG DATA & ANALYTICS IN NETWORKED BUSINESS TOWARD A DIGITAL ATTRIBUTION MODEL: MEASURING THE IMPACT OF DISPLAY ADVERTISING ON ONLINE CONSUMER BEHAVIOR 1,"Ghose, Anindya and Todri-Adamopoulos, Vilma and Baesens, Bart and Bapna, Ravi and Marsden, James R and Vanthienen, Jan and Zhao, J. Leon",
