package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2025-09-16 14:51,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:28
asreview,2025-09-16 14:51,pdf_only,0,48,1,1838,0.0254506892895015,0.9745493107104984,0.0,0.0,0.0,0:00:00
bib-dedupe,2026-01-21 15:22,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:04
asreview,2026-01-21 15:22,pdf_only,0,48,1,1838,0.0254506892895015,0.9745493107104984,0.0,0.0,0.0,0:00:00
bib-dedupe,2026-01-21 15:28,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:04
asreview,2026-01-21 15:28,pdf_only,0,48,1,1838,0.0254506892895015,0.9745493107104984,0.0,0.0,0.0,0:00:00
bib-dedupe,2026-01-21 15:28,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:04
bib-dedupe,2026-01-21 15:34,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:03
bib-dedupe,2026-01-21 15:36,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:04
buhos,2026-01-21 15:36,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:04
bib-dedupe,2026-01-21 15:52,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:04
bib-dedupe,2026-01-21 15:54,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:03
bib-dedupe,2026-01-21 15:56,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:04
bib-dedupe,2026-01-21 16:02,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:03
buhos,2026-01-21 16:02,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:05
bib-dedupe,2026-01-21 16:04,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:03
buhos,2026-01-21 16:05,pdf_only,0,16,1,1870,0.0084835630965005,0.9915164369034994,0.0,0.0,0.0,0:00:04
bib-dedupe,2026-01-21 16:14,pdf_only,0,16,1,1870,0.008483563096500531,0.9915164369034994,0.0,0.0,0.0,0:00:03
