id,ID,orig_ID,orig_source,number,volume,title,journal,author,grobid-version,file,ENTRYTYPE,doi,year,note
0,P_0000000003,3,pdf,1.0,34.0,EDITOR'S COMMENTS Journal Quality and Citations: Common Metrics and Considerations about Their Use,MIS Quarterly,"Straub, Detmar and Anderson, Chad",lfoppiano/grobid:0.8.1,data/pdfs/34_1/StraubAnderson2010.pdf,article,,,
1,P_0000000004,4,pdf,2.0,12.0,The Quantification of Decision Support Benefits Within the Context of Value Analysis,MIS Quarterly,"Money, Arthur and Tromp, David and Wegner, Trevor",lfoppiano/grobid:0.8.1,data/pdfs/12_2/MoneyTrompWegner1988.pdf,article,,,
2,P_0000000005,5,pdf,4.0,38.0,INFORMATION TECHNOLOGY AND ADMINISTRATIVE EFFICIENCY IN U.S. STATE GOVERNMENTS: A STOCHASTIC FRONTIER APPROACH 1,MIS Quarterly,"Pang, Min-Seok and Tafti, Ali and Krishnan, M. S and Ross, Stephen M",lfoppiano/grobid:0.8.1,data/pdfs/38_4/PangTaftiKrishnan2014.pdf,article,,,
3,P_0000000006,6,pdf,4.0,32.0,MAKING SENSE OF TECHNOLOGY TRENDS IN THE INFORMATION TECHNOLOGY LANDSCAPE: A DESIGN SCIENCE APPROACH 1,MIS Quarterly,"Bockstedt, Jesse C and Gupta, Alok and Kauffman, Robert J",lfoppiano/grobid:0.8.1,data/pdfs/32_4/AdomaviciusBockstedtGuptaEtAl2008.pdf,article,,,
4,P_0000000007,7,pdf,4.0,44.0,EDITOR'S COMMENTS,MIS Quarterly,"Rai, Arun",lfoppiano/grobid:0.8.1,data/pdfs/44_4/Rai2020.pdf,article,,,
5,P_0000000008,8,pdf,2.0,41.0,CONSUMER PSEUDO-SHOWROOMING AND OMNI-CHANNEL PLACEMENT STRATEGIES 1,MIS Quarterly,"Gu, Jane and Kumar, Giri",lfoppiano/grobid:0.8.1,data/pdfs/41_2/GuTayi2017.pdf,article,,,
6,P_0000000009,9,pdf,1.0,45.0,"PROVISIONING INTEROPERABLE DISASTER MANAGEMENT SYSTEMS: INTEGRATED, UNIFIED, AND FEDERATED APPROACHES 1",MIS Quarterly,"Guo, Hong and Liu, Yipeng and Nault, Barrie R",lfoppiano/grobid:0.8.1,data/pdfs/45_1/GuoLiuNault2021.pdf,article,10.25300/MISQ/2020/14947,,
7,P_0000000010,10,pdf,1.0,23.0,Structuring Time and Task in Electronic Brainstorming,MIS Quarterly,"Mis - Rterly, C. and Dennis, Alan R and Aronson, Jay E and Heninger, William G and Walker, Edward D",lfoppiano/grobid:0.8.1,data/pdfs/23_1/DennisAronsonHeningerEtAl1999.pdf,article,,,
8,P_0000000011,11,pdf,4.0,42.0,SINGLE-SOURCING VERSUS MULTISOURCING: THE ROLES OF OUTPUT VERIFIABILITY ON TASK MODULARITY 1,MIS Quarterly,"Bhattacharya, Shantanu and Gupta, Alok and Hasija, Sameer",lfoppiano/grobid:0.8.1,data/pdfs/42_4/BhattacharyaGuptaHasija2018.pdf,article,10.25300/MISQ/2018/14067,,
9,P_0000000012,12,pdf,1.0,40.0,INDIVIDUALS' INTERNET SECURITY PERCEPTIONS AND BEHAVIORS: POLYCONTEXTUAL CONTRASTS BETWEEN THE UNITED STATES AND CHINA 1,MIS Quarterly,"Chen, Yan and Lubar, Sheldon B",lfoppiano/grobid:0.8.1,data/pdfs/40_1/ChenZahedi2016.pdf,article,,,
